table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,A_baseline_N4,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.125,0.0861,0.2322,0.1402,14.9,GPU,2,0.0999,0.0143,0.1215,0.4548,0.1402,41.0,GPU,22,0.2017,0.0013,0.191,0.6157,0.2044,45.0,GPU,3,0.1122,0.003,0.2179,0.2564,0.3151,41.9,GPU,21,0.0861,0.0085,0.0213,0.2168,0.2691,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1226,0.0834,0.2245,0.1329,13.2,NPU,2,0.1078,0.0112,0.1389,0.5562,0.1329,3.6,NPU,22,0.1912,0.0009,0.1733,0.6138,0.1996,3.6,GPU,3,0.1079,0.0035,0.2163,0.2254,0.3083,30.2,GPU,21,0.0834,0.0098,0.0168,0.2212,0.2572,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1283,0.0825,0.2166,0.1397,13.2,GPU,2,0.1037,0.0159,0.1368,0.483,0.1397,30.4,GPU,22,0.2075,0.0014,0.1914,0.6322,0.2098,28.9,NPU,3,0.1196,0.0004,0.1806,0.3364,0.2899,2.9,NPU,21,0.0825,0.0014,0.0238,0.2111,0.2268,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1259,0.0836,0.2122,0.1329,8.1,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.191,0.001,0.1734,0.6135,0.1996,0.2,NPU,3,0.1198,0.0005,0.1788,0.3383,0.2894,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k0_pnone,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1247,0.0837,0.2308,0.1399,15.0,GPU,2,0.0994,0.0143,0.1211,0.4485,0.1399,45.6,GPU,22,0.1984,0.0014,0.1906,0.6054,0.2017,47.4,GPU,3,0.1172,0.0026,0.2264,0.2084,0.31,42.7,GPU,21,0.0837,0.0088,0.0202,0.2161,0.2716,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k1_p0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1282,0.0847,0.2306,0.1329,13.6,NPU,2,0.1088,0.0113,0.1413,0.5657,0.1329,1.1,GPU,22,0.2085,0.0015,0.1912,0.6347,0.2121,26.8,GPU,3,0.1108,0.003,0.2215,0.2064,0.3083,29.2,GPU,21,0.0847,0.0099,0.0175,0.2255,0.2692,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k1_p2,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1302,0.0871,0.2302,0.1448,13.9,GPU,2,0.1052,0.0155,0.1382,0.5002,0.1448,27.8,GPU,22,0.2074,0.0015,0.1909,0.6329,0.2137,29.5,NPU,3,0.1213,0.0005,0.1839,0.3387,0.2899,0.4,GPU,21,0.0871,0.0101,0.0181,0.2269,0.2724,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k1_p3,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1288,0.0836,0.2235,0.1427,13.8,GPU,2,0.1036,0.0156,0.132,0.4995,0.1427,30.5,GPU,22,0.2084,0.0017,0.1916,0.6367,0.2125,30.6,GPU,3,0.1197,0.0032,0.2298,0.2443,0.312,28.2,NPU,21,0.0836,0.0014,0.0244,0.2129,0.2268,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k2_p0_1,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1225,0.085,0.2253,0.1329,13.6,NPU,2,0.1067,0.0107,0.1374,0.5548,0.1329,7.5,NPU,22,0.1912,0.001,0.1731,0.6121,0.1996,2.7,GPU,3,0.1071,0.0028,0.2191,0.2209,0.3031,36.1,GPU,21,0.085,0.0099,0.0167,0.2239,0.2654,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,A_baseline_N4,4,L1_light,Oracle_k2_p1_2,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1241,0.0837,0.2261,0.1419,13.2,GPU,2,0.1044,0.0153,0.1379,0.4932,0.1419,29.6,NPU,22,0.1901,0.0011,0.1733,0.6113,0.1996,3.8,NPU,3,0.1184,0.0005,0.1779,0.3225,0.2899,2.9,GPU,21,0.0837,0.0098,0.0172,0.2227,0.2729,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
