sid,log_id,device,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,L1_light,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,19.5026,19.5393,0.0,9.1731
2,1d676737-4110-3f7e-bec0-0c90f74c248f,NPU,L1_light,0.109,0.1668,0.0113,0.1423,0.5658,0.1329,0.0122,0.2126,0.7629,12.0966,12.2431,0.2278,5.7519
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,L1_light,0.1553,0.3737,0.0034,0.2575,0.348,0.3315,0.005,0.3534,0.5203,19.4372,19.4491,0.2247,9.2477
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,NPU,L1_light,0.1214,0.2992,0.0005,0.1815,0.3387,0.2899,0.0008,0.2598,0.5274,11.6486,11.7609,0.6742,5.5961
8,64724064-6472-6472-6472-764725145600,GPU,L1_light,0.102,0.1779,0.0089,0.1535,0.4327,0.1269,0.0121,0.1874,0.5863,19.5107,19.5155,0.0,17.3869
8,64724064-6472-6472-6472-764725145600,NPU,L1_light,0.0719,0.1289,0.0073,0.0822,0.3938,0.0883,0.0096,0.0995,0.5197,12.0416,12.0889,0.6977,10.7768
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,L1_light,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.028,0.2429,0.4881,19.1058,19.1089,0.0,8.9137
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,L1_light,0.1455,0.253,0.0178,0.144,0.3218,0.2022,0.0205,0.2342,0.4614,11.1157,11.348,0.6881,5.2972
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,GPU,L1_light,0.1986,0.2934,0.0096,0.1104,0.4074,0.2415,0.0097,0.155,0.5245,19.5005,19.4979,0.1156,17.4684
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,NPU,L1_light,0.1872,0.2734,0.0038,0.0857,0.3991,0.2209,0.0045,0.1216,0.4815,11.2661,11.3209,0.2312,10.1526
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,GPU,L1_light,0.248,0.3782,0.0213,0.2504,0.628,0.277,0.0216,0.2789,0.7011,19.011,19.0236,0.2247,9.0457
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,NPU,L1_light,0.2077,0.3161,0.0104,0.1878,0.6044,0.233,0.0112,0.2117,0.6666,11.921,12.0086,0.0,5.7139
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,GPU,L1_light,0.1149,0.2931,0.01,0.0469,0.2614,0.2865,0.0117,0.2904,0.5051,19.4722,19.4324,0.4556,9.1231
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,NPU,L1_light,0.0836,0.1994,0.0014,0.0244,0.2127,0.2268,0.0016,0.2486,0.3958,11.6342,11.7482,0.2278,5.5201
22,f1008c18-e76e-3c24-adcc-da9858fac145,GPU,L1_light,0.211,0.3636,0.0014,0.1931,0.647,0.2189,0.0023,0.1946,0.682,19.2704,19.2979,0.2247,9.1761
22,f1008c18-e76e-3c24-adcc-da9858fac145,NPU,L1_light,0.1912,0.3412,0.001,0.1732,0.6139,0.1996,0.0024,0.1751,0.6538,12.2847,12.3626,0.8989,5.8816
