device,cat_id,cat_name,ap_5095,ap_50,n_gt,n_dets
GPU,0,person,0.1159,0.2643,31078,12840
GPU,1,bicycle,0.0455,0.1109,1150,324
GPU,2,car,0.3057,0.4761,140344,82801
GPU,3,motorcycle,0.0142,0.04,1037,152
GPU,4,bus,0.4228,0.4689,10965,6426
GPU,5,truck,0.1639,0.2249,18500,8233
GPU,6,traffic_light,0.0871,0.1789,36610,10846
GPU,7,stop_sign,0.0816,0.1269,1893,254
NPU,0,person,0.0984,0.2396,31078,11869
NPU,1,bicycle,0.0359,0.0915,1150,313
NPU,2,car,0.272,0.4047,140344,66180
NPU,3,motorcycle,0.0015,0.0043,1037,77
NPU,4,bus,0.4421,0.4971,10965,6819
NPU,5,truck,0.168,0.2188,18500,9747
NPU,6,traffic_light,0.0691,0.1416,36610,8157
NPU,7,stop_sign,0.0504,0.0725,1893,182
