table,tag,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
schedule-shift,N=4,4,L0,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1507,0.1149,0.2465,0.1492,7.4,GPU,2,0.1214,0.0164,0.1749,0.5773,0.1492,0.0,GPU,22,0.211,0.0014,0.193,0.647,0.2189,0.0,GPU,3,0.1557,0.0034,0.2576,0.3488,0.3315,0.2,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L0,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1419,0.1063,0.2376,0.1329,9.7,NPU,2,0.1063,0.0112,0.1367,0.5535,0.1329,5.0,NPU,22,0.1907,0.001,0.1732,0.6109,0.1996,4.5,GPU,3,0.1557,0.0034,0.2575,0.3488,0.3315,0.0,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L0,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,7.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1268,0.0898,0.2344,0.1437,14.7,GPU,2,0.1026,0.0141,0.1274,0.4841,0.1437,36.7,GPU,22,0.1998,0.0016,0.1908,0.6129,0.2064,38.4,GPU,3,0.1151,0.0028,0.2169,0.25,0.3157,41.4,GPU,21,0.0898,0.0093,0.0256,0.223,0.2717,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1248,0.0856,0.2308,0.1329,13.5,NPU,2,0.1084,0.0113,0.1402,0.5585,0.1329,3.4,NPU,22,0.19,0.0011,0.1731,0.6085,0.1996,7.4,GPU,3,0.1151,0.0032,0.2261,0.2362,0.3214,29.6,GPU,21,0.0856,0.0099,0.0173,0.2262,0.2691,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1259,0.0836,0.2123,0.1329,8.1,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1914,0.001,0.1733,0.6143,0.1996,0.4,NPU,3,0.1198,0.0005,0.1781,0.3383,0.2899,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1149,0.0765,0.2048,0.1177,15.5,GPU,2,0.0901,0.013,0.1016,0.405,0.1177,65.7,GPU,22,0.1955,0.0013,0.1897,0.5973,0.1823,62.4,GPU,3,0.0974,0.0017,0.188,0.2321,0.2847,61.5,GPU,21,0.0765,0.0083,0.0171,0.1984,0.2345,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1168,0.0758,0.1928,0.1329,14.4,NPU,2,0.1086,0.0114,0.1411,0.5607,0.1329,1.8,NPU,22,0.1911,0.001,0.1736,0.6119,0.1996,1.8,GPU,3,0.0919,0.0021,0.1939,0.1598,0.2362,48.3,GPU,21,0.0758,0.0095,0.0135,0.2034,0.2026,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,8.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.191,0.001,0.1734,0.6135,0.1996,0.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L2_lm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1015,0.0632,0.1459,0.0903,15.8,GPU,2,0.0818,0.01,0.083,0.3845,0.0903,77.8,GPU,22,0.1843,0.0011,0.1867,0.5537,0.1261,81.9,GPU,3,0.0766,0.0012,0.1542,0.1645,0.1986,82.6,GPU,21,0.0632,0.0064,0.0103,0.1695,0.1684,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
