sid,log_id,device,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
0,00c561b9-2057-358d-82c6-5b06d76cebcf,CPU,0.0647,0.1128,0.0157,0.1322,0.4326,0.0818,0.0201,0.1551,0.5569,30.7275,30.7612,10.7889,27.4681
0,00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,0.0677,0.1161,0.0178,0.1355,0.4507,0.0823,0.0204,0.1552,0.5601,8.8599,8.8843,0.0,8.021
0,00c561b9-2057-358d-82c6-5b06d76cebcf,NPU,0.0584,0.0936,0.0115,0.1034,0.4349,0.0722,0.0139,0.1214,0.5433,9.8504,9.8721,0.0,8.9141
1,033669d3-3d6b-3d3d-bd93-7985d86653ea,CPU,0.0725,0.1537,0.0035,0.0826,0.25,0.107,0.0032,0.1086,0.4312,30.5597,30.5753,8.046,27.5473
1,033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,0.0739,0.156,0.0033,0.0838,0.2553,0.107,0.0033,0.1086,0.4311,8.7957,8.7941,0.0,7.9388
1,033669d3-3d6b-3d3d-bd93-7985d86653ea,NPU,0.0634,0.128,0.0014,0.0651,0.2252,0.0889,0.0016,0.0748,0.3997,9.6589,9.6631,0.0,8.7247
2,1d676737-4110-3f7e-bec0-0c90f74c248f,CPU,0.1192,0.1872,0.0164,0.1693,0.5737,0.1492,0.0181,0.2558,0.7927,30.5439,30.5818,3.6446,14.3577
2,1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.0182,0.2557,0.7927,9.5356,9.5918,0.0,4.507
2,1d676737-4110-3f7e-bec0-0c90f74c248f,NPU,0.109,0.1668,0.0113,0.1426,0.5659,0.1329,0.0122,0.2126,0.7629,10.479,10.493,0.0,4.931
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,CPU,0.1515,0.366,0.0036,0.2531,0.3437,0.3316,0.005,0.3534,0.5205,30.7583,30.7687,5.618,14.6302
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.005,0.3534,0.5203,9.3874,9.4272,0.0,4.4864
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,NPU,0.1214,0.2979,0.0005,0.1816,0.339,0.2899,0.0008,0.2598,0.5274,10.5704,10.5996,0.0,5.0449
4,33737504-3373-3373-3373-633738571776,CPU,0.2134,0.2825,0.0,0.1328,0.5338,0.2123,0.0,0.1297,0.531,31.4792,31.4741,11.4961,20.9516
4,33737504-3373-3373-3373-633738571776,GPU,0.2133,0.283,0.0,0.1327,0.532,0.2133,0.0,0.1327,0.5324,9.4115,9.4209,0.0,6.3234
4,33737504-3373-3373-3373-633738571776,NPU,0.2047,0.2458,0.0,0.0816,0.5458,0.2059,0.0,0.0821,0.5478,10.4403,10.4914,0.0,7.043
5,39556000-3955-3955-3955-039557148672,CPU,0.4284,0.5252,0.0175,0.2156,0.5873,0.4607,0.019,0.2305,0.6407,30.9345,30.9463,5.1095,13.6614
5,39556000-3955-3955-3955-039557148672,GPU,0.4337,0.5258,0.0179,0.2182,0.5954,0.4607,0.019,0.231,0.6421,9.3964,9.3964,0.0,4.1608
5,39556000-3955-3955-3955-039557148672,NPU,0.4381,0.526,0.0098,0.1728,0.6224,0.4626,0.0102,0.1802,0.6672,10.3543,10.3768,0.0,4.5957
6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,CPU,0.0918,0.1782,0.0116,0.076,0.3335,0.1492,0.0139,0.1394,0.5765,30.5432,30.6666,8.238,14.3364
6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,0.0971,0.1826,0.0117,0.0831,0.3483,0.1493,0.0139,0.1396,0.5766,8.977,8.9667,0.0,4.2135
6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,NPU,0.0947,0.1708,0.0091,0.0875,0.3392,0.142,0.011,0.1333,0.5566,10.0753,10.0714,0.0,4.733
7,5f317f5f-3ce9-355b-acf9-386a8c682252,CPU,0.2128,0.375,0.0005,0.1724,0.382,0.2823,0.0035,0.2159,0.5561,30.7295,30.7714,7.5515,14.3854
7,5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,0.2219,0.3798,0.0005,0.1781,0.4125,0.2845,0.0035,0.2164,0.5623,9.1338,9.1501,0.0,4.2905
7,5f317f5f-3ce9-355b-acf9-386a8c682252,NPU,0.2013,0.3315,0.0,0.1478,0.4071,0.2467,0.0,0.1708,0.5276,10.1401,10.2363,0.0,4.8006
8,64724064-6472-6472-6472-764725145600,CPU,0.0999,0.1797,0.0087,0.1471,0.4261,0.1265,0.0121,0.1862,0.5863,30.7993,30.7869,3.9581,27.3984
8,64724064-6472-6472-6472-764725145600,GPU,0.102,0.1779,0.0089,0.1535,0.4327,0.1269,0.0121,0.1874,0.5863,8.8215,8.8313,0.0,7.8738
8,64724064-6472-6472-6472-764725145600,NPU,0.0721,0.129,0.0073,0.0826,0.3962,0.0883,0.0096,0.0995,0.5197,10.1365,10.1318,0.0,9.0328
9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,CPU,0.1117,0.1718,0.0044,0.1233,0.2337,0.1443,0.0063,0.1889,0.3525,30.6251,30.6332,2.0734,20.1474
9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,GPU,0.1136,0.1749,0.0044,0.1278,0.2362,0.1443,0.0063,0.1889,0.3525,8.7064,8.7114,0.0,5.7336
9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,NPU,0.1516,0.2143,0.0018,0.1277,0.3154,0.1801,0.0023,0.1849,0.4192,10.1888,10.1835,0.0,6.7024
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,CPU,0.1524,0.2724,0.0224,0.1414,0.3312,0.2113,0.028,0.2429,0.4882,30.3334,30.3601,2.0642,14.1627
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,GPU,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.028,0.2429,0.4881,8.3115,8.3237,0.0,3.8861
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,NPU,0.1461,0.2534,0.0178,0.1443,0.323,0.2022,0.0205,0.2342,0.4614,9.6358,9.6912,0.0,4.5243
11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,CPU,0.2875,0.3987,0.006,0.1849,0.615,0.3017,0.0065,0.2226,0.7415,30.5405,30.571,1.9518,27.5732
11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,GPU,0.288,0.3989,0.006,0.1851,0.6158,0.3017,0.0065,0.2226,0.7415,8.6284,8.6453,0.0,7.8034
