table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
capacity,N=2,2,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU""]",0.1378,0.1205,0.2404,0.1492,9.6,GPU,2,0.1205,0.0163,0.1735,0.5763,0.1492,0.7,GPU,3,0.1552,0.0034,0.2563,0.3486,0.3315,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,single,SizeAware,"[""NPU"", ""GPU""]",0.131,0.1085,0.2322,0.1329,10.4,NPU,2,0.1085,0.0112,0.1404,0.5641,0.1329,1.6,GPU,3,0.1534,0.0034,0.2555,0.3449,0.3315,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,single,SizeBlindRev,"[""GPU"", ""NPU""]",0.1204,0.1203,0.2195,0.1492,10.5,GPU,2,0.1204,0.0164,0.1729,0.5727,0.1492,2.3,NPU,3,0.1203,0.0005,0.1808,0.3375,0.2899,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=2,2,L1_light,single,AllNPU,"[""NPU"", ""NPU""]",0.1139,0.1081,0.2114,0.1329,8.6,NPU,2,0.1081,0.0112,0.1403,0.5648,0.1329,3.0,NPU,3,0.1197,0.0005,0.1825,0.3362,0.2899,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU""]",0.1595,0.1176,0.2332,0.1492,11.7,GPU,2,0.1176,0.0161,0.1661,0.5299,0.1492,8.7,GPU,22,0.2092,0.0014,0.1926,0.6417,0.2189,9.7,GPU,3,0.1518,0.0035,0.252,0.3291,0.3315,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU""]",0.1454,0.1077,0.2214,0.1329,12.0,NPU,2,0.1077,0.0114,0.1394,0.5609,0.1329,2.7,NPU,22,0.191,0.0009,0.1734,0.6127,0.1996,3.6,GPU,3,0.1375,0.0033,0.2463,0.3183,0.3315,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU""]",0.1487,0.1158,0.2193,0.1492,11.9,GPU,2,0.1158,0.0162,0.1631,0.5484,0.1492,10.5,GPU,22,0.2101,0.0014,0.1925,0.6446,0.2189,7.2,NPU,3,0.1203,0.0005,0.1816,0.3385,0.2899,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=3,3,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU""]",0.1405,0.109,0.2075,0.1329,8.1,NPU,2,0.109,0.0113,0.1425,0.5659,0.1329,0.2,NPU,22,0.1914,0.001,0.1733,0.6141,0.1996,0.4,NPU,3,0.121,0.0005,0.1807,0.3385,0.2899,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1254,0.087,0.2348,0.14,14.8,GPU,2,0.0995,0.0145,0.1197,0.4519,0.14,45.1,GPU,22,0.1997,0.0014,0.1913,0.6132,0.2048,43.6,GPU,3,0.1153,0.0024,0.2082,0.248,0.3162,40.6,GPU,21,0.087,0.0087,0.0216,0.2212,0.2782,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1272,0.0924,0.2351,0.1329,13.2,NPU,2,0.1076,0.0113,0.1398,0.5619,0.1329,3.9,NPU,22,0.1893,0.0011,0.1729,0.6083,0.1996,6.3,GPU,3,0.1194,0.0033,0.2324,0.2641,0.3256,25.1,GPU,21,0.0924,0.0099,0.0229,0.2352,0.2824,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1288,0.0833,0.219,0.1436,13.0,GPU,2,0.1052,0.0153,0.1383,0.4864,0.1436,29.6,GPU,22,0.2078,0.0014,0.1909,0.6359,0.2158,26.4,NPU,3,0.119,0.0005,0.1814,0.3365,0.2899,2.9,NPU,21,0.0833,0.0014,0.0244,0.2122,0.2268,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity,N=4,4,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1262,0.0836,0.212,0.1329,8.4,NPU,2,0.1089,0.0113,0.1417,0.565,0.1329,0.5,NPU,22,0.1908,0.001,0.1733,0.6132,0.1986,0.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
