table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
main-comparison,L1_light,4,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.127,0.0875,0.2386,0.1435,14.9,GPU,2,0.1003,0.0139,0.1245,0.4502,0.1435,40.4,GPU,22,0.1997,0.0014,0.1909,0.613,0.21,40.4,GPU,3,0.1206,0.0031,0.2203,0.2914,0.3225,40.7,GPU,21,0.0875,0.0089,0.0226,0.2201,0.2783,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1233,0.084,0.2266,0.1329,13.2,NPU,2,0.1087,0.0113,0.1412,0.5643,0.1329,2.5,NPU,22,0.1902,0.001,0.1729,0.6107,0.1996,3.6,GPU,3,0.1103,0.0033,0.2216,0.2095,0.3087,33.5,GPU,21,0.084,0.0098,0.0179,0.2212,0.2652,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1273,0.082,0.2171,0.1414,13.1,GPU,2,0.1021,0.0157,0.1317,0.4745,0.1414,31.1,GPU,22,0.2071,0.0014,0.1912,0.6321,0.2102,29.4,NPU,3,0.1178,0.0005,0.1791,0.3359,0.2899,3.8,NPU,21,0.082,0.0014,0.0239,0.2099,0.2268,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1258,0.0836,0.2123,0.1329,9.5,NPU,2,0.109,0.0114,0.1425,0.5659,0.1329,0.2,NPU,22,0.1909,0.001,0.1734,0.6126,0.1996,1.8,NPU,3,0.1199,0.0005,0.1789,0.3384,0.2899,0.4,NPU,21,0.0836,0.0014,0.0244,0.2126,0.2268,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k1_0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1296,0.0876,0.232,0.1329,13.8,NPU,2,0.1089,0.0113,0.142,0.5658,0.1329,0.5,GPU,22,0.2077,0.0014,0.1918,0.6359,0.2156,27.4,GPU,3,0.1143,0.0033,0.2206,0.2292,0.3123,28.5,GPU,21,0.0876,0.01,0.0193,0.2289,0.267,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k1_1,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1227,0.0852,0.2289,0.141,13.7,GPU,2,0.1036,0.0157,0.1355,0.486,0.141,32.0,NPU,22,0.1912,0.001,0.1734,0.614,0.1996,0.4,GPU,3,0.1109,0.0028,0.2186,0.2453,0.3082,31.7,GPU,21,0.0852,0.0097,0.0175,0.2253,0.267,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k1_2,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1301,0.0879,0.2302,0.1438,13.7,GPU,2,0.1042,0.0155,0.136,0.4888,0.1438,30.1,GPU,22,0.2071,0.0015,0.191,0.6354,0.2148,30.2,NPU,3,0.1211,0.0005,0.1813,0.3383,0.2899,0.9,GPU,21,0.0879,0.0101,0.0201,0.228,0.2724,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k1_3,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.127,0.0833,0.2251,0.1433,13.8,GPU,2,0.1048,0.0157,0.1387,0.5032,0.1433,29.6,GPU,22,0.2071,0.0014,0.1909,0.6326,0.2129,29.2,GPU,3,0.1126,0.0033,0.2245,0.2261,0.3172,26.6,NPU,21,0.0833,0.0014,0.0241,0.2124,0.2268,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k2_0_2,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.1305,0.0856,0.2283,0.1329,13.2,NPU,2,0.1085,0.0113,0.1403,0.5549,0.1329,2.7,GPU,22,0.2076,0.0014,0.1909,0.6353,0.2142,28.9,NPU,3,0.1203,0.0005,0.1802,0.3371,0.2899,2.5,GPU,21,0.0856,0.0097,0.0179,0.2247,0.2762,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k2_0_3,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1286,0.0817,0.2242,0.1329,12.9,NPU,2,0.1084,0.0113,0.141,0.5615,0.1329,2.7,GPU,22,0.2084,0.0014,0.1907,0.6374,0.2141,27.9,GPU,3,0.1157,0.0032,0.2283,0.2688,0.3231,27.6,NPU,21,0.0817,0.0014,0.0229,0.2109,0.2268,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k2_1_2,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1269,0.0902,0.228,0.1454,12.9,GPU,2,0.1068,0.0157,0.1423,0.5016,0.1454,26.3,NPU,22,0.1909,0.0011,0.1735,0.6126,0.1996,2.2,NPU,3,0.1196,0.0005,0.1798,0.337,0.2899,2.9,GPU,21,0.0902,0.0099,0.0219,0.2313,0.2771,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k2_1_3,"[""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.1242,0.0833,0.2228,0.1434,13.0,GPU,2,0.1061,0.0158,0.1411,0.5041,0.1434,27.2,NPU,22,0.1911,0.0009,0.1732,0.6132,0.1996,1.6,GPU,3,0.1162,0.0033,0.2263,0.2361,0.3212,27.6,NPU,21,0.0833,0.0014,0.0246,0.2122,0.2268,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k3_0_1_2,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.1337,0.1096,0.2272,0.1329,11.1,NPU,2,0.1096,0.0115,0.143,0.5641,0.1329,0.9,NPU,22,0.1912,0.001,0.1733,0.6135,0.1996,0.4,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,GPU,21,0.1127,0.01,0.0452,0.2577,0.2865,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k3_0_1_3,"[""NPU"", ""NPU"", ""GPU"", ""NPU""]",0.1346,0.0836,0.2225,0.1329,11.0,NPU,2,0.1089,0.0113,0.1421,0.5654,0.1329,0.2,NPU,22,0.1911,0.001,0.1734,0.6142,0.1986,0.2,GPU,3,0.1549,0.0035,0.257,0.347,0.3315,2.9,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k3_0_2_3,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1309,0.0836,0.2171,0.1329,11.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,GPU,22,0.2098,0.0014,0.1925,0.6434,0.2189,3.8,NPU,3,0.1211,0.0005,0.1812,0.3386,0.2899,0.4,NPU,21,0.0836,0.0014,0.0244,0.2128,0.2268,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L1_light,4,L1_light,single,Oracle_k3_1_2_3,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1286,0.0836,0.2164,0.1492,11.0,GPU,2,0.1198,0.0162,0.1726,0.5702,0.1492,2.7,NPU,22,0.1912,0.001,0.1733,0.6136,0.1996,0.4,NPU,3,0.1197,0.0005,0.177,0.3385,0.2899,0.7,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1027,0.06,0.1532,0.0947,15.8,GPU,2,0.0818,0.0114,0.0816,0.3764,0.0947,80.9,GPU,22,0.188,0.001,0.1876,0.5611,0.1354,80.2,GPU,3,0.0811,0.0015,0.1572,0.1566,0.2125,83.9,GPU,21,0.06,0.0074,0.0098,0.1639,0.1702,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0788,0.0527,0.0962,0.04,15.9,NPU,2,0.0563,0.0046,0.0442,0.2813,0.04,99.0,NPU,22,0.1436,0.0009,0.164,0.4173,0.0611,98.2,GPU,3,0.0625,0.0014,0.1207,0.14,0.1512,94.8,GPU,21,0.0527,0.0058,0.0089,0.1453,0.1324,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,single,SizeBlindRev,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.0811,0.0294,0.0881,0.0709,15.9,GPU,2,0.0751,0.0086,0.0713,0.3499,0.0709,96.8,GPU,22,0.1825,0.001,0.1865,0.5433,0.1113,95.9,NPU,3,0.0375,0.0,0.0854,0.0509,0.0932,99.1,NPU,21,0.0294,0.0003,0.0013,0.0905,0.077,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1097,0.0707,0.2005,0.1329,15.5,NPU,2,0.1049,0.0112,0.1331,0.5414,0.1329,11.2,NPU,22,0.1747,0.0011,0.1707,0.5527,0.1677,57.0,NPU,3,0.0886,0.0006,0.1214,0.2414,0.2746,30.7,NPU,21,0.0707,0.0013,0.0152,0.195,0.2268,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-comparison,L2_lm,4,L2_lm,single,Oracle_k1_0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0904,0.0594,0.1154,0.0437,15.9,NPU,2,0.0596,0.0049,0.0458,0.2957,0.0437,99.2,GPU,22,0.1774,0.0008,0.1867,0.533,0.1136,89.7,GPU,3,0.0649,0.0011,0.1277,0.0912,0.1563,91.2,GPU,21,0.0594,0.0068,0.0093,0.1624,0.1478,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
