table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
natural,B_medium_mixed_N4,4,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.177,0.0919,0.2214,0.1236,23.7,GPU,17,0.2207,0.0198,0.2255,0.5559,0.2646,39.4,GPU,8,0.0919,0.008,0.1369,0.3958,0.1236,21.4,GPU,10,0.1245,0.0179,0.1016,0.2639,0.2035,42.8,GPU,11,0.271,0.0049,0.1437,0.5037,0.294,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,SizeAware,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1751,0.0929,0.2204,0.1235,23.9,GPU,17,0.2137,0.0193,0.2155,0.5383,0.2625,47.1,GPU,8,0.0929,0.0076,0.1398,0.3962,0.1235,25.2,GPU,10,0.1229,0.0166,0.0958,0.2697,0.2036,43.2,GPU,11,0.2708,0.0041,0.1402,0.5011,0.2919,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,SizeBlindRev,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1766,0.0933,0.2214,0.1249,23.7,GPU,17,0.2167,0.0194,0.221,0.5496,0.2649,39.2,GPU,8,0.0933,0.0078,0.1388,0.4011,0.1249,20.1,GPU,10,0.1256,0.0199,0.1093,0.2635,0.2035,37.0,GPU,11,0.2707,0.0044,0.1424,0.4994,0.2921,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1766,0.0714,0.204,0.0883,16.3,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,0.0,NPU,8,0.0714,0.0073,0.0817,0.3893,0.0883,1.9,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,0.0,NPU,11,0.2811,0.0048,0.1643,0.6077,0.2927,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k0_pnone,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1745,0.0918,0.2181,0.1224,23.8,GPU,17,0.2156,0.0198,0.2182,0.5487,0.2621,42.9,GPU,8,0.0918,0.0079,0.1389,0.3908,0.1224,23.2,GPU,10,0.1176,0.0177,0.0966,0.2442,0.196,44.8,GPU,11,0.273,0.0053,0.1489,0.5086,0.2921,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k1_p1,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1663,0.0722,0.2067,0.0883,24.0,GPU,17,0.2123,0.0192,0.2131,0.5456,0.2561,53.6,NPU,8,0.0722,0.0072,0.0825,0.3966,0.0883,0.5,GPU,10,0.1126,0.0165,0.0895,0.2347,0.1954,53.5,GPU,11,0.2681,0.0042,0.1368,0.4836,0.287,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k1_p0,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1755,0.097,0.2145,0.1248,22.9,NPU,17,0.2076,0.0104,0.1873,0.6044,0.233,0.2,GPU,8,0.097,0.008,0.1445,0.4132,0.1248,15.8,GPU,10,0.1291,0.0171,0.1064,0.2767,0.2069,32.5,GPU,11,0.2681,0.0034,0.1326,0.4924,0.2934,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k2_p0_1,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1677,0.0712,0.2048,0.0883,23.4,NPU,17,0.2057,0.0099,0.1865,0.5918,0.233,6.5,NPU,8,0.0712,0.0071,0.0821,0.3941,0.0883,2.3,GPU,10,0.123,0.0179,0.095,0.2643,0.2043,38.3,GPU,11,0.2708,0.0045,0.1397,0.5033,0.2934,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k2_p0_3,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1772,0.0955,0.2145,0.1249,23.2,NPU,17,0.2061,0.0104,0.1863,0.5968,0.233,3.4,GPU,8,0.0955,0.0082,0.1453,0.4019,0.1249,19.1,GPU,10,0.1277,0.0182,0.1003,0.277,0.2073,32.6,NPU,11,0.2796,0.0047,0.1622,0.5997,0.2927,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k3_p0_1_2,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.1775,0.0719,0.2063,0.0883,22.1,NPU,17,0.2072,0.0104,0.1872,0.6044,0.233,0.4,NPU,8,0.0719,0.0072,0.0819,0.3946,0.0883,1.3,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,0.0,GPU,11,0.2847,0.0059,0.1773,0.5904,0.3017,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k3_p1_2_3,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1854,0.0718,0.215,0.0883,16.2,GPU,17,0.2425,0.0214,0.2435,0.6223,0.277,9.5,NPU,8,0.0718,0.0073,0.0821,0.3916,0.0883,1.2,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,0.0,NPU,11,0.2811,0.0048,0.1642,0.608,0.2927,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,B_medium_mixed_N4,4,L1_light,single,Oracle_k4_p0_1_2_3,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1766,0.0714,0.204,0.0883,16.2,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,0.0,NPU,8,0.0714,0.0073,0.0814,0.3908,0.0883,2.1,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,0.0,NPU,11,0.2813,0.0048,0.1641,0.608,0.2927,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
