table,tag,n_streams,bg_level,infer_mode,placement_name,placement_spec,mean_sap,worst_sap,mean_map,worst_map,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_skip
schedule-shift,N=4,4,L0,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1508,0.1149,0.2465,0.1492,7.3,GPU,2,0.1214,0.0164,0.1749,0.5773,0.1492,0.0,GPU,22,0.211,0.0014,0.193,0.647,0.2189,0.0,GPU,3,0.1557,0.0034,0.2575,0.3488,0.3315,0.0,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L0,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1422,0.107,0.2376,0.1329,10.0,NPU,2,0.107,0.0113,0.138,0.5603,0.1329,5.2,NPU,22,0.191,0.001,0.1732,0.6117,0.1996,5.4,GPU,3,0.1557,0.0034,0.2575,0.3488,0.3315,0.0,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L0,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,8.0,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1362,0.0992,0.2435,0.1461,13.7,GPU,2,0.1083,0.0152,0.1433,0.4649,0.1461,24.3,GPU,22,0.207,0.0013,0.1915,0.633,0.2189,24.7,GPU,3,0.1303,0.0026,0.2388,0.2577,0.3274,26.1,GPU,21,0.0992,0.0092,0.0332,0.2391,0.2815,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1242,0.0862,0.2249,0.1329,13.0,NPU,2,0.1084,0.0113,0.1404,0.5587,0.1329,2.3,NPU,22,0.1913,0.001,0.1734,0.6131,0.1996,2.9,GPU,3,0.1107,0.0032,0.2257,0.2235,0.3055,30.2,GPU,21,0.0862,0.01,0.0188,0.2251,0.2615,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_light,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,8.4,NPU,2,0.1089,0.0114,0.1421,0.5658,0.1329,0.2,NPU,22,0.1912,0.001,0.1734,0.6138,0.1996,0.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1139,0.0731,0.2011,0.1217,15.6,GPU,2,0.0904,0.0131,0.0988,0.4012,0.1217,66.0,GPU,22,0.1939,0.001,0.1905,0.5889,0.1776,66.7,GPU,3,0.0984,0.0017,0.1926,0.2119,0.2733,70.0,GPU,21,0.0731,0.0079,0.0136,0.1945,0.2317,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1167,0.0741,0.1952,0.1329,14.6,NPU,2,0.1096,0.0113,0.1427,0.5653,0.1329,1.6,NPU,22,0.1898,0.0009,0.1737,0.6094,0.1996,2.5,GPU,3,0.0934,0.0031,0.195,0.2058,0.2389,47.4,GPU,21,0.0741,0.0094,0.0138,0.1993,0.2092,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L1_heavy,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.2123,0.1329,8.5,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L2_lm,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1021,0.0596,0.1482,0.0915,15.8,GPU,2,0.0819,0.012,0.0885,0.3738,0.0915,83.6,GPU,22,0.1841,0.001,0.1869,0.557,0.1296,84.1,GPU,3,0.0828,0.0017,0.1573,0.1251,0.2087,81.4,GPU,21,0.0596,0.0072,0.0101,0.1612,0.1629,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L2_lm,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0792,0.0574,0.1008,0.0423,15.9,NPU,2,0.0581,0.0047,0.0489,0.2885,0.0423,99.1,NPU,22,0.1405,0.0008,0.1609,0.4154,0.0634,99.2,GPU,3,0.0609,0.0015,0.1111,0.086,0.1506,96.7,GPU,21,0.0574,0.0061,0.0094,0.1544,0.1469,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L2_lm,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1118,0.0645,0.2067,0.1325,15.1,NPU,2,0.0947,0.0101,0.1101,0.497,0.1325,31.6,NPU,22,0.1817,0.0009,0.1722,0.579,0.1952,28.3,NPU,3,0.1064,0.0003,0.1707,0.3191,0.286,24.4,NPU,21,0.0645,0.0003,0.0132,0.1744,0.2132,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L3_vlm,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0443,0.012,0.0274,0.0182,16.3,GPU,2,0.0288,0.0029,0.0222,0.1409,0.0182,100.0,GPU,22,0.1158,0.0006,0.1551,0.3227,0.0237,100.0,GPU,3,0.0205,0.0002,0.0298,0.0236,0.0402,100.0,GPU,21,0.012,0.0023,0.0022,0.0344,0.0275,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L3_vlm,single,SizeAware,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0827,0.0159,0.1025,0.0339,16.6,NPU,2,0.1079,0.0113,0.1396,0.5598,0.1329,3.2,NPU,22,0.1908,0.001,0.1736,0.6118,0.1996,3.4,GPU,3,0.0162,0.0001,0.0309,0.0227,0.0434,100.0,GPU,21,0.0159,0.0025,0.0023,0.0377,0.0339,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=4,4,L3_vlm,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1262,0.0836,0.2123,0.1329,8.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,0.0,NPU,22,0.1912,0.001,0.1733,0.6142,0.1996,0.2,NPU,3,0.1211,0.0005,0.1808,0.3389,0.2899,0.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schedule-shift,N=8,8,L0,single,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1742,0.071,0.218,0.1132,21.0,GPU,2,0.0887,0.0131,0.095,0.4057,0.1132,76.8,GPU,22,0.1917,0.001,0.1897,0.5822,0.1658,76.2,GPU,13,0.1581,0.0087,0.0931,0.3599,0.1951,34.4,GPU,16,0.201,0.0074,0.5843,0.3356,0.2109,82.6,GPU,3,0.0916,0.0018,0.1829,0.1408,0.2439,80.9,GPU,21,0.071,0.0078,0.0146,0.1874,0.2132,83.0,GPU,14,0.3777,0.0562,0.2082,0.581,0.4282,33.6,GPU,4,0.2138,0.0,0.1318,0.5345,0.1734,49.0
schedule-shift,N=8,8,L0,single,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2117,0.0938,0.2832,0.1324,19.3,NPU,2,0.1036,0.0117,0.1253,0.5067,0.1324,13.3,NPU,22,0.1894,0.001,0.1728,0.6041,0.1979,13.3,NPU,13,0.1845,0.0038,0.0831,0.3979,0.2209,3.5,NPU,16,0.3547,0.0051,0.4941,0.6714,0.3906,4.6,GPU,3,0.1271,0.0028,0.2375,0.2844,0.3316,28.8,GPU,21,0.0938,0.0094,0.0267,0.2309,0.2862,28.4,GPU,14,0.4276,0.0564,0.2136,0.6456,0.4934,13.1,GPU,4,0.213,0.0,0.1327,0.5315,0.2126,19.6
schedule-shift,N=8,8,L0,single,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.2127,0.0811,0.2713,0.1329,17.5,NPU,2,0.1067,0.011,0.1377,0.5539,0.1329,5.7,NPU,22,0.1894,0.001,0.1731,0.6059,0.1996,6.1,NPU,13,0.185,0.0038,0.0841,0.3897,0.2207,2.5,NPU,16,0.357,0.005,0.4946,0.6783,0.3906,2.3,NPU,3,0.1204,0.0005,0.1815,0.3357,0.2899,3.1,NPU,21,0.0811,0.0014,0.0237,0.2089,0.2268,2.5,GPU,14,0.4487,0.0568,0.2147,0.6711,0.4963,0.7,GPU,4,0.2134,0.0,0.1327,0.5323,0.2133,1.2
schedule-shift,N=8,8,L0,single,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2082,0.0836,0.2647,0.1329,15.9,NPU,2,0.109,0.0113,0.1419,0.5659,0.1329,0.2,NPU,22,0.1908,0.001,0.1734,0.6131,0.1996,0.2,NPU,13,0.1863,0.0038,0.0854,0.3987,0.2209,0.6,NPU,16,0.3591,0.0051,0.4956,0.6831,0.3906,0.0,NPU,3,0.1212,0.0005,0.1816,0.3389,0.2899,0.4,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,0.0,NPU,14,0.4112,0.0136,0.199,0.6552,0.4512,0.2,NPU,4,0.2048,0.0,0.0815,0.5459,0.2059,0.2
