sid,log_id,device,infer_mode,bg_level,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_s,map_m,map_l,latency_mean,eff_e2e_mean,frame_skip_pct,wall_sec
0,00c561b9-2057-358d-82c6-5b06d76cebcf,CPU,,L0,0.066,0.1127,0.0168,0.1309,0.4412,0.0823,0.0204,0.1552,0.5601,30.8422,30.8555,4.7126,27.7988
1,033669d3-3d6b-3d3d-bd93-7985d86653ea,CPU,,L0,0.0726,0.1519,0.0032,0.0834,0.2421,0.107,0.0033,0.1086,0.4311,30.2999,30.2987,3.3295,27.3291
2,1d676737-4110-3f7e-bec0-0c90f74c248f,CPU,,L0,0.1198,0.189,0.0164,0.1717,0.5735,0.1492,0.0181,0.2558,0.7927,30.8269,30.8703,2.2779,14.4933
3,2d12da1d-5238-3870-bfbc-b281d5e8c1a1,CPU,,L0,0.1523,0.3681,0.0036,0.2569,0.3423,0.3316,0.005,0.3534,0.5205,30.8205,30.8345,3.3708,14.6617
4,33737504-3373-3373-3373-633738571776,CPU,,L0,0.2132,0.2826,0.0,0.1322,0.5324,0.2133,0.0,0.1327,0.5325,31.0748,31.0491,5.0,20.825
5,39556000-3955-3955-3955-039557148672,CPU,,L0,0.4284,0.5264,0.0175,0.2168,0.5891,0.4608,0.019,0.231,0.6421,30.9911,31.0169,2.1845,13.7234
6,5ab2697b-6e3e-3454-a36a-aba2c6f27818,CPU,,L0,0.0946,0.1813,0.0117,0.0821,0.3364,0.1493,0.0139,0.1396,0.5766,30.6272,30.6075,4.5558,14.37
7,5f317f5f-3ce9-355b-acf9-386a8c682252,CPU,,L0,0.2165,0.3772,0.0005,0.1733,0.3994,0.2845,0.0035,0.2164,0.5623,30.736,30.744,6.621,14.4032
8,64724064-6472-6472-6472-764725145600,CPU,,L0,0.0991,0.1778,0.0086,0.1483,0.413,0.1268,0.0121,0.1871,0.5863,31.2571,31.2462,7.4505,27.8068
9,6db21fda-80cd-3f85-b4a7-0aadeb14724d,CPU,,L0,0.1121,0.1728,0.0045,0.1271,0.2332,0.1443,0.0063,0.1889,0.3525,31.1019,31.1014,2.3923,20.4549
10,70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,CPU,,L0,0.1525,0.2718,0.0231,0.1405,0.3306,0.2113,0.028,0.2429,0.4882,30.4894,30.4996,1.6055,14.2277
11,7d37fc6b-1028-3f6f-b980-adb5fa73021e,CPU,,L0,0.2858,0.3977,0.0059,0.1782,0.6096,0.3017,0.0065,0.2226,0.7415,30.8933,30.8986,3.7887,27.8686
12,85bc130b-97ae-37fb-a129-4fc07c80cca7,CPU,,L0,0.4805,0.6272,0.0677,0.4785,0.8799,0.4935,0.0682,0.4349,0.9175,30.9473,30.959,2.9613,14.5347
13,aeb73d7a-8257-3225-972e-99307b3a5cb0,CPU,,L0,0.1981,0.2928,0.0094,0.1087,0.4059,0.2415,0.0097,0.1549,0.5245,30.3258,30.3455,2.5434,27.188
14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,CPU,,L0,0.4454,0.5735,0.0574,0.2143,0.6635,0.4965,0.0592,0.23,0.7463,30.5545,30.5595,4.7072,27.5633
15,c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,CPU,,L0,0.1164,0.2262,0.0193,0.1332,0.3757,0.1787,0.0244,0.2083,0.626,30.308,30.3406,1.8626,27.0018
16,cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,CPU,,L0,0.2426,0.3731,0.0078,0.6306,0.485,0.2698,0.0086,0.6374,0.6,30.8274,30.8154,2.2779,14.4678
17,cb762bb1-7ce1-3ba5-b53d-13c159b532c8,CPU,,L0,0.244,0.3773,0.0213,0.2475,0.6206,0.2768,0.0215,0.2789,0.7011,31.0049,30.9857,4.0449,14.7334
18,cd5bb988-092e-396c-8f33-e30969c98535,CPU,,L0,0.2015,0.2533,0.0179,0.0955,0.7471,0.2208,0.0201,0.1206,0.8397,30.4869,30.5223,5.2813,27.53
19,cd64733a-dd8a-3bdf-b46a-b7144226168a,CPU,,L0,0.1117,0.1927,0.0124,0.1148,0.3466,0.1827,0.0175,0.2341,0.6036,31.563,31.5634,12.8736,14.692
20,da734d26-8229-383f-b685-8086e58d1e05,CPU,,L0,0.0946,0.1605,0.008,0.0707,0.2465,0.1606,0.0091,0.1798,0.5287,31.9526,32.0079,20.0456,15.0267
21,e9a96218-365b-3ecd-a800-ed2c4c306c78,CPU,,L0,0.1067,0.2637,0.0101,0.0399,0.2486,0.2864,0.0117,0.2904,0.5051,31.7013,31.7159,16.1731,14.8896
22,f1008c18-e76e-3c24-adcc-da9858fac145,CPU,,L0,0.2102,0.3638,0.0014,0.1918,0.6427,0.2189,0.0023,0.1936,0.6816,31.422,31.5687,8.1081,14.9786
23,f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,CPU,,L0,0.1526,0.3006,0.034,0.1638,0.4829,0.2601,0.0493,0.3589,0.6641,30.8472,30.8743,3.8375,14.6185
