log_id,device,infer_mean_ms,infer_p95_ms,proc_percent,sap_5095,sap_50,sap_small,sap_medium,sap_large,miss_count,frame_count
00c561b9-2057-358d-82c6-5b06d76cebcf,CPU,32.72,34.77,99.0,0.0594,0.1136,0.0156,0.12,0.3957,2,901
00c561b9-2057-358d-82c6-5b06d76cebcf,GPU,7.76,8.14,100.0,0.069,0.1177,0.0176,0.1332,0.4667,2,901
00c561b9-2057-358d-82c6-5b06d76cebcf,NPU,9.74,10.49,100.0,0.0604,0.0958,0.0113,0.1025,0.4538,1,901
033669d3-3d6b-3d3d-bd93-7985d86653ea,CPU,34.27,42.79,96.89,0.0485,0.1074,0.0032,0.0645,0.1342,2,901
033669d3-3d6b-3d3d-bd93-7985d86653ea,GPU,7.64,7.95,100.0,0.0798,0.1689,0.0037,0.094,0.2634,1,901
033669d3-3d6b-3d3d-bd93-7985d86653ea,NPU,9.41,10.0,100.0,0.0659,0.1312,0.0014,0.0671,0.2353,1,901
1d676737-4110-3f7e-bec0-0c90f74c248f,CPU,35.0,43.02,94.88,0.095,0.15,0.0137,0.1059,0.4198,2,469
1d676737-4110-3f7e-bec0-0c90f74c248f,GPU,8.19,8.64,100.0,0.1223,0.192,0.0167,0.1721,0.5759,1,469
1d676737-4110-3f7e-bec0-0c90f74c248f,NPU,10.1,10.81,100.0,0.111,0.17,0.0117,0.1398,0.5659,1,469
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,CPU,30.28,31.16,100.0,0.1671,0.3817,0.0037,0.2821,0.3489,1,475
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,GPU,8.0,8.27,100.0,0.1683,0.3828,0.0037,0.2834,0.3503,1,475
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,NPU,9.95,10.57,100.0,0.133,0.3073,0.0017,0.2136,0.3409,1,475
33737504-3373-3373-3373-633738571776,CPU,32.13,33.4,100.0,0.2127,0.2818,0.0003,0.1328,0.5316,1,670
33737504-3373-3373-3373-633738571776,GPU,8.08,8.37,100.0,0.2127,0.282,0.0003,0.1327,0.5318,1,670
33737504-3373-3373-3373-633738571776,NPU,10.16,10.91,100.0,0.2014,0.2417,0.0,0.0839,0.5385,1,670
39556000-3955-3955-3955-039557148672,CPU,32.26,33.66,100.0,0.3385,0.5773,0.0171,0.2134,0.4419,1,442
39556000-3955-3955-3955-039557148672,GPU,8.09,8.32,100.0,0.35,0.6142,0.0171,0.1815,0.4578,1,442
39556000-3955-3955-3955-039557148672,NPU,10.07,10.72,100.0,0.3636,0.6166,0.0098,0.1346,0.4892,1,442
5ab2697b-6e3e-3454-a36a-aba2c6f27818,CPU,34.79,42.06,95.52,0.0639,0.1328,0.0088,0.0578,0.2025,2,469
5ab2697b-6e3e-3454-a36a-aba2c6f27818,GPU,7.85,8.16,100.0,0.0974,0.1811,0.0111,0.0863,0.3527,1,469
5ab2697b-6e3e-3454-a36a-aba2c6f27818,NPU,9.61,10.31,100.0,0.0944,0.1696,0.0084,0.0894,0.3434,1,469
5f317f5f-3ce9-355b-acf9-386a8c682252,CPU,31.86,32.98,100.0,0.206,0.3634,0.0002,0.1648,0.3962,1,468
5f317f5f-3ce9-355b-acf9-386a8c682252,GPU,7.87,8.23,100.0,0.2117,0.3637,0.0002,0.1665,0.4123,1,468
5f317f5f-3ce9-355b-acf9-386a8c682252,NPU,9.84,10.61,100.0,0.1926,0.3162,0.0,0.1383,0.4071,1,468
64724064-6472-6472-6472-764725145600,CPU,31.64,33.53,99.89,0.0906,0.1734,0.0091,0.1275,0.3755,2,890
