log_id,mean_objects,median_objects,max_objects,std_objects,class_diversity,scene_label,dominant_class,frame_count,sid
00c561b9-2057-358d-82c6-5b06d76cebcf,10.064,10.0,18,4.198,0.531,Light,car,901,0
033669d3-3d6b-3d3d-bd93-7985d86653ea,11.895,11.0,20,4.435,0.455,Light,car,901,1
1d676737-4110-3f7e-bec0-0c90f74c248f,35.303,35.0,44,3.889,0.663,Dense,person,469,2
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,19.326,19.0,30,6.059,0.32,Medium,car,475,3
33737504-3373-3373-3373-633738571776,18.193,19.0,21,1.777,0.573,Medium,car,670,4
39556000-3955-3955-3955-039557148672,10.0,10.0,12,1.159,0.146,Light,car,442,5
5ab2697b-6e3e-3454-a36a-aba2c6f27818,23.373,23.0,35,4.129,0.325,Dense,car,469,6
5f317f5f-3ce9-355b-acf9-386a8c682252,6.917,7.0,10,1.952,0.454,Light,car,468,7
64724064-6472-6472-6472-764725145600,14.178,15.0,22,3.335,0.348,Medium,car,890,8
6db21fda-80cd-3f85-b4a7-0aadeb14724d,16.295,16.0,28,5.946,0.427,Medium,car,657,9
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,21.384,22.0,37,5.386,0.459,Medium,car,466,10
7d37fc6b-1028-3f6f-b980-adb5fa73021e,30.887,29.0,56,10.731,0.697,Dense,car,901,11
85bc130b-97ae-37fb-a129-4fc07c80cca7,12.055,13.0,15,3.015,0.47,Light,car,469,12
aeb73d7a-8257-3225-972e-99307b3a5cb0,16.825,15.0,36,5.905,0.553,Medium,car,895,13
b1ca08f1-24b0-3c39-ba4e-d5a92868462c,14.079,14.0,17,1.661,0.497,Medium,traffic_light,901,14
c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,7.875,8.0,15,2.566,0.45,Light,car,889,15
cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,10.041,11.0,12,1.883,0.116,Light,car,469,16
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,23.312,23.0,27,1.938,0.473,Dense,car,475,17
cd5bb988-092e-396c-8f33-e30969c98535,8.954,9.0,12,1.443,0.394,Light,car,901,18
cd64733a-dd8a-3bdf-b46a-b7144226168a,23.751,26.0,36,8.161,0.515,Dense,car,466,19
da734d26-8229-383f-b685-8086e58d1e05,25.162,26.0,34,5.334,0.545,Dense,car,469,20
e9a96218-365b-3ecd-a800-ed2c4c306c78,21.582,22.0,38,8.073,0.383,Dense,car,469,21
f1008c18-e76e-3c24-adcc-da9858fac145,23.076,23.0,27,2.297,0.553,Dense,car,475,22
f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,17.459,16.0,26,4.39,0.494,Medium,car,475,23
