bg_level,n_streams,stream_id,eff_latency_mean,eff_latency_p95,infer_latency_mean,infer_latency_p95,frame_skip_pct,n_processed,sap_5095,sap_50,sap_small,sap_medium,sap_large
L0,1,0,9.25,15.77,9.25,15.77,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,2,0,12.61,21.47,12.61,21.47,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,2,1,12.61,21.41,12.61,21.41,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,3,0,15.14,24.04,15.14,24.03,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,3,1,15.06,24.29,15.06,24.29,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,3,2,15.0,24.11,15.0,24.11,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,4,0,17.4,26.98,17.39,26.98,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,4,1,17.36,27.72,17.36,27.72,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,4,2,17.48,27.42,17.48,27.42,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
L0,4,3,17.45,27.11,17.45,27.11,0.5,442,0.4336,0.5257,0.0179,0.2183,0.5951
L0,5,0,24.73,42.94,24.73,42.94,19.6,427,0.4179,0.5239,0.0167,0.2103,0.5686
L0,5,1,24.65,44.29,24.65,44.29,19.5,429,0.4187,0.5253,0.0169,0.2125,0.5684
L0,5,2,24.68,44.04,24.68,44.04,21.3,424,0.4158,0.5236,0.0168,0.2115,0.5635
L0,5,3,24.22,42.91,24.22,42.91,17.5,429,0.4155,0.5226,0.0147,0.2113,0.5653
L0,5,4,24.4,43.28,24.4,43.28,20.1,429,0.4202,0.5249,0.0163,0.2135,0.5718
L0,6,0,25.54,38.58,25.53,38.58,15.8,442,0.4256,0.5263,0.0176,0.2142,0.5827
L0,6,1,26.0,38.7,26.0,38.7,16.7,442,0.4256,0.5273,0.0176,0.2142,0.5822
L0,6,2,25.82,39.65,25.82,39.65,17.0,441,0.4256,0.5274,0.0176,0.2134,0.5813
L0,6,3,26.09,40.43,26.09,40.43,16.5,441,0.427,0.5289,0.017,0.2139,0.5844
L0,6,4,25.99,40.35,25.99,40.35,17.5,441,0.4214,0.524,0.0173,0.2128,0.5747
L0,6,5,25.97,39.96,25.97,39.96,16.1,441,0.4258,0.5291,0.0183,0.2152,0.5814
L1,1,0,18.97,28.77,18.97,28.77,2.7,442,0.4324,0.5256,0.0176,0.2178,0.5935
L1,2,0,21.13,34.84,21.13,34.84,6.4,439,0.4284,0.526,0.0168,0.2149,0.5895
L1,2,1,21.37,35.79,21.37,35.79,7.1,440,0.4304,0.526,0.0176,0.2153,0.5919
L1,3,0,23.94,37.7,23.94,37.7,7.5,442,0.4283,0.525,0.0174,0.2148,0.5868
L1,3,1,23.76,35.82,23.76,35.82,7.3,442,0.4292,0.5265,0.0181,0.2176,0.5875
L1,3,2,23.85,35.79,23.85,35.79,8.3,441,0.4293,0.527,0.018,0.2161,0.5872
L1,4,0,32.2,55.28,32.2,55.28,39.9,423,0.4004,0.5212,0.0155,0.2026,0.5422
L1,4,1,31.7,51.88,31.7,51.88,38.5,422,0.4058,0.5252,0.0165,0.2082,0.5454
L1,4,2,31.84,51.73,31.84,51.73,39.1,426,0.4086,0.5276,0.0177,0.202,0.5512
L1,4,3,30.97,50.35,30.97,50.35,35.6,432,0.4053,0.5176,0.0166,0.2054,0.5507
L1,5,0,41.92,66.86,41.92,66.85,70.4,344,0.3779,0.5232,0.0142,0.1907,0.5066
L1,5,1,41.75,68.08,41.75,68.08,67.7,343,0.3761,0.518,0.0147,0.1894,0.5081
L1,5,2,41.05,73.44,41.05,73.44,63.5,348,0.3787,0.5223,0.0159,0.1907,0.506
L1,5,3,41.82,70.3,41.81,70.3,70.0,343,0.3669,0.5139,0.0145,0.1885,0.4941
L1,5,4,43.1,72.66,43.1,72.66,71.0,333,0.3738,0.5269,0.0138,0.1902,0.5009
L1,6,0,48.41,76.38,48.41,76.38,76.0,297,0.3626,0.5212,0.0159,0.1832,0.4875
L1,6,1,51.81,85.12,51.8,85.11,84.2,283,0.3631,0.5288,0.0144,0.1827,0.4819
L1,6,2,50.16,80.79,50.16,80.79,81.2,291,0.3602,0.5243,0.0118,0.1813,0.4827
L1,6,3,48.6,78.39,48.6,78.39,79.7,301,0.3647,0.5206,0.0155,0.1827,0.4897
L1,6,4,49.69,79.55,49.69,79.55,79.7,291,0.3594,0.521,0.0143,0.1839,0.4815
L1,6,5,48.85,79.04,48.85,79.04,79.7,296,0.3643,0.5211,0.0136,0.1845,0.4877
L2,1,0,34.08,55.01,34.08,55.01,40.3,407,0.4034,0.5205,0.0172,0.1989,0.5444
L2,2,0,42.56,70.24,42.56,70.24,73.2,340,0.3762,0.5239,0.0139,0.1916,0.5045
L2,2,1,43.63,70.22,43.63,70.22,74.6,337,0.3755,0.5196,0.0154,0.189,0.5038
L2,3,0,52.99,84.66,52.99,84.66,81.4,277,0.3552,0.5262,0.014,0.1815,0.4707
L2,3,1,51.44,92.65,51.43,92.65,76.5,290,0.3508,0.5124,0.0163,0.1762,0.4674
L2,3,2,49.44,87.91,49.43,87.91,76.9,294,0.3621,0.5283,0.0128,0.1805,0.4852
L2,4,0,66.81,122.13,66.81,122.13,88.9,219,0.3209,0.5055,0.0101,0.1644,0.4258
L2,4,1,62.71,114.26,62.71,114.26,88.1,231,0.3438,0.5292,0.0132,0.1671,0.4553
L2,4,2,65.93,116.87,65.93,116.87,89.5,220,0.3256,0.5224,0.0135,0.167,0.4318
L2,4,3,69.9,136.33,69.9,136.33,90.7,213,0.3061,0.5133,0.0109,0.1603,0.4105
L2,5,0,73.4,149.66,73.4,149.66,89.3,199,0.3053,0.5213,0.01,0.1542,0.4017
L2,5,1,64.45,129.51,64.45,129.51,88.4,219,0.3248,0.5196,0.0125,0.165,0.4246
L2,5,2,65.36,129.46,65.36,129.46,83.7,220,0.3164,0.5077,0.0128,0.1647,0.4141
L2,5,3,66.92,141.17,66.92,141.17,83.3,216,0.3093,0.5115,0.0108,0.1539,0.4138
L2,5,4,69.97,140.22,69.97,140.22,86.0,208,0.3132,0.5127,0.0121,0.1578,0.4128
L2,6,0,87.73,165.25,87.73,165.25,90.3,164,0.2772,0.4999,0.0082,0.1469,0.3582
L2,6,1,87.8,176.05,87.8,176.05,92.9,170,0.2713,0.5031,0.011,0.1384,0.3567
L2,6,2,83.06,190.0,83.06,190.0,87.8,177,0.2855,0.4954,0.0112,0.1448,0.3749
L2,6,3,80.24,179.12,80.24,179.12,87.3,180,0.2845,0.511,0.0093,0.1459,0.3742
L2,6,4,75.72,158.84,75.72,158.84,91.1,187,0.2899,0.5089,0.0092,0.1477,0.3798
L2,6,5,83.25,169.81,83.25,169.81,86.3,169,0.2783,0.5193,0.0107,0.1501,0.358
L3,1,0,317.84,639.96,317.84,639.96,91.7,42,0.0597,0.2126,0.0008,0.0452,0.0682
L3,2,0,372.31,777.34,372.3,777.33,100.0,44,0.0685,0.2283,0.0017,0.045,0.0824
L3,2,1,279.84,506.86,279.84,506.86,100.0,50,0.074,0.234,0.0012,0.0507,0.0852
L3,3,0,248.9,472.89,248.9,472.89,100.0,56,0.1059,0.3373,0.0009,0.0646,0.1256
L3,3,1,329.05,633.87,329.05,633.87,93.8,46,0.0785,0.2808,0.0017,0.0454,0.0908
L3,3,2,318.78,669.62,318.78,669.62,100.0,43,0.0574,0.1913,0.0019,0.0512,0.0644
L3,4,0,362.63,599.31,362.63,599.31,100.0,46,0.0735,0.2605,0.0009,0.0489,0.0848
L3,4,1,336.31,623.1,336.31,623.1,94.4,48,0.0692,0.2148,0.001,0.0462,0.0808
L3,4,2,273.42,576.31,273.42,576.31,100.0,55,0.0817,0.284,0.0018,0.0628,0.0957
L3,4,3,271.75,471.84,271.75,471.84,100.0,53,0.1021,0.3047,0.0038,0.0532,0.1222
L3,5,0,280.75,594.75,280.75,594.75,100.0,49,0.0779,0.2505,0.0048,0.0447,0.0913
L3,5,1,246.28,434.9,246.28,434.9,100.0,49,0.053,0.1842,0.0014,0.0411,0.0649
L3,5,2,289.85,537.71,289.84,537.7,100.0,47,0.0778,0.2505,0.0013,0.0527,0.093
L3,5,3,342.44,628.6,342.44,628.6,100.0,49,0.1061,0.2991,0.0032,0.0516,0.1216
L3,5,4,238.77,420.52,238.77,420.52,100.0,57,0.0938,0.3159,0.0021,0.0562,0.1089
L3,6,0,280.45,568.07,280.45,568.07,95.5,52,0.0715,0.2343,0.0025,0.0537,0.0876
L3,6,1,220.69,433.84,220.69,433.84,92.9,58,0.1134,0.345,0.0019,0.0701,0.1331
L3,6,2,265.92,506.48,265.92,506.48,100.0,48,0.0883,0.2784,0.0006,0.0485,0.1026
L3,6,3,331.22,678.87,331.22,678.87,100.0,49,0.0789,0.2611,0.0025,0.0463,0.0963
L3,6,4,260.83,524.88,260.83,524.88,100.0,48,0.0723,0.2475,0.0014,0.0513,0.0818
L3,6,5,279.19,534.16,279.19,534.16,96.2,56,0.0776,0.2536,0.0023,0.0496,0.0955
