infer_mode,n_streams,stream_id,eff_latency_mean,eff_latency_p95,infer_latency_mean,infer_latency_p95,frame_skip_pct,n_processed,sap_5095,sap_50,sap_small,sap_medium,sap_large
multi,1,0,17.43,18.94,17.43,18.94,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,2,0,18.53,20.98,18.53,20.98,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,2,1,18.29,20.13,18.29,20.12,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,3,0,17.9,21.42,17.9,21.42,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,3,1,18.83,22.89,18.83,22.89,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,3,2,19.92,24.48,19.92,24.48,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,4,0,18.97,22.79,18.97,22.79,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,4,1,19.03,23.57,19.03,23.57,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,4,2,22.42,24.81,22.42,24.81,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
multi,4,3,18.85,23.22,18.85,23.22,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
