test,bg_level,stream_id,device,sid,log_id,infer_mean_ms,infer_p95_ms,eff_mean_ms,frame_skip_pct,n_processed,sap_5095,sap_50,sap_small,sap_medium,sap_large
T1_4GPU_L0,L0,0,GPU,5,39556000-3955-3955-3955-039557148672,15.9,20.93,15.9,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
T1_4GPU_L0,L0,1,GPU,5,39556000-3955-3955-3955-039557148672,15.93,21.79,15.93,0.49,442,0.4336,0.5258,0.0179,0.2181,0.5952
T1_4GPU_L0,L0,2,GPU,5,39556000-3955-3955-3955-039557148672,15.68,20.64,15.68,0.24,442,0.4333,0.5258,0.0176,0.2181,0.595
T1_4GPU_L0,L0,3,GPU,5,39556000-3955-3955-3955-039557148672,15.65,22.12,15.65,0.24,442,0.4336,0.5257,0.0179,0.2177,0.5953
T2_2GPU_2NPU_L0,L0,0,GPU,5,39556000-3955-3955-3955-039557148672,14.05,21.97,14.05,0.0,442,0.4337,0.5258,0.0179,0.2182,0.5954
T2_2GPU_2NPU_L0,L0,1,GPU,12,85bc130b-97ae-37fb-a129-4fc07c80cca7,13.77,20.66,13.77,0.0,469,0.4825,0.6272,0.0678,0.4786,0.8864
T2_2GPU_2NPU_L0,L0,2,NPU,13,aeb73d7a-8257-3225-972e-99307b3a5cb0,19.0,29.12,19.0,2.89,894,0.1812,0.2727,0.0038,0.0844,0.3919
T2_2GPU_2NPU_L0,L0,3,NPU,14,b1ca08f1-24b0-3c39-ba4e-d5a92868462c,18.85,30.05,18.85,3.33,901,0.4083,0.5218,0.0123,0.1981,0.651
T3_1NPU_L0,L0,0,NPU,5,39556000-3955-3955-3955-039557148672,15.37,16.33,15.37,0.0,442,0.4381,0.526,0.0098,0.1728,0.6224
T4_4GPU_L2,L2,0,GPU,5,39556000-3955-3955-3955-039557148672,58.96,121.27,58.96,82.49,247,0.3499,0.5305,0.0131,0.1728,0.4605
T4_4GPU_L2,L2,1,GPU,5,39556000-3955-3955-3955-039557148672,56.25,109.26,56.25,79.91,264,0.3373,0.5272,0.0129,0.171,0.4486
T4_4GPU_L2,L2,2,GPU,5,39556000-3955-3955-3955-039557148672,52.98,99.53,52.98,79.83,268,0.353,0.5216,0.0132,0.1775,0.4729
T4_4GPU_L2,L2,3,GPU,5,39556000-3955-3955-3955-039557148672,60.5,122.28,60.5,85.31,241,0.3306,0.5091,0.0129,0.1649,0.44
