log_id,n_frames,n_objects_total,mean_area,median_area,pct_small_count,pct_medium_count,pct_large_count,pct_small_area,pct_medium_area,pct_large_area,size_label
00c561b9-2057-358d-82c6-5b06d76cebcf,901,9068,11765.6,980.0,0.512,0.2597,0.2283,0.0197,0.0686,0.9117,medium-mixed
033669d3-3d6b-3d3d-bd93-7985d86653ea,901,10717,11214.5,1806.0,0.3401,0.443,0.2169,0.0175,0.1278,0.8547,medium-mixed
1d676737-4110-3f7e-bec0-0c90f74c248f,469,16557,7239.6,663.0,0.6187,0.3242,0.0571,0.0369,0.132,0.8312,small-dominant
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,475,9180,12637.5,3005.5,0.2076,0.5365,0.2559,0.0097,0.1449,0.8454,large-dominant
33737504-3373-3373-3373-633738571776,670,12189,92511.3,3564.0,0.3678,0.3024,0.3298,0.0015,0.012,0.9865,large-dominant
39556000-3955-3955-3955-039557148672,442,4420,16180.0,4788.3,0.2593,0.3898,0.3509,0.0063,0.1005,0.8932,large-dominant
5ab2697b-6e3e-3454-a36a-aba2c6f27818,469,10962,13520.0,1482.0,0.4017,0.3906,0.2077,0.0163,0.093,0.8906,medium-mixed
5f317f5f-3ce9-355b-acf9-386a8c682252,468,3237,34842.1,6885.0,0.1205,0.4829,0.3967,0.0016,0.0601,0.9382,large-dominant
64724064-6472-6472-6472-764725145600,890,12618,15327.1,1280.5,0.4469,0.3666,0.1865,0.0153,0.0736,0.9111,medium-mixed
6db21fda-80cd-3f85-b4a7-0aadeb14724d,657,10706,18000.1,3848.0,0.2535,0.4388,0.3077,0.0067,0.0958,0.8975,large-dominant
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,466,9965,13212.7,1893.1,0.3558,0.4543,0.1899,0.0133,0.1111,0.8756,medium-mixed
7d37fc6b-1028-3f6f-b980-adb5fa73021e,901,27829,36727.4,2012.2,0.3543,0.4377,0.2079,0.0041,0.0366,0.9594,medium-mixed
85bc130b-97ae-37fb-a129-4fc07c80cca7,469,5654,14799.3,1100.0,0.4169,0.4266,0.1565,0.0172,0.0787,0.9041,small-dominant
aeb73d7a-8257-3225-972e-99307b3a5cb0,895,15058,8656.0,1218.0,0.4464,0.4334,0.1202,0.0258,0.1537,0.8205,small-dominant
b1ca08f1-24b0-3c39-ba4e-d5a92868462c,901,12685,13538.5,2808.0,0.3326,0.3644,0.303,0.0168,0.1113,0.8719,large-dominant
c9d6ebeb-be15-3df8-b6f1-5575bea8e6b9,889,7001,9254.2,1058.0,0.4918,0.3669,0.1413,0.0241,0.1232,0.8527,small-dominant
cb0cba51-dfaf-34e9-a0c2-d931404c3dd8,469,4709,15970.9,837.0,0.5347,0.3005,0.1648,0.0132,0.0604,0.9265,small-dominant
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,475,11073,12825.4,1775.0,0.3625,0.4542,0.1833,0.0134,0.1199,0.8667,medium-mixed
cd5bb988-092e-396c-8f33-e30969c98535,901,8068,17538.7,2773.0,0.3348,0.3513,0.314,0.0096,0.0707,0.9196,large-dominant
cd64733a-dd8a-3bdf-b46a-b7144226168a,466,11068,17321.4,1581.0,0.3966,0.4518,0.1515,0.0119,0.0875,0.9006,small-dominant
da734d26-8229-383f-b685-8086e58d1e05,469,11801,18175.1,2585.0,0.2933,0.4634,0.2433,0.0083,0.0885,0.9031,medium-mixed
e9a96218-365b-3ecd-a800-ed2c4c306c78,469,10122,9700.3,3003.0,0.389,0.3421,0.2689,0.0225,0.1466,0.8309,large-dominant
f1008c18-e76e-3c24-adcc-da9858fac145,475,10961,11883.6,1392.0,0.327,0.5665,0.1066,0.0131,0.1391,0.8478,small-dominant
f9fa3960-537f-3151-a1a3-37a9c0d6d7f7,475,8293,6762.5,1197.0,0.4651,0.4018,0.1331,0.0315,0.2192,0.7493,small-dominant
