log_id,sid,log_size_group,device,sap_5095,sap_50,sap_s,sap_m,sap_l,map_5095,map_50,map_s,map_m,map_l,latency_mean,latency_p95,latency_e2e_mean,frame_skip_pct,n_processed,wall_sec
1d676737-4110-3f7e-bec0-0c90f74c248f,2,small-rich,CPU,0.09,0.1417,0.0132,0.0986,0.4024,0.1229,0.1663,0.0154,0.2111,0.6421,40.59,44.31,40.6,99.4,384,15.66
1d676737-4110-3f7e-bec0-0c90f74c248f,2,small-rich,GPU,0.1214,0.1914,0.0164,0.1749,0.5773,0.1492,0.2003,0.0182,0.2557,0.7927,18.28,21.44,18.28,0.0,468,8.61
1d676737-4110-3f7e-bec0-0c90f74c248f,2,small-rich,NPU,0.106,0.1633,0.0113,0.1349,0.5434,0.1329,0.1747,0.0122,0.2126,0.7629,20.76,40.94,20.76,10.5,469,9.75
f1008c18-e76e-3c24-adcc-da9858fac145,22,small-rich,CPU,0.196,0.3474,0.0013,0.1898,0.5977,0.1931,0.32,0.0022,0.1694,0.6033,38.04,40.0,38.04,97.2,416,15.86
f1008c18-e76e-3c24-adcc-da9858fac145,22,small-rich,GPU,0.211,0.3635,0.0014,0.193,0.647,0.2189,0.364,0.0023,0.1946,0.682,18.28,21.93,18.28,0.0,475,8.71
f1008c18-e76e-3c24-adcc-da9858fac145,22,small-rich,NPU,0.1892,0.3389,0.0009,0.1739,0.6063,0.1996,0.3466,0.0024,0.1751,0.6538,20.94,42.84,20.94,10.1,475,9.87
aeb73d7a-8257-3225-972e-99307b3a5cb0,13,small-rich,CPU,0.1479,0.2692,0.0079,0.0715,0.3322,0.2089,0.2596,0.009,0.1357,0.4652,37.69,40.39,37.69,98.9,791,29.89
aeb73d7a-8257-3225-972e-99307b3a5cb0,13,small-rich,GPU,0.1986,0.2934,0.0096,0.1104,0.4074,0.2415,0.2996,0.0097,0.155,0.5245,18.1,20.99,18.1,0.0,895,16.21
aeb73d7a-8257-3225-972e-99307b3a5cb0,13,small-rich,NPU,0.1816,0.2701,0.0038,0.0828,0.3851,0.2209,0.2742,0.0045,0.1216,0.4815,19.82,40.03,19.82,8.6,895,17.75
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,17,medium-mixed,CPU,0.1996,0.356,0.0183,0.2016,0.5039,0.2407,0.3304,0.0188,0.2425,0.6081,38.32,40.23,38.32,98.2,413,15.86
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,17,medium-mixed,GPU,0.2481,0.3782,0.0213,0.2504,0.6281,0.277,0.3791,0.0216,0.2789,0.7011,18.37,21.7,18.37,0.0,475,8.72
cb762bb1-7ce1-3ba5-b53d-13c159b532c8,17,medium-mixed,NPU,0.2032,0.315,0.0101,0.1831,0.5907,0.233,0.323,0.0112,0.2117,0.6666,20.68,40.34,20.69,10.6,475,9.82
64724064-6472-6472-6472-764725145600,8,medium-mixed,CPU,0.068,0.1483,0.0056,0.0946,0.2711,0.1082,0.1591,0.0094,0.1605,0.5021,38.8,42.78,38.8,98.0,765,29.71
64724064-6472-6472-6472-764725145600,8,medium-mixed,GPU,0.102,0.1779,0.0089,0.1535,0.4326,0.1269,0.1855,0.0121,0.1874,0.5863,18.73,22.46,18.73,0.1,890,16.69
64724064-6472-6472-6472-764725145600,8,medium-mixed,NPU,0.0689,0.1247,0.007,0.0791,0.3774,0.0883,0.1329,0.0096,0.0995,0.5197,20.5,40.59,20.5,9.1,890,18.27
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,10,medium-mixed,CPU,0.1064,0.2204,0.0151,0.0812,0.22,0.1842,0.2719,0.0251,0.2142,0.418,38.3,42.34,38.3,98.9,405,15.56
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,10,medium-mixed,GPU,0.1536,0.2742,0.023,0.1421,0.3341,0.2113,0.3104,0.028,0.2429,0.4881,18.1,20.76,18.1,0.0,466,8.45
70d2aea5-dbeb-333d-b21e-76a7f2f1ba1c,10,medium-mixed,NPU,0.1424,0.2507,0.0176,0.1372,0.3141,0.2022,0.2904,0.0205,0.2342,0.4614,20.17,40.47,20.17,9.2,466,9.41
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,3,large-rich,CPU,0.0969,0.2384,0.0022,0.1861,0.2068,0.2879,0.4591,0.0047,0.3041,0.4524,38.34,39.93,38.34,100.0,413,15.87
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,3,large-rich,GPU,0.1557,0.375,0.0034,0.2575,0.3488,0.3315,0.5304,0.005,0.3534,0.5203,18.28,20.84,18.28,0.0,475,8.69
2d12da1d-5238-3870-bfbc-b281d5e8c1a1,3,large-rich,NPU,0.1123,0.2695,0.0004,0.1766,0.3199,0.2899,0.4448,0.0008,0.2598,0.5274,20.41,41.5,20.41,10.6,475,9.7
e9a96218-365b-3ecd-a800-ed2c4c306c78,21,large-rich,CPU,0.0735,0.1755,0.0082,0.0137,0.1961,0.2508,0.3857,0.0104,0.2544,0.4549,38.3,42.5,38.3,98.9,408,15.67
e9a96218-365b-3ecd-a800-ed2c4c306c78,21,large-rich,GPU,0.1149,0.2931,0.01,0.0469,0.2617,0.2865,0.4405,0.0117,0.2904,0.5051,18.31,21.11,18.31,0.0,469,8.61
e9a96218-365b-3ecd-a800-ed2c4c306c78,21,large-rich,NPU,0.0806,0.1896,0.0016,0.0223,0.2075,0.2268,0.3273,0.0016,0.2486,0.3958,20.18,40.11,20.18,9.3,469,9.49
