bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,map_var,mean_latency,frame_skip_total,wall_sec,s0_dev,s0_sap,s0_map,s0_sap_s,s0_sap_m,s0_sap_l,s0_lat,s0_skip,s1_dev,s1_sap,s1_map,s1_sap_s,s1_sap_m,s1_sap_l,s1_lat,s1_skip,s2_dev,s2_sap,s2_map,s2_sap_s,s2_sap_m,s2_sap_l,s2_lat,s2_skip,s3_dev,s3_sap,s3_map,s3_sap_s,s3_sap_m,s3_sap_l,s3_lat,s3_skip
L1,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1249,0.0844,0.002139,0.2297,0.1408,0.003906,32.75,171.7,14.9,GPU,0.099,0.1408,0.0143,0.1202,0.4479,32.69,39.7,GPU,0.2031,0.2075,0.0015,0.1916,0.6197,32.57,43.7,GPU,0.1133,0.3082,0.0028,0.213,0.2727,33.23,46.1,GPU,0.0844,0.2623,0.0092,0.0216,0.2152,32.51,42.2
L1,SizeAware+Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1372,0.1046,0.001208,0.2376,0.1329,0.005901,22.62,19.9,11.8,NPU,0.1089,0.1329,0.0114,0.142,0.5659,20.42,0.2,NPU,0.1912,0.1996,0.001,0.1733,0.614,20.67,0.0,GPU,0.1441,0.3315,0.0034,0.2492,0.3272,24.79,9.7,GPU,0.1046,0.2865,0.0101,0.0349,0.2507,24.59,10.0
L1,SizeBlindRev+Oracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1334,0.0836,0.002187,0.2212,0.1492,0.002483,21.47,11.6,11.3,GPU,0.1184,0.1492,0.0162,0.1688,0.5689,23.68,5.9,GPU,0.2102,0.2189,0.0014,0.1924,0.6451,23.5,5.6,NPU,0.1214,0.2899,0.0005,0.1816,0.339,19.52,0.0,NPU,0.0836,0.2268,0.0014,0.0244,0.2127,19.19,0.0
L1,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1365,0.0836,0.002116,0.2316,0.1492,0.004238,24.64,42.1,12.6,GPU,0.1142,0.1492,0.0159,0.1583,0.545,26.45,13.7,GPU,0.2083,0.2189,0.0014,0.193,0.6395,26.29,14.0,GPU,0.14,0.3315,0.0023,0.2465,0.3311,26.18,14.4,NPU,0.0836,0.2268,0.0014,0.0244,0.2127,19.63,0.0
L1,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1355,0.1016,0.001762,0.236,0.1487,0.003339,25.16,53.0,12.8,GPU,0.1117,0.1487,0.0153,0.1537,0.5172,26.87,18.1,GPU,0.2072,0.2189,0.0014,0.1925,0.6341,26.73,17.5,NPU,0.1214,0.2899,0.0005,0.1816,0.339,20.16,0.0,GPU,0.1016,0.2865,0.01,0.0338,0.2449,26.87,17.4
L1,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1323,0.095,0.001328,0.2414,0.1492,0.005055,25.69,62.0,13.0,GPU,0.1113,0.1492,0.0159,0.1506,0.521,27.45,18.7,NPU,0.1912,0.1996,0.001,0.1733,0.614,20.54,0.0,GPU,0.1319,0.3308,0.0034,0.2378,0.3049,27.21,21.8,GPU,0.095,0.2859,0.0101,0.0254,0.2384,27.58,21.5
L1,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""NPU""]",0.1353,0.0836,0.001568,0.2268,0.1492,0.00443,22.18,15.8,11.9,GPU,0.118,0.1492,0.0162,0.1671,0.5626,24.62,8.7,NPU,0.1912,0.1996,0.001,0.1733,0.614,20.04,0.0,GPU,0.1483,0.3315,0.0034,0.25,0.3241,24.69,7.2,NPU,0.0836,0.2268,0.0014,0.0244,0.2127,19.38,0.0
L1,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.1354,0.1101,0.001056,0.2313,0.1492,0.003553,21.99,11.9,11.4,GPU,0.1189,0.1492,0.0162,0.1693,0.5696,24.04,5.3,NPU,0.1912,0.1996,0.001,0.1733,0.614,20.35,0.0,NPU,0.1214,0.2899,0.0005,0.1816,0.339,19.85,0.0,GPU,0.1101,0.2865,0.0099,0.0405,0.2577,23.71,6.6
L1,Oracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.1291,0.0836,0.001518,0.2164,0.1492,0.002575,20.18,2.7,11.0,GPU,0.12,0.1492,0.0165,0.1719,0.5714,23.26,2.7,NPU,0.1912,0.1996,0.001,0.1733,0.614,19.52,0.0,NPU,0.1214,0.2899,0.0005,0.1816,0.339,19.06,0.0,NPU,0.0836,0.2268,0.0014,0.0244,0.2127,18.87,0.0
L1,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1387,0.1038,0.001701,0.2419,0.1329,0.005572,25.4,52.7,13.0,NPU,0.109,0.1329,0.0113,0.1426,0.5659,20.2,0.0,GPU,0.2072,0.2177,0.0015,0.1928,0.6334,27.15,17.4,GPU,0.1348,0.3305,0.0034,0.2449,0.2956,27.38,19.0,GPU,0.1038,0.2863,0.0101,0.0359,0.2454,26.88,16.2
