bg_level,n_streams,npu_mode,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
L1,4,single,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1313,0.0906,0.001953,0.2423,0.1447,29.97,117.5,4,14.0,GPU,2,0.105,0.0153,0.1367,0.4761,0.1447,30.45,31.1,GPU,22,0.2049,0.0016,0.1922,0.6295,0.2149,29.67,28.4,GPU,3,0.125,0.0031,0.2235,0.3004,0.3291,29.81,29.6,GPU,21,0.0906,0.0091,0.0241,0.2296,0.2804,29.93,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,AllNPU+Oracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001591,0.2123,0.1329,19.95,0.2,4,10.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.24,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,17.94,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,21.92,0.0,NPU,21,0.0836,0.0014,0.0246,0.2127,0.2268,21.71,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,SizeAware+Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1373,0.1058,0.001184,0.2376,0.1329,22.4,18.8,4,11.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.37,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,21.51,0.0,GPU,3,0.1429,0.0035,0.244,0.3142,0.3315,24.93,9.2,GPU,21,0.1058,0.0101,0.0365,0.2514,0.2865,24.78,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,SizeBlindRev+Oracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1328,0.0836,0.002177,0.2211,0.1492,21.59,18.8,4,11.9,GPU,2,0.1165,0.0162,0.1606,0.5546,0.1492,24.86,9.1,GPU,22,0.2096,0.0014,0.1923,0.6421,0.2187,24.96,9.7,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,19.35,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,17.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1357,0.0967,0.001777,0.2391,0.1329,26.29,72.1,4,13.5,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.88,0.0,GPU,22,0.2054,0.0011,0.1919,0.628,0.2145,28.9,24.9,GPU,3,0.1318,0.0031,0.2413,0.2622,0.3266,28.8,25.0,GPU,21,0.0967,0.0093,0.0308,0.2335,0.2824,28.59,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1345,0.1027,0.001213,0.2397,0.1482,25.66,62.9,4,13.3,GPU,2,0.1096,0.016,0.1464,0.4931,0.1482,28.19,21.2,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,18.9,0.0,GPU,3,0.1344,0.0032,0.2377,0.3159,0.3261,27.8,21.0,GPU,21,0.1027,0.0098,0.035,0.2445,0.2849,27.74,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1342,0.097,0.001902,0.2341,0.1464,25.47,63.9,4,13.1,GPU,2,0.1101,0.0156,0.1489,0.5025,0.1464,27.62,21.3,GPU,22,0.2082,0.0014,0.1926,0.6349,0.2153,28.04,22.8,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.46,0.0,GPU,21,0.097,0.0098,0.0299,0.2353,0.2849,27.76,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1323,0.0836,0.00209,0.2302,0.1485,25.07,60.4,4,13.1,GPU,2,0.1108,0.0158,0.1492,0.5281,0.1485,27.3,19.8,GPU,22,0.2065,0.0016,0.1922,0.6339,0.2163,27.48,20.5,GPU,3,0.1283,0.0033,0.2346,0.2628,0.329,27.41,20.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,18.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.138,0.109,0.001765,0.232,0.1329,21.28,17.0,4,11.6,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.35,0.0,GPU,22,0.2103,0.0014,0.1924,0.6434,0.2189,24.2,8.8,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.37,0.0,GPU,21,0.1111,0.01,0.0426,0.2559,0.2865,24.19,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,4,single,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.138,0.0836,0.002262,0.2275,0.1329,20.81,14.6,4,11.8,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,17.46,0.0,GPU,22,0.2094,0.0014,0.1926,0.6413,0.2189,24.41,7.4,GPU,3,0.1502,0.0034,0.2554,0.3471,0.3315,24.18,7.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,17.19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
