bg,N,strategy,worst_sap,mean_sap,spec
L1,4,Naive_allGPU,0.0906,0.1313,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,4,AllNPU,0.0836,0.1263,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,4,SizeAware,0.1058,0.1373,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L1,4,SizeBlindRev,0.0836,0.1328,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L1,4,Oracle,0.109,0.134,"[""NPU"", ""NPU"", ""NPU"", ""GPU""]"
L1,5,Naive_allGPU,0.0775,0.1258,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,5,AllNPU,0.0836,0.1385,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,5,SizeAware,0.0991,0.1416,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L1,5,SizeBlindRev,0.0836,0.1369,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L1,5,Oracle,0.1075,0.1433,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU""]"
L1,6,Naive_allGPU,0.0654,0.1564,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,6,AllNPU,0.0836,0.184,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,6,SizeAware,0.0746,0.1784,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,6,SizeBlindRev,0.0836,0.1777,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,6,Oracle,0.0887,0.1848,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU""]"
L1,8,Naive_allGPU,0.0546,0.149,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,8,SizeAware,0.0834,0.2083,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,8,SizeBlindRev,0.0807,0.1747,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,8,SizeAware_NPU4,0.0615,0.1955,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,8,SizeAware_NPU6,0.0775,0.2069,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L1,8,SizeAware_NPU8,0.0834,0.2083,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,8,Oracle,0.0836,0.1942,"[""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]"
