bg_level,n_streams,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
L1,2,Naive_allGPU+Oracle,"[""GPU"", ""GPU""]",0.1382,0.1209,0.000301,0.2404,0.1492,20.63,2.5,2,10.1,GPU,2,0.1209,0.0164,0.1737,0.576,0.1492,21.25,1.4,GPU,3,0.1556,0.0034,0.2571,0.3489,0.3315,20.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,2,SizeAware+Oracle,"[""NPU"", ""GPU""]",0.1319,0.109,0.000526,0.2322,0.1329,20.33,2.7,2,10.3,NPU,2,0.109,0.0113,0.1425,0.5658,0.1329,19.04,0.2,GPU,3,0.1549,0.0035,0.2569,0.3477,0.3315,21.62,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,2,SizeBlindRev+Oracle,"[""GPU"", ""NPU""]",0.1212,0.1209,0.0,0.2195,0.1492,20.13,0.7,2,10.2,GPU,2,0.1209,0.0164,0.1741,0.576,0.1492,21.7,0.7,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,2,Oracle,"[""NPU"", ""NPU""]",0.1152,0.109,3.9e-05,0.2114,0.1329,17.66,0.0,2,8.3,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,17.79,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,17.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU""]",0.1598,0.1178,0.001403,0.2332,0.1492,24.21,27.1,3,11.6,GPU,2,0.1178,0.0161,0.1669,0.5274,0.1492,24.31,8.4,GPU,22,0.2088,0.0014,0.1935,0.642,0.2189,24.14,9.9,GPU,3,0.1528,0.0036,0.2508,0.33,0.3315,24.17,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,SizeAware+Oracle,"[""NPU"", ""NPU"", ""GPU""]",0.1519,0.109,0.001133,0.2214,0.1329,19.79,1.3,3,10.7,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.46,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,18.65,0.0,GPU,3,0.1553,0.0035,0.2571,0.3455,0.3315,22.27,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,SizeBlindRev+Oracle,"[""GPU"", ""GPU"", ""NPU""]",0.1504,0.1187,0.001844,0.2191,0.1491,21.69,10.7,3,11.0,GPU,2,0.1187,0.0161,0.1678,0.5631,0.1491,23.18,5.9,GPU,22,0.2111,0.0014,0.1916,0.6463,0.2183,23.23,4.7,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.66,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,Oracle,"[""NPU"", ""GPU"", ""GPU""]",0.1567,0.109,0.001745,0.2278,0.1329,22.16,10.8,3,11.1,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,19.77,0.0,GPU,22,0.2108,0.0014,0.1931,0.6457,0.2189,23.39,5.2,GPU,3,0.1504,0.0035,0.257,0.3249,0.3315,23.31,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,Oracle,"[""GPU"", ""NPU"", ""GPU""]",0.1543,0.1188,0.000875,0.2268,0.1492,22.11,8.8,3,11.2,GPU,2,0.1188,0.0163,0.1689,0.5717,0.1492,23.55,4.8,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,19.75,0.0,GPU,3,0.1528,0.0034,0.2568,0.3422,0.3315,23.04,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,3,Oracle,"[""NPU"", ""GPU"", ""NPU""]",0.147,0.109,0.002049,0.2139,0.1329,20.18,5.6,3,11.2,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.6,0.0,GPU,22,0.2106,0.0014,0.193,0.6456,0.2189,23.34,5.6,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
