bg,N,strategy,worst_sap,mean_sap,spec
L1,2,Naive_allGPU,0.1209,0.1382,"[""GPU"", ""GPU""]"
L1,2,SizeAware,0.109,0.1319,"[""NPU"", ""GPU""]"
L1,2,SizeBlindRev,0.1209,0.1212,"[""GPU"", ""NPU""]"
L1,2,Oracle,0.1209,0.1382,"[""GPU"", ""GPU""]"
L1,3,Naive_allGPU,0.1178,0.1598,"[""GPU"", ""GPU"", ""GPU""]"
L1,3,SizeAware,0.109,0.1519,"[""NPU"", ""NPU"", ""GPU""]"
L1,3,SizeBlindRev,0.1187,0.1504,"[""GPU"", ""GPU"", ""NPU""]"
L1,3,Oracle,0.1191,0.1439,"[""GPU"", ""NPU"", ""NPU""]"
L1,4,Naive_allGPU,0.0821,0.1253,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,4,SizeAware,0.109,0.1402,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L1,4,SizeBlindRev,0.0836,0.1336,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L1,4,Oracle,0.1111,0.1356,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]"
L1,5,Naive_allGPU,0.0743,0.1227,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,5,SizeAware,0.098,0.1436,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L1,5,SizeBlindRev,0.0836,0.1362,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L1,5,Oracle,0.1058,0.143,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU""]"
L1,6,Naive_allGPU,0.0665,0.1553,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,6,SizeAware,0.0778,0.18,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,6,SizeBlindRev,0.0829,0.1793,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,6,Oracle,0.0901,0.1867,"[""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU""]"
L1,8,Naive_allGPU,0.0584,0.1525,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,8,SizeAware,0.0602,0.1948,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L1,8,SizeBlindRev,0.0828,0.1767,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L1,8,Oracle,0.0828,0.1767,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L2,2,Naive_allGPU,0.0914,0.096,"[""GPU"", ""GPU""]"
L2,2,SizeAware,0.0871,0.0971,"[""NPU"", ""GPU""]"
L2,2,SizeBlindRev,0.0782,0.0874,"[""GPU"", ""NPU""]"
L2,2,Oracle,0.0914,0.096,"[""GPU"", ""GPU""]"
L2,3,Naive_allGPU,0.0854,0.1215,"[""GPU"", ""GPU"", ""GPU""]"
L2,3,SizeAware,0.0834,0.1227,"[""NPU"", ""NPU"", ""GPU""]"
L2,3,SizeBlindRev,0.0765,0.1188,"[""GPU"", ""GPU"", ""NPU""]"
L2,3,Oracle,0.0915,0.1204,"[""GPU"", ""NPU"", ""NPU""]"
L2,4,Naive_allGPU,0.0646,0.1044,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,4,SizeAware,0.0663,0.1031,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L2,4,SizeBlindRev,0.0531,0.1006,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L2,4,Oracle,0.0708,0.1028,"[""GPU"", ""NPU"", ""NPU"", ""GPU""]"
L2,5,Naive_allGPU,0.0523,0.0977,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,5,SizeAware,0.0608,0.1093,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L2,5,SizeBlindRev,0.0516,0.1005,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]"
L2,5,Oracle,0.065,0.1093,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU""]"
L2,6,Naive_allGPU,0.0546,0.1264,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,6,SizeAware,0.0532,0.1366,"[""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,6,SizeBlindRev,0.0509,0.1386,"[""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]"
L2,6,Oracle,0.0566,0.1401,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
L2,8,Naive_allGPU,0.0443,0.1193,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,8,SizeAware,0.0449,0.1532,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]"
L2,8,SizeBlindRev,0.0466,0.1335,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
L2,8,Oracle,0.0501,0.122,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]"
