part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
B,A_baseline,4,L0,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1508,0.1149,0.001451,0.2465,0.1492,14.94,0.0,4,7.1,GPU,2,0.1214,0.0164,0.1749,0.5773,0.1492,15.15,0.0,GPU,22,0.211,0.0014,0.193,0.647,0.2189,15.06,0.0,GPU,3,0.1557,0.0034,0.2575,0.3488,0.3315,14.89,0.0,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,14.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L0,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1477,0.109,0.001667,0.2425,0.1329,14.95,0.2,4,8.4,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,17.84,0.0,GPU,22,0.2112,0.0014,0.1931,0.647,0.2189,14.06,0.2,GPU,3,0.1557,0.0034,0.2575,0.3488,0.3315,14.09,0.0,GPU,21,0.1149,0.01,0.0469,0.2617,0.2865,13.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L0,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001591,0.2123,0.1329,16.46,0.0,4,7.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,16.6,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,16.65,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,16.42,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,16.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1282,0.0887,0.00203,0.2383,0.1447,31.73,154.1,4,14.6,GPU,2,0.1006,0.0145,0.1205,0.4552,0.1447,31.77,38.4,GPU,22,0.2039,0.0011,0.1926,0.6242,0.2124,31.78,38.9,GPU,3,0.1197,0.0029,0.2229,0.2537,0.323,31.65,38.8,GPU,21,0.0887,0.0091,0.0236,0.2244,0.2732,31.74,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_light,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1387,0.0941,0.001928,0.2417,0.1329,24.75,50.8,4,13.0,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.39,0.0,GPU,22,0.2081,0.0014,0.192,0.6362,0.2189,26.89,16.9,GPU,3,0.1434,0.0036,0.2439,0.3205,0.3315,26.31,14.6,GPU,21,0.0941,0.01,0.0229,0.2415,0.2833,27.42,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001591,0.2123,0.1329,17.04,0.0,4,8.2,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,17.19,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,17.26,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,17.0,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,16.71,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_heavy,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1138,0.0735,0.002242,0.1985,0.1192,42.25,284.2,0,15.6,GPU,2,0.0899,0.0131,0.0962,0.408,0.1192,42.24,71.5,GPU,22,0.1944,0.0011,0.1883,0.5933,0.1681,43.13,71.4,GPU,3,0.0973,0.0016,0.1891,0.2245,0.2691,41.66,69.1,GPU,21,0.0735,0.0076,0.0162,0.1942,0.2377,41.99,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_heavy,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.12,0.0757,0.002156,0.2042,0.1329,33.8,194.9,1,15.6,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,17.62,0.0,GPU,22,0.1978,0.0013,0.1886,0.6007,0.1879,39.19,62.5,GPU,3,0.0977,0.0019,0.1861,0.1831,0.2679,38.99,66.1,GPU,21,0.0757,0.0088,0.0156,0.1987,0.2282,39.41,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L1_heavy,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001591,0.2123,0.1329,18.53,0.0,4,9.0,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,18.67,0.0,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,18.85,0.0,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,18.4,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,18.19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L2_lm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0994,0.0601,0.002335,0.1436,0.0874,57.74,330.4,0,15.8,GPU,2,0.0807,0.0104,0.0817,0.3712,0.0874,58.21,83.8,GPU,22,0.1821,0.0009,0.1894,0.5511,0.1258,58.02,83.0,GPU,3,0.0749,0.0018,0.1456,0.1463,0.1995,58.65,83.3,GPU,21,0.0601,0.0072,0.0103,0.1632,0.1617,56.09,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L2_lm,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1038,0.0611,0.002387,0.1544,0.1034,50.88,345.2,0,15.9,NPU,2,0.0807,0.0087,0.0782,0.3831,0.1034,44.46,88.1,GPU,22,0.1868,0.0012,0.1886,0.5634,0.1369,52.73,88.3,GPU,3,0.0865,0.0023,0.1776,0.1694,0.2142,51.02,82.8,GPU,21,0.0611,0.0072,0.0098,0.167,0.1628,55.34,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L2_lm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1052,0.0573,0.002059,0.2016,0.1236,34.31,211.2,1,15.5,NPU,2,0.0856,0.009,0.0875,0.4105,0.1236,35.64,60.4,NPU,22,0.1794,0.001,0.1722,0.5649,0.1836,34.46,56.3,NPU,3,0.0984,0.0002,0.1652,0.2507,0.2861,32.13,39.9,NPU,21,0.0573,0.0007,0.0072,0.1671,0.2132,35.01,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L3_vlm,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0473,0.0171,0.001697,0.0289,0.019,347.88,400.0,0,16.7,GPU,2,0.0294,0.0028,0.0224,0.1453,0.019,350.72,100.0,GPU,22,0.1183,0.0002,0.1589,0.335,0.0248,299.67,100.0,GPU,3,0.0171,0.0008,0.0302,0.0191,0.0375,353.44,100.0,GPU,21,0.0245,0.0016,0.0023,0.0565,0.0342,387.69,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L3_vlm,SizeAware,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0682,0.0174,0.002229,0.0571,0.0251,253.89,300.0,1,16.2,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,16.97,0.0,GPU,22,0.1213,0.0006,0.1612,0.3307,0.0251,326.14,100.0,GPU,3,0.0174,0.001,0.0281,0.0223,0.0378,339.78,100.0,GPU,21,0.0251,0.0024,0.0031,0.0601,0.0326,332.66,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,4,L3_vlm,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1263,0.0836,0.001589,0.2123,0.1329,17.7,0.2,4,8.9,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,19.09,0.0,NPU,22,0.1912,0.001,0.1732,0.6137,0.1996,17.64,0.2,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,17.16,0.0,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,16.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A_baseline,8,L0,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1758,0.0732,0.008927,0.2227,0.1157,37.41,508.9,2,20.9,GPU,2,0.0887,0.012,0.0978,0.4032,0.1157,43.27,78.3,GPU,22,0.192,0.0009,0.1896,0.5861,0.1666,43.21,78.5,GPU,13,0.1616,0.0089,0.0934,0.363,0.2095,25.85,34.8,GPU,16,0.2012,0.007,0.5855,0.3459,0.2066,42.96,77.0,GPU,3,0.0911,0.0017,0.1825,0.1438,0.2404,44.13,80.5,GPU,21,0.0732,0.0082,0.0141,0.1941,0.2275,41.94,74.9,GPU,14,0.3844,0.0551,0.2079,0.5884,0.44,25.29,33.9,GPU,4,0.2141,0.0,0.1326,0.5334,0.1749,32.61,50.9
B,A_baseline,8,L0,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.2087,0.0883,0.012798,0.2809,0.1327,26.32,167.8,8,19.9,NPU,2,0.1001,0.0108,0.1213,0.4931,0.1327,28.2,19.9,NPU,22,0.1882,0.0011,0.1734,0.6016,0.1977,28.37,20.1,NPU,13,0.1858,0.0038,0.0838,0.397,0.2209,22.04,6.1,NPU,16,0.352,0.0052,0.488,0.6623,0.3901,26.75,11.0,GPU,3,0.1183,0.0033,0.2286,0.2435,0.325,30.14,34.9,GPU,21,0.0883,0.0092,0.0248,0.2229,0.2778,30.46,35.7,GPU,14,0.4241,0.0553,0.2129,0.6405,0.494,20.02,16.1,GPU,4,0.2132,0.0,0.1328,0.5317,0.2089,24.56,24.0
B,A_baseline,8,L0,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.2103,0.0777,0.01157,0.2707,0.1329,22.26,36.8,8,18.0,NPU,2,0.1055,0.0112,0.134,0.5481,0.1329,25.03,7.3,NPU,22,0.1896,0.001,0.1735,0.6064,0.1986,25.35,10.1,NPU,13,0.1816,0.0038,0.0844,0.393,0.2209,19.63,2.1,NPU,16,0.3537,0.0051,0.4946,0.6716,0.3906,23.9,4.3,GPU,3,0.1537,0.0035,0.2581,0.3462,0.3315,21.78,2.5,NPU,21,0.0777,0.0014,0.0205,0.2039,0.2263,24.07,6.2,NPU,14,0.4076,0.0137,0.1982,0.6504,0.4512,19.78,3.1,GPU,4,0.2131,0.0,0.1322,0.5319,0.2133,18.53,1.2
B,A_baseline,8,L0,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2083,0.0832,0.012214,0.2647,0.1329,19.72,1.6,8,16.1,NPU,2,0.109,0.0113,0.1423,0.5659,0.1329,20.86,0.2,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,20.94,0.0,NPU,13,0.1866,0.0038,0.086,0.3982,0.2209,17.81,0.1,NPU,16,0.359,0.0051,0.4956,0.6823,0.3906,20.27,0.5,NPU,3,0.1217,0.0005,0.1823,0.339,0.2899,20.84,0.2,NPU,21,0.0832,0.0014,0.0238,0.2124,0.2268,20.24,0.2,NPU,14,0.4113,0.0137,0.1991,0.6552,0.4512,17.74,0.2,NPU,4,0.2047,0.0,0.0816,0.5458,0.2059,19.05,0.2
