part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.109,0.109,0.0,0.1329,0.1329,16.2,0.2,1,7.6,NPU,2,0.109,0.0114,0.1424,0.5659,0.1329,16.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.1912,0.1912,0.0,0.1996,0.1996,15.88,0.0,1,7.6,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,15.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.1874,0.1874,0.0,0.2209,0.2209,15.07,0.0,1,13.5,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,15.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.3591,0.3591,0.0,0.3906,0.3906,15.45,0.0,1,7.3,NPU,16,0.3591,0.0051,0.4956,0.6831,0.3906,15.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.1214,0.1214,0.0,0.2899,0.2899,15.62,0.0,1,7.5,NPU,3,0.1214,0.0005,0.1816,0.339,0.2899,15.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.0836,0.0836,0.0,0.2268,0.2268,15.29,0.0,1,7.2,NPU,21,0.0836,0.0014,0.0244,0.2127,0.2268,15.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.4114,0.4114,0.0,0.4512,0.4512,14.87,0.0,1,13.4,NPU,14,0.4114,0.0136,0.199,0.6555,0.4512,14.87,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L0,N1_NPU_solo,"[""NPU""]",0.2047,0.2047,0.0,0.2059,0.2059,15.72,0.0,1,10.5,NPU,4,0.2047,0.0,0.0816,0.5458,0.2059,15.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L1_light,N1_NPU_solo,"[""NPU""]",0.109,0.109,0.0,0.1329,0.1329,16.07,0.0,1,7.6,NPU,2,0.109,0.0113,0.1426,0.5659,0.1329,16.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L1_light,N1_NPU_solo,"[""NPU""]",0.1912,0.1912,0.0,0.1996,0.1996,16.28,0.0,1,7.7,NPU,22,0.1912,0.001,0.1733,0.614,0.1996,16.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A_baseline,1,L1_light,N1_NPU_solo,"[""NPU""]",0.1874,0.1874,0.0,0.2209,0.2209,15.96,0.0,1,14.3,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,15.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
