part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
A,A_baseline,8,L1_light,Naive_allGPU,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1537,0.0571,0.007264,0.16,0.0727,57.8,588.1,2,25.3,GPU,2,0.0766,0.0102,0.0757,0.3523,0.0727,69.61,94.3,GPU,22,0.1802,0.0009,0.1855,0.5463,0.108,68.76,95.4,GPU,13,0.1308,0.008,0.0842,0.3284,0.1542,37.59,32.4,GPU,16,0.1727,0.0066,0.5214,0.2587,0.1428,67.68,93.5,GPU,3,0.0696,0.0011,0.1376,0.1101,0.1647,69.14,93.8,GPU,21,0.0571,0.0061,0.0092,0.156,0.1389,68.61,94.9,GPU,14,0.3285,0.0562,0.2025,0.5161,0.3619,35.78,31.9,GPU,4,0.2138,0.0,0.1327,0.5343,0.1366,45.25,51.9
A,A_baseline,8,L1_light,SizeAware_NPU4,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1935,0.0609,0.011501,0.2283,0.1329,34.81,278.7,5,24.8,NPU,2,0.1062,0.0111,0.1355,0.5423,0.1329,26.6,8.0,NPU,22,0.1901,0.001,0.1729,0.6106,0.1996,23.46,4.9,NPU,13,0.1863,0.0038,0.0857,0.398,0.2209,20.18,0.7,NPU,16,0.3568,0.0046,0.4948,0.6759,0.3906,22.39,2.3,GPU,3,0.0785,0.0016,0.1743,0.1496,0.1843,54.82,87.6,GPU,21,0.0609,0.0075,0.0098,0.164,0.1557,56.09,90.5,GPU,14,0.3562,0.055,0.2064,0.5537,0.3972,33.5,33.1,GPU,4,0.2133,0.0,0.1302,0.5308,0.1451,41.48,51.5
A,A_baseline,8,L1_light,SizeAware_NPU6,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.2054,0.0813,0.012825,0.2573,0.1329,25.76,113.8,7,19.5,NPU,2,0.1077,0.0111,0.1394,0.5368,0.1329,23.99,3.2,NPU,22,0.1911,0.001,0.1731,0.6121,0.1996,24.34,4.7,NPU,13,0.1853,0.0038,0.0858,0.3969,0.2209,20.02,1.2,NPU,16,0.3588,0.0051,0.4939,0.6787,0.3906,23.05,2.7,GPU,3,0.096,0.0026,0.2021,0.1678,0.255,38.2,59.3,NPU,21,0.0813,0.0014,0.0235,0.2087,0.2268,23.6,3.0,NPU,14,0.409,0.0137,0.1989,0.6521,0.4512,20.05,1.4,GPU,4,0.214,0.0,0.1326,0.5336,0.1816,32.86,38.4
A,A_baseline,8,L1_light,AllNPU,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.2072,0.0819,0.012336,0.2647,0.1329,20.93,11.7,8,16.8,NPU,2,0.1077,0.0114,0.1386,0.5631,0.1329,22.48,3.4,NPU,22,0.1907,0.001,0.1732,0.612,0.1996,22.43,2.5,NPU,13,0.1865,0.0038,0.0859,0.398,0.2209,18.56,0.6,NPU,16,0.3587,0.0051,0.4957,0.6819,0.3906,21.52,0.2,NPU,3,0.1175,0.0005,0.1761,0.3372,0.2899,21.88,1.8,NPU,21,0.0819,0.0014,0.0229,0.2104,0.2268,21.57,1.4,NPU,14,0.4106,0.0136,0.1991,0.6548,0.4512,18.53,0.6,NPU,4,0.2039,0.0,0.0816,0.543,0.2059,20.46,1.2
A,A_baseline,8,L1_light,SizeBlindRev_NPU4,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1749,0.0803,0.009862,0.2144,0.0872,35.63,310.3,5,24.1,GPU,2,0.0803,0.0119,0.0869,0.3612,0.0872,56.27,91.7,GPU,22,0.1839,0.001,0.1858,0.5565,0.1323,55.61,90.3,GPU,13,0.1315,0.0086,0.089,0.3311,0.1646,32.86,33.2,GPU,16,0.1829,0.0068,0.5439,0.3079,0.1572,56.7,93.3,NPU,3,0.1217,0.0005,0.1823,0.3389,0.2899,21.68,0.4,NPU,21,0.0831,0.0014,0.0242,0.2124,0.2268,21.51,0.5,NPU,14,0.411,0.0136,0.199,0.6554,0.4512,19.61,0.2,NPU,4,0.205,0.0,0.0816,0.5463,0.2059,20.84,0.6
A,A_baseline,8,L1_light,MiniOracle,"[""GPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1978,0.0641,0.014323,0.2445,0.0974,32.45,269.3,5,18.3,GPU,2,0.0837,0.012,0.0937,0.3723,0.0974,50.35,84.7,NPU,22,0.1904,0.001,0.1731,0.6105,0.1996,24.24,5.4,NPU,13,0.1867,0.0038,0.0857,0.3986,0.2209,20.06,1.2,NPU,16,0.3583,0.0051,0.4951,0.6798,0.3906,23.01,3.0,GPU,3,0.0851,0.0018,0.1823,0.1719,0.2074,49.73,84.7,GPU,21,0.0641,0.0079,0.011,0.1741,0.183,49.9,86.6,NPU,14,0.4099,0.0136,0.1991,0.6538,0.4512,20.21,1.5,NPU,4,0.2041,0.0,0.0816,0.5433,0.2059,22.13,2.3
A,A_baseline,8,L1_light,MiniOracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU""]",0.2061,0.0828,0.012535,0.2655,0.1329,23.14,57.7,8,17.7,NPU,2,0.1077,0.0114,0.1392,0.5442,0.1329,23.67,2.7,NPU,22,0.1912,0.001,0.1729,0.6134,0.1996,23.47,2.9,NPU,13,0.1867,0.0038,0.0859,0.3983,0.2209,19.25,1.0,NPU,16,0.3591,0.0051,0.4957,0.6827,0.3906,22.02,0.7,GPU,3,0.107,0.0028,0.2138,0.2009,0.2964,33.72,46.8,NPU,21,0.0828,0.0014,0.0239,0.2116,0.2268,22.3,1.1,NPU,14,0.41,0.0126,0.199,0.654,0.4512,19.5,1.1,NPU,4,0.204,0.0,0.0816,0.5432,0.2059,21.17,1.2
A,A_baseline,8,L1_light,MiniOracle,"[""GPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU""]",0.1793,0.0617,0.010053,0.2244,0.0934,33.42,277.3,5,18.4,GPU,2,0.0829,0.0117,0.0924,0.372,0.0934,53.08,92.0,NPU,22,0.1902,0.001,0.1734,0.6111,0.1987,24.32,2.3,NPU,13,0.1866,0.0038,0.0858,0.3985,0.2209,20.33,1.0,GPU,16,0.177,0.0068,0.544,0.3091,0.1679,51.94,88.0,NPU,3,0.1208,0.0004,0.1813,0.3372,0.2899,23.07,2.2,GPU,21,0.0617,0.0076,0.0108,0.1698,0.169,52.11,89.8,NPU,14,0.4096,0.0133,0.199,0.6541,0.4499,20.27,0.9,NPU,4,0.2053,0.0,0.0821,0.5457,0.2059,22.25,1.1
A,A_baseline,8,L1_light,MiniOracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU""]",0.2088,0.0823,0.012237,0.2636,0.1329,23.19,45.1,8,19.0,NPU,2,0.1084,0.0113,0.1403,0.5641,0.1329,24.01,2.5,NPU,22,0.1903,0.001,0.1731,0.6115,0.1996,23.8,3.8,NPU,13,0.1873,0.0038,0.086,0.3988,0.2209,19.42,0.5,NPU,16,0.3584,0.0051,0.495,0.6793,0.3906,22.62,0.9,NPU,3,0.1195,0.0005,0.1769,0.3375,0.2899,22.74,2.0,NPU,21,0.0823,0.0014,0.0233,0.2119,0.2268,23.26,2.5,NPU,14,0.4104,0.0136,0.199,0.6546,0.4512,19.4,0.7,GPU,4,0.214,0.0,0.1328,0.5334,0.197,30.27,32.1
A,A_baseline,8,L1_light,MiniOracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1948,0.0562,0.015417,0.2127,0.0757,44.74,441.4,3,20.0,GPU,2,0.0768,0.0106,0.0769,0.3545,0.0757,65.71,98.1,GPU,22,0.1838,0.001,0.1875,0.5495,0.1175,64.29,98.1,NPU,13,0.1874,0.0038,0.0861,0.3991,0.2209,19.37,0.1,NPU,16,0.359,0.0051,0.4959,0.6818,0.3906,20.69,0.5,GPU,3,0.0691,0.0016,0.1398,0.1567,0.1638,61.51,96.0,GPU,21,0.0562,0.0068,0.0087,0.1547,0.1411,64.6,97.1,NPU,14,0.4113,0.0136,0.199,0.6555,0.4512,19.22,0.2,GPU,4,0.2145,0.0,0.1323,0.5335,0.1409,42.49,51.3
