n_streams,infer_mode,bg_level,stream_id,init_success,latency_mean,latency_p95,frame_skip_pct,sap_5095,wall_sec,init_err
1,multi,L0,0,True,17.78,19.52,0.0,0.4381,7.9,
1,multi,L1,0,True,18.65,21.46,0.73,0.4383,8.3,
2,multi,L0,0,True,18.39,20.76,0.0,0.4381,8.1,
2,multi,L0,1,True,18.41,20.88,0.0,0.4381,8.1,
2,multi,L1,0,True,17.78,21.69,0.0,0.4381,7.9,
2,multi,L1,1,True,17.82,21.84,0.0,0.4381,7.9,
3,multi,L0,0,True,17.95,20.75,0.0,0.4381,8.1,
3,multi,L0,1,True,17.95,20.61,0.0,0.4381,8.1,
3,multi,L0,2,True,18.24,21.35,0.0,0.4381,8.1,
3,multi,L1,0,True,19.02,23.28,0.0,0.4381,8.5,
3,multi,L1,1,True,19.08,23.26,0.24,0.438,8.5,
3,multi,L1,2,True,19.07,23.29,0.0,0.4381,8.5,
4,multi,L0,0,True,18.9,21.48,0.24,0.4375,8.4,
4,multi,L0,1,True,18.83,21.97,0.0,0.4381,8.4,
4,multi,L0,2,True,18.89,22.32,0.0,0.4381,8.4,
4,multi,L0,3,True,18.84,22.1,0.0,0.4381,8.4,
4,multi,L1,0,True,19.98,24.86,0.0,0.4381,9.0,
4,multi,L1,1,True,20.0,24.3,0.49,0.4382,9.0,
4,multi,L1,2,True,19.98,24.91,0.49,0.4376,9.0,
4,multi,L1,3,True,20.02,24.38,0.24,0.4372,9.0,
5,multi,L0,0,True,20.98,24.56,0.49,0.4381,9.4,
5,multi,L0,1,True,21.13,25.07,0.73,0.439,9.4,
5,multi,L0,2,True,21.12,25.05,0.73,0.4381,9.4,
5,multi,L0,3,True,21.05,25.04,0.0,0.4381,9.4,
5,multi,L0,4,True,21.12,24.96,0.49,0.4374,9.4,
5,multi,L1,0,True,22.11,27.18,0.24,0.4376,9.8,
5,multi,L1,1,True,21.85,26.89,0.49,0.4381,9.8,
5,multi,L1,2,True,21.94,26.63,0.49,0.4381,9.8,
5,multi,L1,3,True,22.01,27.35,0.24,0.4377,9.8,
5,multi,L1,4,True,21.95,27.19,0.73,0.438,9.8,
6,multi,L0,0,True,24.77,27.46,0.24,0.4381,11.0,
6,multi,L0,1,True,24.8,27.53,0.24,0.4381,11.0,
6,multi,L0,2,True,24.77,27.43,0.0,0.4381,11.0,
6,multi,L0,3,True,24.78,27.34,0.0,0.4381,11.0,
6,multi,L0,4,True,24.88,27.69,0.24,0.4381,11.0,
6,multi,L0,5,True,24.77,27.32,0.0,0.4381,11.0,
6,multi,L1,0,True,25.44,29.06,0.97,0.4376,11.3,
6,multi,L1,1,True,25.39,29.13,0.0,0.4381,11.3,
6,multi,L1,2,True,25.47,29.15,0.49,0.4369,11.3,
6,multi,L1,3,True,25.35,28.99,0.24,0.4375,11.3,
6,multi,L1,4,True,25.37,29.02,0.24,0.4381,11.3,
6,multi,L1,5,True,25.41,29.17,0.49,0.4375,11.3,
7,multi,L0,0,True,29.01,33.83,7.52,0.4316,12.9,
7,multi,L0,1,True,29.0,33.62,6.07,0.4371,12.9,
7,multi,L0,2,True,28.92,33.42,5.58,0.4338,12.9,
