composition,N,bg,Naive_sap,Naive_spec,SizeAware_sap,SizeAware_spec,AllNPU_sap,AllNPU_spec,Oracle_sap,Oracle_spec,oracle_k_npu,oracle_offload_frac,SizeBlindRev_sap,SizeBlindRev_spec
A_baseline,4,L1_light,0.0887,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0941,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0836,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0941,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",1,0.25,,
A_baseline,4,L1_heavy,0.0735,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0757,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.0836,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0836,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",4,1.0,,
A_baseline,8,L1_light,0.0572,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0831,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.0819,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0831,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",6,0.75,0.0803,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]"
A_baseline,8,L1_heavy,0.0557,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.078,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU""]",0.0818,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0818,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",8,1.0,,
B_medium_mixed,4,L1_light,0.0954,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0721,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0721,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.101,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",3,0.75,0.1001,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
B_medium_mixed,4,L1_heavy,0.0853,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0721,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0721,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0949,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",3,0.75,0.0906,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
B_medium_mixed,8,L1_light,0.0667,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0721,"[""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0715,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0787,"[""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""GPU"", ""NPU"", ""NPU""]",5,0.625,0.0775,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]"
B_medium_mixed,8,L1_heavy,0.0562,"[""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0718,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0719,"[""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0796,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU"", ""NPU""]",6,0.75,0.0731,"[""GPU"", ""GPU"", ""NPU"", ""NPU"", ""GPU"", ""GPU"", ""NPU"", ""NPU""]"
C_diverse,4,L1_light,0.0629,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0584,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0584,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0674,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",2,0.5,0.0674,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
C_diverse,4,L1_heavy,0.0551,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.0584,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.0584,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.0635,"[""NPU"", ""GPU"", ""NPU"", ""NPU""]",3,0.75,0.0591,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]"
