part,composition,n_streams,bg_level,placement_name,placement_spec,mean_sap,worst_sap,sap_var,mean_map,worst_map,mean_latency,frame_skip_total,n_active_streams,wall_sec,s0_dev,s0_sid,s0_sap,s0_sap_s,s0_sap_m,s0_sap_l,s0_map,s0_lat,s0_skip,s1_dev,s1_sid,s1_sap,s1_sap_s,s1_sap_m,s1_sap_l,s1_map,s1_lat,s1_skip,s2_dev,s2_sid,s2_sap,s2_sap_s,s2_sap_m,s2_sap_l,s2_map,s2_lat,s2_skip,s3_dev,s3_sid,s3_sap,s3_sap_s,s3_sap_m,s3_sap_l,s3_map,s3_lat,s3_skip,s4_dev,s4_sid,s4_sap,s4_sap_s,s4_sap_m,s4_sap_l,s4_map,s4_lat,s4_skip,s5_dev,s5_sid,s5_sap,s5_sap_s,s5_sap_m,s5_sap_l,s5_map,s5_lat,s5_skip,s6_dev,s6_sid,s6_sap,s6_sap_s,s6_sap_m,s6_sap_l,s6_map,s6_lat,s6_skip,s7_dev,s7_sid,s7_sap,s7_sap_s,s7_sap_m,s7_sap_l,s7_map,s7_lat,s7_skip
I,B_medium_mixed,4,L1_light,Naive_allGPU+Oracle,"[""GPU"", ""GPU"", ""GPU"", ""GPU""]",0.1814,0.0954,0.005206,0.2256,0.1257,27.59,98.7,4,22.3,GPU,17,0.2244,0.0197,0.228,0.5692,0.2718,30.13,33.5,GPU,8,0.0954,0.0084,0.1405,0.4116,0.1257,25.1,16.8,GPU,10,0.1298,0.0189,0.1101,0.2731,0.2068,30.25,32.2,GPU,11,0.2759,0.0055,0.1584,0.5402,0.2983,24.88,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,SizeAware_NPU2+Oracle,"[""NPU"", ""NPU"", ""GPU"", ""GPU""]",0.1778,0.0721,0.006134,0.2086,0.0883,20.9,15.2,4,20.7,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,18.12,0.0,NPU,8,0.0721,0.0073,0.0826,0.3962,0.0883,17.6,0.0,GPU,10,0.1465,0.0226,0.1296,0.3166,0.2113,25.21,9.9,GPU,11,0.285,0.0058,0.1768,0.596,0.3017,22.68,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,AllNPU+Oracle,"[""NPU"", ""NPU"", ""NPU"", ""NPU""]",0.1767,0.0721,0.005923,0.204,0.0883,17.85,0.0,4,17.8,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,17.69,0.0,NPU,8,0.0721,0.0073,0.0826,0.3962,0.0883,17.0,0.0,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,16.94,0.0,NPU,11,0.2809,0.0048,0.1643,0.6074,0.2927,19.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,SizeBlindRev_NPU2+Oracle,"[""GPU"", ""GPU"", ""NPU"", ""NPU""]",0.1928,0.1001,0.005283,0.2246,0.1269,21.17,14.9,4,20.8,GPU,17,0.2446,0.0212,0.248,0.6169,0.2766,25.27,8.4,GPU,8,0.1001,0.0087,0.1518,0.4248,0.1269,23.3,6.2,NPU,10,0.1461,0.0177,0.1443,0.3228,0.2022,17.84,0.2,NPU,11,0.2804,0.0048,0.1633,0.6073,0.2927,18.29,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""GPU""]",0.1785,0.0969,0.004828,0.2165,0.1254,23.53,45.3,4,21.3,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,18.75,0.0,GPU,8,0.0969,0.0082,0.1485,0.4085,0.1254,23.73,11.0,GPU,10,0.1323,0.0194,0.107,0.2819,0.2092,28.04,23.0,GPU,11,0.2768,0.0053,0.1543,0.546,0.2985,23.62,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""GPU"", ""NPU"", ""GPU"", ""GPU""]",0.1774,0.0721,0.006344,0.2182,0.0883,25.56,73.3,4,22.3,GPU,17,0.228,0.0197,0.2344,0.5702,0.2758,29.93,29.6,NPU,8,0.0721,0.0072,0.0826,0.3962,0.0883,18.18,0.1,GPU,10,0.1332,0.0186,0.1151,0.2813,0.2096,29.45,29.0,GPU,11,0.2762,0.0046,0.1546,0.5303,0.2992,24.7,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""GPU"", ""GPU"", ""NPU"", ""GPU""]",0.1893,0.0973,0.005081,0.2255,0.1264,23.21,43.5,4,21.4,GPU,17,0.236,0.0211,0.2426,0.5915,0.2745,27.57,22.4,GPU,8,0.0973,0.0082,0.1476,0.4142,0.1264,23.66,11.1,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,18.1,0.0,GPU,11,0.2777,0.0053,0.1602,0.5457,0.299,23.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""GPU"", ""GPU"", ""GPU"", ""NPU""]",0.1855,0.0956,0.00546,0.226,0.1259,25.61,70.0,4,22.4,GPU,17,0.231,0.0207,0.2331,0.5928,0.2753,29.7,25.8,GPU,8,0.0956,0.0079,0.144,0.409,0.1259,25.08,16.6,GPU,10,0.1347,0.0202,0.1127,0.2856,0.2102,29.43,27.6,NPU,11,0.2809,0.0048,0.1643,0.6074,0.2927,18.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""NPU"", ""GPU"", ""NPU"", ""GPU""]",0.185,0.1004,0.004828,0.216,0.1269,19.82,8.0,4,20.0,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,17.92,0.0,GPU,8,0.1004,0.0088,0.1512,0.4262,0.1269,22.35,4.4,NPU,10,0.1461,0.0178,0.1443,0.323,0.2022,17.42,0.0,GPU,11,0.2856,0.0059,0.1789,0.6028,0.3017,21.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,B_medium_mixed,4,L1_light,Oracle,"[""NPU"", ""GPU"", ""GPU"", ""NPU""]",0.1841,0.1,0.004586,0.216,0.1269,21.07,15.1,4,20.5,NPU,17,0.2077,0.0104,0.1878,0.6044,0.233,18.5,0.0,GPU,8,0.1,0.0087,0.1524,0.4203,0.1269,22.9,5.1,GPU,10,0.1478,0.0224,0.133,0.3229,0.2113,25.26,9.9,NPU,11,0.281,0.0048,0.1643,0.6073,0.2927,17.62,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
