point_label,k_or_cotenant,measured_gpu_frame_skip_pct,gpu_util_pct,gpu_util_source
ResNet k=0,0,0.1,NOT_LOGGED,sweep run logs no GPU util
ResNet k=1,1,42.0,NOT_LOGGED,sweep run logs no GPU util
ResNet k=2,2,57.9,NOT_LOGGED,sweep run logs no GPU util
ResNet k=3,3,67.3,NOT_LOGGED,sweep run logs no GPU util
ResNet k=4,4,71.5,NOT_LOGGED,sweep run logs no GPU util
ResNet k=6,6,73.5,NOT_LOGGED,sweep run logs no GPU util
ResNet k=8,8,79.2,NOT_LOGGED,sweep run logs no GPU util
ref L0 (fg only),--,~0,2.8,cpuload_raw.csv (separate run)
ref +LM (L2_lm),L2_lm,~83 (tab:main),49.5,cpuload_raw.csv (separate run)
ref +VLM (L3_vlm),L3_vlm,100,82.3,cpuload_raw.csv (separate run)
