phase,placement,k,rep,sampler,gpu_skip,npu_skip,worst_sap,mean_sap,sap_s,sap_m,sap_l,loss_s,loss_m,loss_l,util_mean,util_p50,util_p95,mem_used_mib,power_w,n_util_samples
A,All-GPU,0,0,ON,0.68,0.0,0.1148,0.1503,0.0078,0.1674,0.458,0.0,0.0004,0.0004,38.1,54,66,2874,153.2,51
A,All-GPU,0,1,ON,0.34,0.0,0.1145,0.1508,0.0078,0.168,0.4585,0.0,-0.0002,-0.0001,37.8,53,68,2882,157.6,50
A,All-GPU,0,2,ON,0.0,0.0,0.1149,0.1508,0.0078,0.1681,0.4587,0.0,-0.0003,-0.0003,42.1,63,72,2892,158.6,49
A,All-GPU,1,0,ON,30.38,0.0,0.0959,0.1328,0.0071,0.1464,0.4021,0.0007,0.0214,0.0563,58.8,71,85,3022,210.0,84
A,All-GPU,1,1,ON,30.94,0.0,0.0898,0.1321,0.0071,0.1465,0.4132,0.0007,0.0213,0.0452,61.1,73,85,3022,208.6,83
A,All-GPU,1,2,ON,31.37,0.0,0.0958,0.1332,0.0073,0.1435,0.4172,0.0005,0.0243,0.0412,63.6,75,92,3022,211.1,85
A,All-GPU,2,0,ON,51.84,0.0,0.0858,0.1222,0.0063,0.1324,0.3747,0.0015,0.0354,0.0837,60.4,71,79,3554,221.0,90
A,All-GPU,2,1,ON,48.9,0.0,0.0799,0.1231,0.0068,0.1375,0.3693,0.001,0.0303,0.0891,60.4,71,83,3554,226.3,89
A,All-GPU,2,2,ON,49.56,0.0,0.0815,0.1225,0.0064,0.1351,0.3779,0.0014,0.0327,0.0805,61.9,72,86,3554,223.0,90
A,All-GPU,3,0,ON,53.09,0.0,0.0844,0.121,0.0067,0.1332,0.3704,0.0011,0.0346,0.088,60.1,71,86,4086,229.3,90
A,All-GPU,3,1,ON,54.29,0.0,0.0804,0.1198,0.0063,0.1311,0.362,0.0015,0.0367,0.0964,60,70,77,4088,234.1,89
A,All-GPU,3,2,ON,54.91,0.0,0.0789,0.1195,0.0064,0.1301,0.3712,0.0014,0.0377,0.0872,59.5,70,74,4088,231.1,90
A,All-GPU,4,0,ON,60.08,0.0,0.0795,0.1182,0.0063,0.1254,0.3546,0.0015,0.0424,0.1038,61.1,73,78,4874,244.4,91
A,All-GPU,4,1,ON,61.05,0.0,0.0749,0.1149,0.0061,0.1259,0.3407,0.0017,0.0419,0.1177,59.7,71,78,4874,245.0,91
A,All-GPU,4,2,ON,59.33,0.0,0.0783,0.1171,0.0063,0.1282,0.3648,0.0015,0.0396,0.0936,60.1,72,78,4874,243.3,91
A,All-GPU,6,0,ON,65.04,0.0,0.0731,0.1144,0.0057,0.126,0.338,0.0021,0.0418,0.1204,62.4,73,77,5944,261.5,91
A,All-GPU,6,1,ON,65.85,0.0,0.0716,0.1128,0.006,0.1244,0.3345,0.0018,0.0434,0.1239,61.8,73,82,5946,264.7,91
A,All-GPU,6,2,ON,64.22,0.0,0.0725,0.1127,0.0057,0.1208,0.3356,0.0021,0.047,0.1228,61.6,73,81,5946,264.2,91
A,All-GPU,8,0,ON,70.27,0.0,0.0692,0.1112,0.0056,0.1218,0.335,0.0022,0.046,0.1234,62.2,72,81,7006,271.9,92
A,All-GPU,8,1,ON,70.3,0.0,0.0706,0.109,0.0059,0.1173,0.3233,0.0019,0.0505,0.1351,63.3,76,80,7006,276.0,91
A,All-GPU,8,2,ON,69.18,0.0,0.0688,0.1101,0.0058,0.122,0.333,0.002,0.0458,0.1254,63.4,77,81,7006,274.4,92
A,All-NPU,0,0,ON,0.0,0.4,0.0832,0.1262,0.0036,0.1303,0.4327,0.0,0.0,0.0,0,0,0,7006,70.7,52
A,All-NPU,0,1,ON,0.0,0.28,0.083,0.1261,0.0036,0.1304,0.4326,0.0,0.0,0.0,0,0,0,7006,22.0,51
A,All-NPU,0,2,ON,0.0,0.45,0.0835,0.1261,0.0036,0.1303,0.4322,0.0,0.0,0.0,0,0,0,7006,11.4,52
A,All-NPU,8,0,ON,0.0,0.34,0.083,0.1261,0.0033,0.1302,0.4328,0.0,0.0,0.0,44.3,55,63,7006,231.2,53
A,All-NPU,8,1,ON,0.0,0.45,0.0835,0.1263,0.0035,0.1303,0.4328,0.0,0.0,0.0,41.8,53,64,7006,228.8,53
A,All-NPU,8,2,ON,0.0,0.4,0.0836,0.1262,0.0036,0.1301,0.4321,0.0,0.0,0.0,46.6,56,65,7006,238.0,52
B,All-GPU-OFF,2,0,OFF,48.19,0.0,0.0809,0.1224,0.0064,0.134,0.3773,0.0014,0.0338,0.0811,,,,,,
B,All-GPU-OFF,2,1,OFF,47.53,0.0,0.0823,0.1229,0.0064,0.1329,0.381,0.0014,0.0349,0.0774,,,,,,
B,All-GPU-OFF,2,2,OFF,48.87,0.0,0.0806,0.1215,0.0066,0.1323,0.3661,0.0012,0.0355,0.0923,,,,,,
B,All-GPU-OFF,8,0,OFF,72.09,0.0,0.0681,0.1088,0.0058,0.1184,0.3343,0.002,0.0494,0.1241,,,,,,
B,All-GPU-OFF,8,1,OFF,71.94,0.0,0.0713,0.109,0.0059,0.1167,0.3295,0.0019,0.0511,0.1289,,,,,,
B,All-GPU-OFF,8,2,OFF,73.43,0.0,0.0697,0.1095,0.0059,0.1171,0.3323,0.0019,0.0507,0.1261,,,,,,
