phase,placement,k,rep,sampler,t_start,t_end,gpu_skip,npu_skip,worst_sap,mean_sap,sap_s,sap_m,sap_l,s0_skip,s1_skip,s2_skip,s3_skip
A,All-GPU,0,0,ON,1782309607.972,1782309619.172,0.68,0.0,0.1148,0.1503,0.0078,0.1674,0.458,0.7,0.7,0.9,0.5
A,All-GPU,0,1,ON,1782309619.172,1782309630.112,0.34,0.0,0.1145,0.1508,0.0078,0.168,0.4585,0.5,0.4,0.0,0.5
A,All-GPU,0,2,ON,1782309630.113,1782309640.957,0.0,0.0,0.1149,0.1508,0.0078,0.1681,0.4587,0.0,0.0,0.0,0.0
A,All-GPU,1,0,ON,1782309640.957,1782309658.811,30.38,0.0,0.0959,0.1328,0.0071,0.1464,0.4021,29.2,31.4,31.4,29.5
A,All-GPU,1,1,ON,1782309658.811,1782309676.562,30.94,0.0,0.0898,0.1321,0.0071,0.1465,0.4132,31.4,31.4,30.7,30.3
A,All-GPU,1,2,ON,1782309676.563,1782309694.513,31.37,0.0,0.0958,0.1332,0.0073,0.1435,0.4172,32.3,32.2,29.4,31.6
A,All-GPU,2,0,ON,1782309694.513,1782309713.543,51.84,0.0,0.0858,0.1222,0.0063,0.1324,0.3747,54.3,49.6,50.5,53.0
A,All-GPU,2,1,ON,1782309713.543,1782309732.491,48.9,0.0,0.0799,0.1231,0.0068,0.1375,0.3693,46.7,51.7,44.8,52.4
A,All-GPU,2,2,ON,1782309732.491,1782309751.405,49.56,0.0,0.0815,0.1225,0.0064,0.1351,0.3779,47.4,52.9,52.2,45.7
A,All-GPU,3,0,ON,1782309751.405,1782309770.466,53.09,0.0,0.0844,0.121,0.0067,0.1332,0.3704,52.4,54.0,53.7,52.3
A,All-GPU,3,1,ON,1782309770.467,1782309789.387,54.29,0.0,0.0804,0.1198,0.0063,0.1311,0.362,52.4,53.2,54.5,57.0
A,All-GPU,3,2,ON,1782309789.387,1782309808.485,54.91,0.0,0.0789,0.1195,0.0064,0.1301,0.3712,56.0,54.1,54.9,54.6
A,All-GPU,4,0,ON,1782309808.485,1782309827.687,60.08,0.0,0.0795,0.1182,0.0063,0.1254,0.3546,62.6,63.9,53.8,60.1
A,All-GPU,4,1,ON,1782309827.688,1782309846.825,61.05,0.0,0.0749,0.1149,0.0061,0.1259,0.3407,64.6,59.8,60.2,59.6
A,All-GPU,4,2,ON,1782309846.826,1782309866.111,59.33,0.0,0.0783,0.1171,0.0063,0.1282,0.3648,59.4,59.9,59.1,59.0
A,All-GPU,6,0,ON,1782309866.112,1782309885.451,65.04,0.0,0.0731,0.1144,0.0057,0.126,0.338,65.3,61.5,66.7,66.7
A,All-GPU,6,1,ON,1782309885.451,1782309904.591,65.85,0.0,0.0716,0.1128,0.006,0.1244,0.3345,70.1,62.7,63.8,66.8
A,All-GPU,6,2,ON,1782309904.591,1782309923.968,64.22,0.0,0.0725,0.1127,0.0057,0.1208,0.3356,64.8,61.2,66.0,64.8
A,All-GPU,8,0,ON,1782309923.969,1782309943.36,70.27,0.0,0.0692,0.1112,0.0056,0.1218,0.335,67.4,70.1,70.7,72.8
A,All-GPU,8,1,ON,1782309943.36,1782309962.604,70.3,0.0,0.0706,0.109,0.0059,0.1173,0.3233,69.9,68.4,69.6,73.3
A,All-GPU,8,2,ON,1782309962.605,1782309981.933,69.18,0.0,0.0688,0.1101,0.0058,0.122,0.333,74.1,67.8,68.2,66.7
A,All-NPU,0,0,ON,1782309981.933,1782309993.431,0.0,0.4,0.0832,0.1262,0.0036,0.1303,0.4327,0.5,0.2,0.7,0.2
A,All-NPU,0,1,ON,1782309993.431,1782310004.751,0.0,0.28,0.083,0.1261,0.0036,0.1304,0.4326,0.2,0.2,0.2,0.5
A,All-NPU,0,2,ON,1782310004.751,1782310016.165,0.0,0.45,0.0835,0.1261,0.0036,0.1303,0.4322,0.5,0.7,0.2,0.5
A,All-NPU,8,0,ON,1782310016.166,1782310027.697,0.0,0.34,0.083,0.1261,0.0033,0.1302,0.4328,0.2,0.4,0.2,0.5
A,All-NPU,8,1,ON,1782310027.697,1782310039.364,0.0,0.45,0.0835,0.1263,0.0035,0.1303,0.4328,0.7,0.2,0.7,0.2
A,All-NPU,8,2,ON,1782310039.364,1782310050.805,0.0,0.4,0.0836,0.1262,0.0036,0.1301,0.4321,0.7,0.2,0.4,0.2
B,All-GPU-OFF,2,0,OFF,1782310050.919,1782310069.831,48.19,0.0,0.0809,0.1224,0.0064,0.134,0.3773,47.6,48.4,46.7,50.1
B,All-GPU-OFF,2,1,OFF,1782310069.831,1782310088.839,47.53,0.0,0.0823,0.1229,0.0064,0.1329,0.381,47.3,47.8,48.7,46.3
B,All-GPU-OFF,2,2,OFF,1782310088.839,1782310107.89,48.87,0.0,0.0806,0.1215,0.0066,0.1323,0.3661,45.7,49.9,49.9,50.0
B,All-GPU-OFF,8,0,OFF,1782310107.89,1782310127.323,72.09,0.0,0.0681,0.1088,0.0058,0.1184,0.3343,68.5,78.4,71.4,70.0
B,All-GPU-OFF,8,1,OFF,1782310127.324,1782310146.676,71.94,0.0,0.0713,0.109,0.0059,0.1167,0.3295,73.8,71.5,71.2,71.2
B,All-GPU-OFF,8,2,OFF,1782310146.677,1782310165.997,73.43,0.0,0.0697,0.1095,0.0059,0.1171,0.3323,74.3,73.8,74.8,70.8
