epoch,util_gpu,util_mem,mem_used_mib,power_w
1782309606.007,1,0,2502,67.4
1782309606.207,1,0,2502,68.2
1782309606.408,1,0,2502,68.2
1782309606.609,0,0,2502,65.5
1782309606.809,0,0,2502,65.5
1782309607.010,0,0,2502,65.5
1782309607.211,0,0,2502,60.9
1782309607.411,0,0,2502,60.9
1782309607.612,0,0,2502,61.1
1782309607.812,0,0,2502,61.1
1782309608.013,0,0,2702,61.1
1782309608.214,0,0,2844,67.0
1782309608.414,0,0,2856,67.0
1782309608.615,53,4,2858,121.8
1782309608.815,53,4,2858,121.8
1782309609.016,53,4,2858,121.8
1782309609.216,53,4,2858,184.8
1782309609.416,53,4,2858,184.8
1782309609.617,66,3,2858,183.0
1782309609.817,66,3,2858,183.0
1782309610.018,66,3,2858,183.0
1782309610.218,66,3,2858,175.6
1782309610.419,66,3,2858,175.6
1782309610.619,54,4,2858,178.7
1782309610.820,54,4,2858,178.7
1782309611.020,54,4,2858,178.7
1782309611.220,54,4,2858,184.1
1782309611.421,54,4,2858,184.1
1782309611.621,64,4,2858,184.1
1782309611.822,64,4,2858,184.1
1782309612.022,64,4,2882,184.1
1782309612.223,64,4,2882,183.7
1782309612.423,64,4,2882,183.7
1782309612.624,59,4,2882,185.3
1782309612.824,59,4,2882,185.3
1782309613.025,59,4,2882,185.3
1782309613.225,59,4,2882,188.7
1782309613.426,59,4,2882,188.7
1782309613.626,54,4,2882,189.2
1782309613.826,54,4,2882,189.2
1782309614.027,54,4,2882,189.2
1782309614.227,54,4,2882,193.8
1782309614.428,54,4,2882,193.8
1782309614.628,60,4,2882,189.8
1782309614.829,60,4,2882,189.8
1782309615.029,60,4,2882,189.8
1782309615.230,60,4,2882,184.4
1782309615.430,60,4,2882,184.4
1782309615.631,0,0,2882,166.7
1782309615.831,0,0,2882,166.7
1782309616.032,0,0,2882,166.7
1782309616.232,0,0,2882,123.9
1782309616.433,0,0,2882,123.9
1782309616.633,0,0,2882,92.3
1782309616.834,0,0,2882,92.3
1782309617.034,0,0,2882,92.3
1782309617.235,0,0,2882,92.2
1782309617.436,0,0,2882,92.2
1782309617.636,0,0,2882,81.1
1782309617.837,0,0,2882,81.1
1782309618.037,0,0,2882,81.1
1782309618.238,0,0,2882,66.9
1782309618.439,0,0,2882,66.9
1782309618.639,0,0,2882,60.8
1782309618.840,0,0,2882,60.8
1782309619.040,0,0,2882,60.8
1782309619.241,0,0,2882,60.7
1782309619.441,0,0,2882,60.7
1782309619.642,60,4,2882,110.8
1782309619.842,60,4,2882,110.8
1782309620.043,60,4,2882,110.8
1782309620.243,60,4,2882,172.5
1782309620.443,60,4,2882,172.5
1782309620.644,58,4,2882,184.4
1782309620.844,58,4,2882,184.4
1782309621.045,58,4,2882,184.4
1782309621.245,58,4,2882,184.8
1782309621.446,58,4,2882,184.8
1782309621.646,67,4,2882,188.8
1782309621.847,67,4,2882,188.8
1782309622.047,67,4,2882,188.8
1782309622.248,67,4,2882,190.7
1782309622.448,67,4,2882,190.7
1782309622.649,53,3,2882,192.7
1782309622.849,53,3,2882,192.7
1782309623.050,53,3,2882,192.7
1782309623.250,53,3,2882,194.9
1782309623.450,53,3,2882,194.9
1782309623.651,57,4,2882,191.6
1782309623.851,57,4,2882,191.6
1782309624.052,57,4,2882,191.6
1782309624.252,57,4,2882,188.4
1782309624.453,57,4,2882,188.4
1782309624.653,51,4,2882,186.7
1782309624.853,51,4,2882,186.7
1782309625.054,51,4,2882,186.7
1782309625.254,51,4,2882,184.9
1782309625.455,51,4,2882,184.9
1782309625.655,68,4,2882,191.2
1782309625.856,68,4,2882,191.2
1782309626.056,68,4,2882,191.2
1782309626.257,68,4,2882,198.8
1782309626.457,68,4,2882,198.8
1782309626.658,0,0,2882,176.3
1782309626.858,0,0,2882,176.3
1782309627.059,0,0,2882,176.3
1782309627.259,0,0,2882,125.7
1782309627.460,0,0,2882,125.7
1782309627.661,0,0,2882,95.8
1782309627.861,0,0,2882,95.8
1782309628.062,0,0,2882,95.8
1782309628.262,0,0,2882,95.4
1782309628.463,0,0,2882,95.4
1782309628.664,0,0,2882,84.2
1782309628.864,0,0,2882,84.2
1782309629.065,0,0,2882,84.2
1782309629.265,0,0,2882,67.4
1782309629.466,0,0,2882,67.4
1782309629.666,0,0,2882,65.2
1782309629.867,0,0,2882,65.2
1782309630.068,0,0,2882,65.2
1782309630.268,0,0,2882,65.2
1782309630.469,0,0,2882,65.2
1782309630.670,57,4,2882,121.0
1782309630.870,57,4,2882,121.0
1782309631.071,57,4,2882,121.0
1782309631.271,57,4,2882,184.9
1782309631.472,57,4,2882,184.9
1782309631.672,69,5,2882,194.6
1782309631.873,69,5,2882,194.6
1782309632.073,69,5,2882,194.6
1782309632.274,69,5,2882,197.8
1782309632.474,69,5,2894,197.8
1782309632.674,64,4,2894,198.4
1782309632.875,64,4,2894,198.4
1782309633.075,64,4,2894,198.4
1782309633.276,64,4,2894,196.1
1782309633.476,64,4,2894,196.1
1782309633.677,59,4,2894,197.3
1782309633.877,59,4,2894,197.3
1782309634.078,59,4,2894,197.3
1782309634.278,59,4,2894,197.6
1782309634.479,59,4,2894,197.6
1782309634.679,63,4,2894,199.7
1782309634.880,63,4,2894,199.7
1782309635.080,63,4,2894,199.7
1782309635.280,63,4,2894,200.0
1782309635.481,63,4,2894,200.0
1782309635.681,72,5,2894,195.8
1782309635.882,72,5,2894,195.8
1782309636.082,72,5,2894,195.8
1782309636.283,72,5,2894,196.0
1782309636.483,72,5,2894,196.0
1782309636.684,63,4,2894,192.6
1782309636.884,63,4,2894,192.6
1782309637.085,63,4,2894,185.4
1782309637.285,63,4,2894,185.4
1782309637.486,63,4,2894,185.4
1782309637.687,0,0,2894,145.0
1782309637.887,0,0,2894,145.0
1782309638.088,0,0,2894,103.2
1782309638.288,0,0,2894,103.2
1782309638.489,0,0,2894,103.2
1782309638.689,0,0,2894,95.3
1782309638.890,0,0,2894,95.3
1782309639.090,0,0,2894,86.7
1782309639.291,0,0,2894,86.7
1782309639.492,0,0,2894,86.7
1782309639.692,0,0,2894,74.8
1782309639.893,0,0,2894,74.8
1782309640.093,0,0,2894,66.4
1782309640.294,0,0,2894,66.4
1782309640.494,0,0,2894,66.4
1782309640.695,0,0,2894,64.9
1782309640.896,0,0,2894,64.9
1782309641.096,0,0,3022,83.8
1782309641.297,0,0,3022,83.8
1782309641.497,0,0,3022,83.8
1782309641.698,71,8,3022,163.2
1782309641.898,71,8,3022,163.2
1782309642.099,71,8,3022,243.1
1782309642.299,71,8,3022,243.1
1782309642.500,71,8,3022,243.1
