device,rep,sid,sap_s,sap_m,sap_l,skip,lat
GPU,0,0,0.014518699915510446,0.1163581614546071,0.44874339864654533,0.0,10.408394372285303
NPU,0,0,0.008924859007336524,0.10040213289618885,0.4074871325208682,0.0,9.817522511005949
GPU,0,1,0.0014118189803259153,0.08079909259379049,0.22988610636652138,0.0,7.615385865781939
NPU,0,1,0.001945423304750868,0.06672321249651975,0.19836763702088311,0.0,9.390346765791918
GPU,0,2,0.008204947263603084,0.1387398085867008,0.5830987148839863,0.0,8.167047978533699
NPU,0,2,0.005749456475353198,0.13177369633575484,0.5649530037767779,0.0,10.111045185688688
GPU,0,3,0.0003391666806432196,0.19192984052408432,0.3242111644824496,0.0,8.054442887895563
NPU,0,3,2.8698522026115655e-05,0.14851245990958992,0.30821654384541086,0.0,9.953085760052284
GPU,0,4,0.0,0.11242799099213713,0.3611075173045117,0.0,8.085712790489197
NPU,0,4,0.0,0.06925065010910957,0.4277362269518583,0.0,9.940288215875626
GPU,0,5,0.018642851198519588,0.18828284053398833,0.46552516981835457,0.0,8.111728047861636
NPU,0,5,0.011776021299608952,0.1474312475242023,0.43312272382215977,0.0,10.033617899255844
GPU,0,6,0.005229545881014492,0.07094913653656817,0.3618040049090717,0.0,7.7991078274668215
NPU,0,6,0.004835764892714417,0.06396311303019683,0.3330394431066692,0.0,9.67533061607552
GPU,0,7,0.00198019801980198,0.17618273647945926,0.44082533558907544,0.0,7.835921631556124
NPU,0,7,0.0,0.1364196999222611,0.39975193163156875,0.0,9.715235396607282
GPU,0,8,0.00906592068307024,0.13320268678777458,0.39069838572040366,0.0,8.347106534381245
NPU,0,8,0.0073361756522271546,0.08998563799618012,0.37545737035937643,0.0,10.184009685072787
GPU,0,9,0.002428581730322388,0.10950175130419566,0.23832859743500723,0.0,8.20784591601796
NPU,0,9,0.0013985148514851487,0.10986946227446155,0.2537417855116585,0.0,10.059906535171436
GPU,0,10,0.01985945592929019,0.1367761664152755,0.2938907068189981,0.0,7.787536043639577
NPU,0,10,0.014338049026634514,0.12071211558700738,0.24143984194720208,0.0,9.681653538975146
GPU,0,11,0.005078596928518762,0.17193187020787548,0.5558393540259159,0.0,8.19538764647036
NPU,0,11,0.00416448058322656,0.13989199983026807,0.52115291459057,0.0,10.083724929599345
GPU,0,12,0.06748090439400871,0.393688302021785,0.8546488738930541,0.0,8.09512377328373
NPU,0,12,0.020849854867742348,0.29551455278953626,0.881349290677756,0.0,9.938142294221153
GPU,0,13,0.006480007085223262,0.08499584253202257,0.3085600849589518,0.0,7.676663701933933
NPU,0,13,0.0025422659293834683,0.06700057310424277,0.28995984551365117,0.0,9.582826856932888
GPU,0,14,0.026298395947582723,0.1653369635917286,0.5305445652923118,0.0,7.438596162675579
NPU,0,14,0.010485675574246386,0.164707482850706,0.49779574864211706,0.0,9.265849018206415
GPU,0,15,0.01271313296773499,0.11526598399828518,0.3916043249236211,0.0,7.775800747144208
NPU,0,15,0.0043077365484291376,0.09627334979856042,0.34629274867786075,0.0,9.532006711149382
GPU,0,16,0.00849660739669079,0.4857539798687086,0.5442086016219253,0.0,8.032628235349893
NPU,0,16,0.0036884180297648856,0.3284178749560443,0.5334435204063881,0.0,9.877198920977685
GPU,0,17,0.015733208238510387,0.22443752143167386,0.6923545820678901,0.0,8.034818627861108
NPU,0,17,0.0103999437805369,0.1752332420030411,0.6535289992462464,0.0,9.91923567954074
GPU,0,18,0.014427762844565853,0.090563286424314,0.7277899598266458,0.0,7.577539995808825
NPU,0,18,0.005930530146360876,0.07639784647049198,0.67986902519637,0.0,9.493663855726766
GPU,0,19,0.013278932488096772,0.09591139856727735,0.3737602836923569,0.0,7.79917207332926
NPU,0,19,0.01128984089140142,0.08339322834022751,0.360325966371977,0.0,9.749484718392749
GPU,0,20,0.009159851635039762,0.06897480565729178,0.2831213276146871,0.0,7.775179617497264
NPU,0,20,0.006859135144315109,0.06643235394697986,0.2660309840784743,0.0,9.645715661363884
GPU,0,21,0.005158668128011215,0.045466346670645946,0.23956529254471734,0.0,7.857274357441618
NPU,0,21,0.001588971397139714,0.02954700008497575,0.2121675500852824,0.0,9.707472047393034
GPU,0,22,0.0006388017990725737,0.17959902507939535,0.7260446074438339,0.0,8.264710394184242
NPU,0,22,0.0020675276160960674,0.15594536265282669,0.7251020668584376,0.0,10.161395019359803
GPU,0,23,0.02132384841831879,0.1484643339364253,0.49456486050703036,0.0,7.865211401092872
NPU,0,23,0.01845801750919583,0.12533277904531484,0.45570647590739405,0.0,9.799380784624079
