point,cotenant,c,placement,rep,t_start,t_end,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,gpu_skip_pct,npu_skip_pct,deadline_margin_ms_mean,cpu_pct_mean,cpu_nbusy_mean,gpu_util_mean,power_w_mean,per_stream_json
c0,cpu_stress,0,AllGPU,0,1783075414.025,1783075423.578,0.11491,0.15066,0.13829,0.11678,0.00783,0.16767,0.45857,0.62,0.0,-17.583,17.0,3.2,44.0,153.1,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12114, ""sap_s"": 0.01643, ""sap_m"": 0.1739, ""sap_l"": 0.5767, ""skip"": 0.68, ""eff_mean_ms"": 15.702, ""infer_mean_ms"": 15.702}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21115, ""sap_s"": 0.00143, ""sap_m"": 0.19297, ""sap_l"": 0.64735, ""skip"": 0.67, ""eff_mean_ms"": 15.871, ""infer_mean_ms"": 15.87}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15544, ""sap_s"": 0.00345, ""sap_m"": 0.25698, ""sap_l"": 0.34867, ""skip"": 0.67, ""eff_mean_ms"": 15.736, ""infer_mean_ms"": 15.735}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11491, ""sap_s"": 0.01001, ""sap_m"": 0.04683, ""sap_l"": 0.26155, ""skip"": 0.46, ""eff_mean_ms"": 15.694, ""infer_mean_ms"": 15.693}]"
c0,cpu_stress,0,AllGPU,1,1783075423.579,1783075433.177,0.11454,0.15034,0.13782,0.11639,0.00778,0.16644,0.45819,0.96,0.0,-17.838,14.5,2.7,39.8,151.8,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1207, ""sap_s"": 0.01622, ""sap_m"": 0.1728, ""sap_l"": 0.57697, ""skip"": 0.68, ""eff_mean_ms"": 15.655, ""infer_mean_ms"": 15.655}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21119, ""sap_s"": 0.00142, ""sap_m"": 0.19211, ""sap_l"": 0.64673, ""skip"": 1.35, ""eff_mean_ms"": 15.763, ""infer_mean_ms"": 15.763}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15493, ""sap_s"": 0.00345, ""sap_m"": 0.25475, ""sap_l"": 0.3483, ""skip"": 0.67, ""eff_mean_ms"": 15.305, ""infer_mean_ms"": 15.304}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11454, ""sap_s"": 0.01003, ""sap_m"": 0.0461, ""sap_l"": 0.26075, ""skip"": 1.14, ""eff_mean_ms"": 15.257, ""infer_mean_ms"": 15.256}]"
c0,cpu_stress,0,AllGPU,2,1783075433.178,1783075442.058,0.11489,0.15075,0.13849,0.11684,0.00783,0.16802,0.4586,0.06,0.0,-18.71,12.7,2.2,44.4,155.3,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1214, ""sap_s"": 0.01643, ""sap_m"": 0.17496, ""sap_l"": 0.57719, ""skip"": 0.0, ""eff_mean_ms"": 14.791, ""infer_mean_ms"": 14.791}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21113, ""sap_s"": 0.00143, ""sap_m"": 0.19297, ""sap_l"": 0.64695, ""skip"": 0.0, ""eff_mean_ms"": 14.67, ""infer_mean_ms"": 14.67}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15558, ""sap_s"": 0.00345, ""sap_m"": 0.2573, ""sap_l"": 0.34887, ""skip"": 0.22, ""eff_mean_ms"": 14.588, ""infer_mean_ms"": 14.588}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11489, ""sap_s"": 0.01001, ""sap_m"": 0.04685, ""sap_l"": 0.26138, ""skip"": 0.0, ""eff_mean_ms"": 14.446, ""infer_mean_ms"": 14.446}]"
c0,cpu_stress,0,AllNPU,0,1783075442.059,1783075452.127,0.08345,0.12623,0.11513,0.0911,0.00356,0.13031,0.43283,0.0,0.45,-15.493,16.8,3.2,17.1,89.5,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10894, ""sap_s"": 0.01136, ""sap_m"": 0.14221, ""sap_l"": 0.56581, ""skip"": 0.46, ""eff_mean_ms"": 17.84, ""infer_mean_ms"": 17.839}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19123, ""sap_s"": 0.001, ""sap_m"": 0.17331, ""sap_l"": 0.6139, ""skip"": 0.45, ""eff_mean_ms"": 18.084, ""infer_mean_ms"": 18.084}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12131, ""sap_s"": 0.00049, ""sap_m"": 0.18125, ""sap_l"": 0.33885, ""skip"": 0.67, ""eff_mean_ms"": 17.968, ""infer_mean_ms"": 17.968}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08345, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21276, ""skip"": 0.23, ""eff_mean_ms"": 17.471, ""infer_mean_ms"": 17.471}]"
c0,cpu_stress,0,AllNPU,1,1783075452.127,1783075461.949,0.0836,0.12629,0.11522,0.09122,0.00356,0.13043,0.43291,0.0,0.06,-16.42,11.4,2.2,9.9,65.5,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.109, ""sap_s"": 0.01134, ""sap_m"": 0.14256, ""sap_l"": 0.56587, ""skip"": 0.0, ""eff_mean_ms"": 16.652, ""infer_mean_ms"": 16.652}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19112, ""sap_s"": 0.00101, ""sap_m"": 0.17313, ""sap_l"": 0.61409, ""skip"": 0.22, ""eff_mean_ms"": 16.872, ""infer_mean_ms"": 16.872}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.451, ""infer_mean_ms"": 16.451}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 17.679, ""infer_mean_ms"": 17.679}]"
c0,cpu_stress,0,AllNPU,2,1783075461.95,1783075471.544,0.0836,0.12632,0.11522,0.09122,0.00356,0.13048,0.43286,0.0,0.06,-16.727,10.4,2.1,14.3,46.9,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.109, ""sap_s"": 0.01134, ""sap_m"": 0.14256, ""sap_l"": 0.56587, ""skip"": 0.0, ""eff_mean_ms"": 16.65, ""infer_mean_ms"": 16.65}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19123, ""sap_s"": 0.00101, ""sap_m"": 0.17334, ""sap_l"": 0.61388, ""skip"": 0.22, ""eff_mean_ms"": 16.918, ""infer_mean_ms"": 16.918}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.682, ""infer_mean_ms"": 16.682}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 16.175, ""infer_mean_ms"": 16.175}]"
c2,cpu_stress,2,AllGPU,0,1783075472.547,1783075482.346,0.11486,0.15027,0.13755,0.11652,0.00779,0.16736,0.45758,1.24,0.0,-16.848,24.3,6.0,44.1,144.2,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1204, ""sap_s"": 0.01631, ""sap_m"": 0.17292, ""sap_l"": 0.57358, ""skip"": 1.82, ""eff_mean_ms"": 16.707, ""infer_mean_ms"": 16.707}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.2111, ""sap_s"": 0.00141, ""sap_m"": 0.19283, ""sap_l"": 0.64696, ""skip"": 1.12, ""eff_mean_ms"": 16.594, ""infer_mean_ms"": 16.593}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15471, ""sap_s"": 0.00345, ""sap_m"": 0.2568, ""sap_l"": 0.34856, ""skip"": 1.57, ""eff_mean_ms"": 16.476, ""infer_mean_ms"": 16.475}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11486, ""sap_s"": 0.00997, ""sap_m"": 0.04691, ""sap_l"": 0.26123, ""skip"": 0.46, ""eff_mean_ms"": 16.164, ""infer_mean_ms"": 16.163}]"
c2,cpu_stress,2,AllGPU,1,1783075482.346,1783075491.279,0.11481,0.15066,0.13842,0.11677,0.00783,0.16799,0.45851,0.17,0.0,-18.947,20.9,5.2,39.8,150.4,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12135, ""sap_s"": 0.01644, ""sap_m"": 0.17491, ""sap_l"": 0.57704, ""skip"": 0.23, ""eff_mean_ms"": 14.635, ""infer_mean_ms"": 14.635}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21098, ""sap_s"": 0.00143, ""sap_m"": 0.19295, ""sap_l"": 0.64693, ""skip"": 0.22, ""eff_mean_ms"": 14.704, ""infer_mean_ms"": 14.703}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1555, ""sap_s"": 0.00345, ""sap_m"": 0.25732, ""sap_l"": 0.34877, ""skip"": 0.0, ""eff_mean_ms"": 14.349, ""infer_mean_ms"": 14.348}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11481, ""sap_s"": 0.01001, ""sap_m"": 0.04678, ""sap_l"": 0.26129, ""skip"": 0.23, ""eff_mean_ms"": 13.858, ""infer_mean_ms"": 13.858}]"
c2,cpu_stress,2,AllGPU,2,1783075491.279,1783075500.372,0.1144,0.15009,0.13742,0.11635,0.0078,0.16708,0.45771,0.68,0.0,-18.231,24.2,6.1,42.9,149.0,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12089, ""sap_s"": 0.01633, ""sap_m"": 0.17398, ""sap_l"": 0.5761, ""skip"": 0.68, ""eff_mean_ms"": 15.302, ""infer_mean_ms"": 15.302}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21111, ""sap_s"": 0.00143, ""sap_m"": 0.193, ""sap_l"": 0.64661, ""skip"": 0.45, ""eff_mean_ms"": 15.259, ""infer_mean_ms"": 15.259}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15395, ""sap_s"": 0.00339, ""sap_m"": 0.25533, ""sap_l"": 0.34724, ""skip"": 0.9, ""eff_mean_ms"": 15.08, ""infer_mean_ms"": 15.079}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.1144, ""sap_s"": 0.01005, ""sap_m"": 0.04603, ""sap_l"": 0.26088, ""skip"": 0.68, ""eff_mean_ms"": 14.77, ""infer_mean_ms"": 14.77}]"
c2,cpu_stress,2,AllNPU,0,1783075500.372,1783075510.057,0.0836,0.12632,0.11522,0.09122,0.00356,0.13048,0.43288,0.0,0.0,-16.444,18.8,4.5,5.6,70.9,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.109, ""sap_s"": 0.01134, ""sap_m"": 0.14256, ""sap_l"": 0.56587, ""skip"": 0.0, ""eff_mean_ms"": 17.311, ""infer_mean_ms"": 17.311}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 16.887, ""infer_mean_ms"": 16.886}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.932, ""infer_mean_ms"": 16.932}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 16.428, ""infer_mean_ms"": 16.427}]"
