point,cotenant,c,placement,n,worst_sap_mean,worst_sap_std,mean_sap_mean,sap_small,sap_medium,sap_large,gpu_skip_mean,npu_skip_mean,cpu_pct_mean,cpu_nbusy_mean,gpu_util_mean
anchor_llmcpu,tinyllama_cpu,-1,AllGPU,3,0.11488,1e-05,0.15056,0.00781,0.1677,0.45686,0.53,0.0,43.3,10.5,36.9
c0,cpu_stress,0,AllGPU,3,0.11478,0.00017,0.15058,0.00781,0.16738,0.45845,0.55,0.0,14.7,2.7,42.7
c2,cpu_stress,2,AllGPU,3,0.11469,0.00021,0.15034,0.00781,0.16748,0.45793,0.7,0.0,23.1,5.8,42.3
c4,cpu_stress,4,AllGPU,3,0.11486,6e-05,0.1505,0.00783,0.16779,0.4581,0.59,0.0,32.4,7.9,39.8
c8,cpu_stress,8,AllGPU,3,0.11487,2e-05,0.15059,0.00782,0.16765,0.4576,0.42,0.0,48.5,11.7,35.2
c16,cpu_stress,16,AllGPU,3,0.11385,0.00084,0.14887,0.00779,0.16645,0.44957,2.6,0.0,81.3,19.7,39.7
c24,cpu_stress,24,AllGPU,3,0.07664,0.00378,0.11917,0.00612,0.1299,0.36307,62.61,0.0,100.0,24.0,22.7
anchor_llmcpu,tinyllama_cpu,-1,AllNPU,3,0.08358,2e-05,0.12628,0.00356,0.13039,0.43285,0.0,0.21,41.8,10.6,6.5
c0,cpu_stress,0,AllNPU,3,0.08355,7e-05,0.12628,0.00356,0.13041,0.43287,0.0,0.19,12.9,2.5,13.8
c2,cpu_stress,2,AllNPU,3,0.08352,0.00011,0.12626,0.00356,0.13037,0.43277,0.0,0.25,24.2,5.9,15.6
c4,cpu_stress,4,AllNPU,3,0.08354,8e-05,0.12609,0.00356,0.13004,0.43141,0.0,0.43,34.4,8.2,7.1
c8,cpu_stress,8,AllNPU,3,0.08362,3e-05,0.12629,0.00356,0.13031,0.43216,0.0,0.3,46.6,11.7,6.5
c16,cpu_stress,16,AllNPU,3,0.08291,0.00098,0.12574,0.00355,0.12945,0.43141,0.0,1.47,78.9,19.7,10.6
c24,cpu_stress,24,AllNPU,3,0.07477,0.00521,0.11452,0.00325,0.1193,0.39285,0.0,26.71,100.0,24.0,7.6
