epoch,util_gpu,util_mem,mem_used_mib,power_w,cpu_pct,cpu_nbusy,ram_used_mib
1783075412.560,6,0,2407,76.5,7.6,1,19982
1783075412.761,6,0,2407,76.5,2.7,0,19983
1783075412.961,6,0,2407,76.5,2.1,0,19983
1783075413.162,6,0,2403,76.5,1.8,0,19983
1783075413.363,6,0,2403,76.5,7.0,0,19985
1783075413.563,12,0,2403,76.2,1.4,0,19985
1783075413.764,12,0,2403,76.2,0.9,0,19972
1783075413.965,12,0,2404,75.2,1.0,0,19972
1783075414.165,12,0,2740,75.2,11.1,2,20119
1783075414.366,12,0,2740,75.2,12.0,2,20134
1783075414.567,47,3,2760,96.8,14.4,2,20150
1783075414.768,47,3,2762,96.8,14.6,2,20158
1783075414.971,47,3,2762,145.7,14.3,3,20163
1783075415.172,47,3,2762,145.7,14.7,3,20163
1783075415.372,47,3,2762,145.7,13.2,2,20165
1783075415.573,58,4,2764,168.8,13.9,3,20165
1783075415.773,58,4,2764,168.8,13.6,2,20165
1783075415.974,58,4,2764,168.7,11.8,2,20165
1783075416.174,58,4,2764,168.7,14.8,2,20166
1783075416.375,58,4,2764,168.7,13.7,2,20165
1783075416.575,52,4,2764,169.0,12.8,2,20166
1783075416.777,52,4,2764,169.0,15.0,2,20165
1783075416.977,52,4,2773,167.0,13.8,2,20165
1783075417.178,52,4,2765,167.0,13.2,2,20165
1783075417.378,52,4,2765,167.0,13.5,2,20162
1783075417.579,46,4,2765,167.8,13.6,2,20162
1783075417.780,46,4,2766,167.8,13.8,2,20156
1783075417.980,46,4,2760,170.3,13.6,2,20155
1783075418.181,46,4,2754,170.3,13.5,2,20145
1783075418.381,46,4,2754,170.3,14.9,3,20145
1783075418.582,56,5,2760,172.6,14.7,3,20145
1783075418.783,56,5,2760,172.6,19.4,3,20147
1783075418.983,56,5,2766,172.2,16.6,4,20147
1783075419.184,56,5,2766,172.2,12.0,2,20147
1783075419.385,56,5,2766,172.2,16.0,3,20147
1783075419.585,51,4,2766,172.9,15.9,3,20148
1783075419.786,51,4,2766,172.9,12.6,2,20148
1783075419.986,51,4,2770,170.2,13.3,2,20149
1783075420.187,51,4,2770,170.2,15.3,3,20147
1783075420.388,51,4,2770,170.2,37.1,8,20148
1783075420.588,43,3,2803,168.2,41.3,9,20180
1783075420.789,43,3,2803,168.2,19.7,3,20180
1783075420.989,43,3,2803,166.6,18.2,3,20181
1783075421.190,43,3,2803,166.6,19.9,4,20181
1783075421.390,43,3,2803,166.6,17.0,3,20181
1783075421.591,49,4,2803,165.4,31.6,8,20181
1783075421.792,49,4,2802,165.4,16.0,3,20185
1783075421.992,49,4,2804,151.3,28.5,7,20192
1783075422.193,49,4,2817,151.3,11.1,2,20192
1783075422.394,49,4,2822,151.3,10.8,2,20201
1783075422.594,7,0,2827,120.5,8.0,2,20202
1783075422.795,7,0,2832,120.5,16.4,2,20228
1783075422.996,7,0,2833,102.4,25.9,8,20278
1783075423.197,7,0,2833,102.4,41.3,8,20414
