config,dm_pct_mean,cpu_user_mean,cpu_sys_mean,stage,mean_ms,p50_ms,p95_ms,share_pct
none,0.0,9.2,1.4,read_pre,5.914,5.766,7.016,34.6
none,0.0,9.2,1.4,infer,7.963,7.788,9.709,46.6
none,0.0,9.2,1.4,post,3.168,2.919,5.682,18.5
none,0.0,9.2,1.4,other,0.039,0.012,0.187,0.2
synth_c24,30.2,99.0,1.0,read_pre,16.649,16.594,22.528,54.3
synth_c24,30.2,99.0,1.0,infer,8.631,7.487,13.136,28.2
synth_c24,30.2,99.0,1.0,post,5.314,4.794,12.034,17.3
synth_c24,30.2,99.0,1.0,other,0.053,0.014,0.259,0.2
L2LM,23.3,98.9,1.0,read_pre,14.147,14.47,21.034,48.2
L2LM,23.3,98.9,1.0,infer,9.229,8.2,14.765,31.5
L2LM,23.3,98.9,1.0,post,5.894,5.048,13.733,20.1
L2LM,23.3,98.9,1.0,other,0.056,0.014,0.202,0.2
