point,cotenant,policy,selected_placement,n_npu,worst_sap,mean_sap,regret,gpu_util_pct,gpu_dm_pct,npu_dm_pct,triggered,rationale
ResNet k=1,L1CNN,P1_isolated_accuracy,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=1,L1CNN,P2_latency_profiling,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=1,L1CNN,P3_util_theta70,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,GPU util 69.7% <= theta 70% -> stay All-GPU
ResNet k=1,L1CNN,P3_util_theta80,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,GPU util 69.7% <= theta 80% -> stay All-GPU
ResNet k=1,L1CNN,P3_util_theta90,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,GPU util 69.7% <= theta 90% -> stay All-GPU
ResNet k=1,L1CNN,P4_deadline_miss_aware,All-GPU,0,0.0979,0.1367,0.0046,69.7,24.3,1.4,False,GPU DM 24.3% <= crossover 48% -> All-GPU
ResNet k=1,L1CNN,Oracle,split1,1,0.1026,0.1366,0.0,69.7,24.3,1.4,,post-hoc best over placement family
ResNet k=2,ResNet,P1_isolated_accuracy,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=2,ResNet,P2_latency_profiling,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=2,ResNet,P3_util_theta70,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,GPU util 66.4% <= theta 70% -> stay All-GPU
ResNet k=2,ResNet,P3_util_theta80,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,GPU util 66.4% <= theta 80% -> stay All-GPU
ResNet k=2,ResNet,P3_util_theta90,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,GPU util 66.4% <= theta 90% -> stay All-GPU
ResNet k=2,ResNet,P4_deadline_miss_aware,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,False,GPU DM 45.0% <= crossover 48% -> All-GPU
ResNet k=2,ResNet,Oracle,All-GPU,0,0.0868,0.1249,0.0,66.4,45.0,0.6,,post-hoc best over placement family
ResNet k=3,ResNet,P1_isolated_accuracy,All-GPU,0,0.0819,0.121,0.0017,67.8,51.5,0.5,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=3,ResNet,P2_latency_profiling,All-GPU,0,0.0819,0.121,0.0017,67.8,51.5,0.5,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=3,ResNet,P3_util_theta70,All-GPU,0,0.0819,0.121,0.0017,67.8,51.5,0.5,False,GPU util 67.8% <= theta 70% -> stay All-GPU
ResNet k=3,ResNet,P3_util_theta80,All-GPU,0,0.0819,0.121,0.0017,67.8,51.5,0.5,False,GPU util 67.8% <= theta 80% -> stay All-GPU
ResNet k=3,ResNet,P3_util_theta90,All-GPU,0,0.0819,0.121,0.0017,67.8,51.5,0.5,False,GPU util 67.8% <= theta 90% -> stay All-GPU
ResNet k=3,ResNet,P4_deadline_miss_aware,All-NPU,4,0.0833,0.1261,0.0003,67.8,51.5,0.5,True,GPU DM 51.5% > crossover 48% -> All-NPU
ResNet k=3,ResNet,Oracle,split2,2,0.0836,0.1282,0.0,67.8,51.5,0.5,,post-hoc best over placement family
ResNet k=4,ResNet,P1_isolated_accuracy,All-GPU,0,0.0788,0.1187,0.0047,68.3,56.1,0.6,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=4,ResNet,P2_latency_profiling,All-GPU,0,0.0788,0.1187,0.0047,68.3,56.1,0.6,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=4,ResNet,P3_util_theta70,All-GPU,0,0.0788,0.1187,0.0047,68.3,56.1,0.6,False,GPU util 68.3% <= theta 70% -> stay All-GPU
ResNet k=4,ResNet,P3_util_theta80,All-GPU,0,0.0788,0.1187,0.0047,68.3,56.1,0.6,False,GPU util 68.3% <= theta 80% -> stay All-GPU
ResNet k=4,ResNet,P3_util_theta90,All-GPU,0,0.0788,0.1187,0.0047,68.3,56.1,0.6,False,GPU util 68.3% <= theta 90% -> stay All-GPU
ResNet k=4,ResNet,P4_deadline_miss_aware,All-NPU,4,0.0833,0.1262,0.0003,68.3,56.1,0.6,True,GPU DM 56.1% > crossover 48% -> All-NPU
ResNet k=4,ResNet,Oracle,split2,2,0.0836,0.1272,0.0,68.3,56.1,0.6,,post-hoc best over placement family
ResNet k=6,ResNet,P1_isolated_accuracy,All-GPU,0,0.0767,0.115,0.0069,68.4,62.4,0.5,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=6,ResNet,P2_latency_profiling,All-GPU,0,0.0767,0.115,0.0069,68.4,62.4,0.5,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=6,ResNet,P3_util_theta70,All-GPU,0,0.0767,0.115,0.0069,68.4,62.4,0.5,False,GPU util 68.4% <= theta 70% -> stay All-GPU
ResNet k=6,ResNet,P3_util_theta80,All-GPU,0,0.0767,0.115,0.0069,68.4,62.4,0.5,False,GPU util 68.4% <= theta 80% -> stay All-GPU
ResNet k=6,ResNet,P3_util_theta90,All-GPU,0,0.0767,0.115,0.0069,68.4,62.4,0.5,False,GPU util 68.4% <= theta 90% -> stay All-GPU
ResNet k=6,ResNet,P4_deadline_miss_aware,All-NPU,4,0.0834,0.1261,0.0002,68.4,62.4,0.5,True,GPU DM 62.4% > crossover 48% -> All-NPU
ResNet k=6,ResNet,Oracle,split3,3,0.0836,0.1232,0.0,68.4,62.4,0.5,,post-hoc best over placement family
ResNet k=8,ResNet,P1_isolated_accuracy,All-GPU,0,0.0713,0.1115,0.0123,69.4,67.3,0.5,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
ResNet k=8,ResNet,P2_latency_profiling,All-GPU,0,0.0713,0.1115,0.0123,69.4,67.3,0.5,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
ResNet k=8,ResNet,P3_util_theta70,All-GPU,0,0.0713,0.1115,0.0123,69.4,67.3,0.5,False,GPU util 69.4% <= theta 70% -> stay All-GPU
ResNet k=8,ResNet,P3_util_theta80,All-GPU,0,0.0713,0.1115,0.0123,69.4,67.3,0.5,False,GPU util 69.4% <= theta 80% -> stay All-GPU
ResNet k=8,ResNet,P3_util_theta90,All-GPU,0,0.0713,0.1115,0.0123,69.4,67.3,0.5,False,GPU util 69.4% <= theta 90% -> stay All-GPU
ResNet k=8,ResNet,P4_deadline_miss_aware,All-NPU,4,0.0836,0.1261,0.0,69.4,67.3,0.5,True,GPU DM 67.3% > crossover 48% -> All-NPU
ResNet k=8,ResNet,Oracle,All-NPU,4,0.0836,0.1261,0.0,69.4,67.3,0.5,,post-hoc best over placement family
L2LM,L2LM,P1_isolated_accuracy,All-GPU,0,0.0618,0.1,0.0008,49.5,83.0,76.0,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
L2LM,L2LM,P2_latency_profiling,All-GPU,0,0.0618,0.1,0.0008,49.5,83.0,76.0,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
L2LM,L2LM,P3_util_theta70,All-GPU,0,0.0618,0.1,0.0008,49.5,83.0,76.0,False,GPU util 49.5% <= theta 70% -> stay All-GPU
L2LM,L2LM,P3_util_theta80,All-GPU,0,0.0618,0.1,0.0008,49.5,83.0,76.0,False,GPU util 49.5% <= theta 80% -> stay All-GPU
L2LM,L2LM,P3_util_theta90,All-GPU,0,0.0618,0.1,0.0008,49.5,83.0,76.0,False,GPU util 49.5% <= theta 90% -> stay All-GPU
L2LM,L2LM,P4_deadline_miss_aware,All-NPU,4,0.0422,0.0876,0.0204,49.5,83.0,76.0,True,GPU DM 83.0% > crossover 48% -> All-NPU
L2LM,L2LM,Oracle,mixed/best,,0.0626,0.0986,0.0,49.5,83.0,76.0,,post-hoc best over placement family
L3VLM,L3VLM,P1_isolated_accuracy,All-GPU,0,0.0159,0.0468,0.0675,100.0,100.0,1.0,False,isolated sAP GPU=0.196 vs NPU=0.186 -> all-GPU
L3VLM,L3VLM,P2_latency_profiling,All-GPU,0,0.0159,0.0468,0.0675,100.0,100.0,1.0,False,isolated latency GPU=8.3ms vs NPU=10.0ms (budget 33.3ms) -> all-GPU
L3VLM,L3VLM,P3_util_theta70,All-NPU,4,0.0833,0.126,0.0001,100.0,100.0,1.0,True,GPU util 100.0% > theta 70% -> migrate all
L3VLM,L3VLM,P3_util_theta80,All-NPU,4,0.0833,0.126,0.0001,100.0,100.0,1.0,True,GPU util 100.0% > theta 80% -> migrate all
L3VLM,L3VLM,P3_util_theta90,All-NPU,4,0.0833,0.126,0.0001,100.0,100.0,1.0,True,GPU util 100.0% > theta 90% -> migrate all
L3VLM,L3VLM,P4_deadline_miss_aware,All-NPU,4,0.0833,0.126,0.0001,100.0,100.0,1.0,True,GPU DM 100.0% > crossover 48% -> All-NPU
L3VLM,L3VLM,Oracle,mixed/best,,0.0834,0.1197,0.0,100.0,100.0,1.0,,post-hoc best over placement family
