size,delta_frames,delta_ms,n_pairs,mean_iou,median_iou,frac_iou_lt_0.5,mean_center_disp_px
small,1,33.3,91444,0.8265,0.8796,0.0626,2.0
small,2,66.7,90710,0.7308,0.7895,0.161,3.82
small,3,100.0,90051,0.6601,0.7143,0.2584,5.57
small,4,133.3,89427,0.6049,0.6486,0.3446,7.27
small,5,166.7,88831,0.5608,0.5909,0.4093,8.91
medium,1,33.3,96053,0.8672,0.9251,0.0468,3.53
medium,2,66.7,95329,0.7842,0.8665,0.1282,6.79
medium,3,100.0,94618,0.7237,0.8147,0.1939,9.95
medium,4,133.3,93942,0.6771,0.7687,0.2491,13.04
medium,5,166.7,93279,0.6396,0.7267,0.2927,16.06
large,1,33.3,51385,0.9204,0.9456,0.009,7.1
large,2,66.7,51041,0.8608,0.8976,0.0347,13.74
large,3,100.0,50637,0.8116,0.8524,0.0709,20.17
large,4,133.3,50179,0.7702,0.8109,0.1071,26.42
large,5,166.7,49710,0.7344,0.7726,0.1495,32.52
