directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_256,34.28,311.0,8.59
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_127,28.05,387.0,6.650000000000002
results,performance_20260126_171630_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.json,combination_67,25.69,165.0,combination_238,31.83,209.0,6.139999999999997
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_512,27.5,491.0,5.73
results,performance_20260127_091800_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x2.json,combination_82,23.18,347.0,combination_128,28.76,520.0,5.580000000000002
results,performance_20260127_075412_model_schedules_g_m.json,combination_1,119.23,146.0,combination_4,124.79,177.0,5.560000000000002
results,performance_20260127_114230_model_schedules_r_t_v_y_x3.json,combination_13,19.24,536.0,combination_11,24.58,572.0,5.34
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_32,27.66,512.0,4.75
results,performance_20260127_082052_model_schedules_mnasnet_x3.json,combination_1,147.0,18.0,combination_2,151.75,59.0,4.75
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_127,26.34,404.0,4.669999999999998
results,performance_20260127_020757_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.json,combination_394,21.77,281.0,combination_432,26.41,483.0,4.640000000000001
results,performance_20260126_181331_model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x4.json,combination_243,29.78,186.0,combination_256,34.34,215.0,4.560000000000002
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_128,25.96,564.0,4.560000000000002
results,performance_20260127_082024_model_schedules_mnasnet_x2.json,combination_1,142.59,18.0,combination_2,147.14,72.0,4.549999999999983
results,performance_20260127_064106_model_schedules_g_m_resnet50_resnext50_s_t.json,combination_2,22.91,386.0,combination_64,27.44,535.0,4.530000000000001
results,performance_20260127_094657_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.json,combination_73,21.4,342.0,combination_119,25.76,572.0,4.360000000000003
results,performance_20260127_104457_model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.json,combination_86,21.67,343.0,combination_128,25.97,524.0,4.299999999999997
