alpha,xgboost_model_name_fixed,avg_score_ge3_fixed,top1_acc_ge3_fixed,top5_acc_ge3_fixed,xgboost_model_name_trained,avg_score_ge3_trained,top1_acc_ge3_trained,top5_acc_ge3_trained
0.1,xgb_model_x3_double,0.96,0.6667,0.8889,xgb_model_x3_score_alpha0.1,0.96,0.6667,0.8889
0.2,xgb_model_x3_double,0.95,0.6667,0.8889,xgb_model_x3_score_alpha0.2,0.95,0.6667,0.8889
0.3,xgb_model_x3_double,0.95,0.7222,0.9444,xgb_model_x3_score_alpha0.3,0.95,0.7222,0.9444
0.4,xgb_model_x3_double,0.95,0.7222,0.9444,xgb_model_x3_score_alpha0.4,0.94,0.7222,0.9444
0.5,xgb_model_x3_double,0.94,0.7222,0.9444,xgb_model_x3_score_alpha0.5,0.94,0.7222,0.9444
0.6,xgb_model_x3_double,0.94,0.7222,0.9444,xgb_model_x3_score_alpha0.6,0.94,0.7222,0.9444
0.7,xgb_model_x3_double,0.94,0.7222,0.9444,xgb_model_x3_score_alpha0.7,0.94,0.7222,0.8333
0.8,xgb_model_x3_double,0.94,0.7222,0.9444,xgb_model_x3_score_alpha0.8,0.94,0.7222,0.8333
0.9,xgb_model_x3_double,0.93,0.7222,0.9444,xgb_model_x3_score_alpha0.9,0.93,0.7222,0.8333
1.0,xgb_model_x3_double,0.93,0.7222,0.9444,xgb_model_x3_score_alpha1.0,0.93,0.7222,0.8333
