Average (>= 8 models),,1.0,0.4,0.92
Average (>= 7 models),,1.0,0.41,0.92
Average (>= 6 models),,1.0,0.49,0.9
Average (>= 5 models),,1.0,0.63,0.87
Average (>= 4 models),,1.0,0.69,0.86
Average (>= 3 models),,1.0,0.73,0.85
Average,,0.99,0.59,0.88
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,combination_61,1.0,0.33,0.93
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,combination_254,1.0,0.46,0.91
model_schedules_g_m_r_r_s_s_t_x3.yaml,combination_54,1.0,0.45,0.91
model_schedules_g_m_r_r_s_t_x3.yaml,combination_48,1.0,0.73,0.85
model_schedules_g_m_r_r_t_x3.yaml,combination_1,1.0,0.84,0.83
model_schedules_g_m_r_t_x3.yaml,combination_5,1.0,0.97,0.81
model_schedules_g_m_t_x3.yaml,combination_6,1.0,0.86,0.83
model_schedules_g_m_x3.yaml,combination_1,0.99,0.9,0.81
model_schedules_g_r_y_x3.yaml,combination_8,1.0,0.78,0.84
model_schedules_g_t_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_g_x3.yaml,combination_2,1.0,0.0,1.0
model_schedules_m_r_r_s_s_x3.yaml,combination_15,0.97,0.71,0.83
model_schedules_m_r_r_t_y_x3.yaml,combination_14,1.0,0.8,0.84
model_schedules_m_r_r_v_y_x3.yaml,combination_8,1.0,0.72,0.86
model_schedules_m_r_r_x3.yaml,combination_7,1.0,0.96,0.81
model_schedules_m_r_t_y_x3.yaml,combination_4,1.0,0.79,0.84
model_schedules_m_x3.yaml,combination_1,1.0,1.0,0.8
model_schedules_r_t_v_y_x3.yaml,combination_6,1.0,0.84,0.83
model_schedules_t_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_v_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_y_x3.yaml,combination_2,1.0,0.99,0.8
model_schedules_resnet_x3.yaml,combination_2,0.92,0.41,0.84
model_schedules_shufflenet_x3.yaml,combination_1,1.0,0.0,1.0
