Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.95,0.08,0.93
Average (>= 3 models),,0.99,0.64,0.86
Average,,1.0,0.54,0.89
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,combination_4,1.0,0.0,1.0
model_schedules_rbrsyb_3x.yaml,combination_10,1.0,0.9,0.82
model_schedules_rbrsybys_3x.yaml,combination_9,0.95,0.08,0.93
model_schedules_rbybys_3x.yaml,combination_5,1.0,0.8,0.84
model_schedules_rs_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,combination_5,1.0,0.79,0.84
model_schedules_rsybys_3x.yaml,combination_9,1.0,0.77,0.85
model_schedules_yb_3x.yaml,combination_3,1.0,0.91,0.82
model_schedules_ybys_3x.yaml,combination_5,1.0,0.76,0.85
model_schedules_ys_3x.yaml,combination_2,1.0,0.91,0.82
