Top-1 Accuracy,0.3043
Top-5 Accuracy,0.5217
Top-1 Accuracy (>= 3 models),0.1429
Top-5 Accuracy (>= 3 models),0.2143
Average (>= 8 models),,0.68,0.57,0.56
Average (>= 7 models),,0.76,0.65,0.63
Average (>= 6 models),,0.8,0.65,0.67
Average (>= 5 models),,0.85,0.74,0.7
Average (>= 4 models),,0.87,0.81,0.71
Average (>= 3 models),,0.89,0.83,0.72
Average,,0.92,0.65,0.79
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,<font color='red'>combination_129</font> (Actual: <font color='blue'>combination_61</font>),0.69,0.46,0.598
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_254</font>),0.67,0.69,0.532
model_schedules_g_m_r_r_s_s_t_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_54</font>),0.93,0.79,0.772
model_schedules_g_m_r_r_s_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_48</font>),0.92,0.65,0.79
model_schedules_g_m_r_r_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.84,0.832
model_schedules_g_m_r_t_x3.yaml,<font color='purple'>combination_5</font>,1.0,0.97,0.806
model_schedules_g_m_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_6</font>),0.93,0.85,0.76
model_schedules_g_m_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_3</font>),0.99,0.9,0.81
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_8</font>),0.95,0.99,0.752
model_schedules_g_t_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_1</font>),0.96,0.0,0.96
model_schedules_g_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.98,0.0,0.98
model_schedules_m_r_r_s_s_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_15</font>),1.0,1.0,0.8
model_schedules_m_r_r_t_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_14</font>),0.69,0.9,0.51
model_schedules_m_r_r_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_8</font>),0.93,0.62,0.806
model_schedules_m_r_r_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_7</font>),0.96,0.89,0.782
model_schedules_m_r_t_y_x3.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_4</font>),0.85,1.0,0.65
model_schedules_m_x3.yaml,<font color='purple'>combination_1</font>,1.0,1.0,0.8
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_13</font> (Actual: <font color='blue'>combination_6</font>),0.93,0.99,0.732
model_schedules_resnet_x3.yaml,<font color='purple'>combination_2</font>,0.92,0.41,0.838
model_schedules_shufflenet_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_v_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.94,1.0,0.74
