Top-1 Accuracy,0.2603
Top-5 Accuracy,0.2603
Top-1 Accuracy (>= 3 models),0.1228
Top-5 Accuracy (>= 3 models),0.1228
Average (>= 8 models),,0.76,0.53,0.65
Average (>= 7 models),,0.76,0.6,0.64
Average (>= 6 models),,0.79,0.61,0.66
Average (>= 5 models),,0.8,0.63,0.67
Average (>= 4 models),,0.82,0.69,0.68
Average (>= 3 models),,0.85,0.74,0.7
Average,,2.64,1.93,2.25
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.yaml,<font color='red'>combination_306</font> (Actual: <font color='blue'>combination_512</font>),0.69,0.49,0.59
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x4.yaml,<font color='red'>combination_153</font> (Actual: <font color='blue'>combination_256</font>),0.81,0.51,0.71
model_schedules_g_m_x3.yaml,<font color='purple'>combination_3</font>,1.0,0.48,0.9
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.yaml,<font color='red'>combination_306</font> (Actual: <font color='blue'>combination_255</font>),0.83,0.44,0.74
model_schedules_m_r_t_y_x4.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_9</font>),0.91,0.74,0.76
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x2.yaml,<font color='red'>combination_34</font> (Actual: <font color='blue'>combination_128</font>),0.69,0.6,0.57
model_schedules_r_t_v_y_x4.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_11</font>),0.94,0.75,0.79
model_schedules_g_r_y_x4.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_7</font>),0.8,0.91,0.62
model_schedules_g_m_resnet50_resnext50_t.yaml,<font color='red'>combination_20</font> (Actual: <font color='blue'>combination_14</font>),0.81,0.79,0.65
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.yaml,<font color='red'>combination_34</font> (Actual: <font color='blue'>combination_127</font>),0.75,0.66,0.62
model_schedules_g_m_resnet50_resnext50_t_x4.yaml,<font color='red'>combination_20</font> (Actual: <font color='blue'>combination_16</font>),0.81,0.73,0.66
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x4.yaml,<font color='red'>combination_34</font> (Actual: <font color='blue'>combination_127</font>),0.72,0.59,0.6
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.yaml,<font color='red'>combination_153</font> (Actual: <font color='blue'>combination_256</font>),0.8,0.59,0.68
model_schedules_g_m_resnet50_resnext50_s_t_x3.yaml,<font color='red'>combination_39</font> (Actual: <font color='blue'>combination_64</font>),0.78,0.78,0.62
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x4.yaml,<font color='red'>combination_306</font> (Actual: <font color='blue'>combination_512</font>),0.7,0.51,0.6
model_schedules_g_m_resnet50_resnext50_s_t_x2.yaml,<font color='red'>combination_39</font> (Actual: <font color='blue'>combination_32</font>),0.81,0.63,0.68
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t.yaml,<font color='red'>combination_77</font> (Actual: <font color='blue'>combination_128</font>),0.72,0.68,0.58
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x2.yaml,<font color='red'>combination_153</font> (Actual: <font color='blue'>combination_247</font>),0.72,0.65,0.59
model_schedules_g_m_resnet50_resnext50_t_x3.yaml,"<font color='red'>combination_20</font> (Actual: <font color='blue'>combination_31</font>, <font color='blue'>combination_32</font>)",0.84,0.57,0.73
model_schedules_r_t_v_y.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_16</font>),0.92,0.96,0.73
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x2.yaml,"<font color='red'>combination_17</font> (Actual: <font color='blue'>combination_48</font>, <font color='blue'>combination_64</font>)",0.86,0.73,0.71
model_schedules_g_m_resnet50_resnext50_s_t.yaml,<font color='red'>combination_39</font> (Actual: <font color='blue'>combination_32</font>),0.91,0.91,0.73
model_schedules_g_m_resnet50_resnext50_t_x2.yaml,<font color='red'>combination_20</font> (Actual: <font color='blue'>combination_30</font>),0.93,0.68,0.79
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.yaml,<font color='red'>combination_34</font> (Actual: <font color='blue'>combination_127</font>),0.8,0.67,0.67
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.yaml,<font color='red'>combination_17</font> (Actual: <font color='blue'>combination_3</font>),0.9,0.49,0.8
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x4.yaml,<font color='red'>combination_17</font> (Actual: <font color='blue'>combination_64</font>),0.84,0.52,0.74
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.yaml,<font color='red'>combination_77</font> (Actual: <font color='blue'>combination_52</font>),0.95,0.58,0.83
model_schedules_vgg19_x2.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x2.yaml,<font color='red'>combination_77</font> (Actual: <font color='blue'>combination_44</font>),0.78,0.53,0.67
model_schedules_g_r_y_x2.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_7</font>),0.84,0.96,0.65
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v.yaml,<font color='red'>combination_17</font> (Actual: <font color='blue'>combination_64</font>),0.82,0.49,0.72
model_schedules_squeezenet1.0-12.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_squeezenet1.0-12_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x4.yaml,<font color='red'>combination_77</font> (Actual: <font color='blue'>combination_122</font>),0.72,0.87,0.55
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_7</font>),0.89,0.94,0.7
model_schedules_r_t_v_y_x2.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_15</font>),0.74,1.0,0.54
model_schedules_m_r_t_y_x2.yaml,"<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_14</font>, <font color='blue'>combination_15</font>)",0.91,0.77,0.76
model_schedules_g_t_y_x2.yaml,<font color='purple'>combination_8</font>,1.0,0.99,0.8
model_schedules_vgg19.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_g_m_t_x3.yaml,<font color='purple'>combination_6</font>,1.0,0.83,0.83
model_schedules_g_m_resnet50_resnext50_s_t_x4.yaml,<font color='red'>combination_39</font> (Actual: <font color='blue'>combination_64</font>),0.74,0.61,0.62
model_schedules_g_m_r_t.yaml,"<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_16</font>, <font color='blue'>combination_7</font>, <font color='blue'>combination_8</font>)",0.9,0.91,0.72
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_15</font>),0.88,0.8,0.72
model_schedules_g_m_t_x4.yaml,<font color='purple'>combination_6</font>,1.0,0.6,0.88
model_schedules_g_m_t.yaml,<font color='purple'>combination_6</font>,1.0,0.67,0.87
model_schedules_g_m_r_x3.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_8</font>),0.86,0.81,0.7
model_schedules_resnet50_x2.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.9,1.0,0.7
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_11</font>),0.8,0.78,0.64
model_schedules_m_r_t_y.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_15</font>),0.82,0.81,0.66
model_schedules_g_m_r_t_x4.yaml,<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_7</font>),0.82,0.79,0.66
model_schedules_m_resnet50_resnext50.yaml,<font color='purple'>combination_3</font>,0.98,0.75,0.83
model_schedules_g_t_y.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_7</font>),0.97,0.91,0.79
model_schedules_g_r_v_x4.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_4</font>),0.77,0.8,0.61
model_schedules_m_resnet50_resnext50_x4.yaml,<font color='red'>combination_3</font> (Actual: <font color='blue'>combination_5</font>),0.89,0.81,0.73
model_schedules_vgg19_x4.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_resnext50_x4.yaml,<font color='purple'>combination_2</font>,1.0,0.02,1.0
model_schedules_g_t_x2.yaml,<font color='purple'>combination_4</font>,1.0,0.0,1.0
