Average (>= 8 models),,0.66,0.56,0.55
Average (>= 7 models),,0.7,0.59,0.58
Average (>= 6 models),,0.76,0.69,0.62
Average (>= 5 models),,0.76,0.76,0.6
Average (>= 4 models),,0.8,0.77,0.64
Average (>= 3 models),,0.83,0.78,0.67
Average,,0.84,0.58,0.72
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,<font color='red'>combination_89</font> (Actual: <font color='blue'>combination_61</font>),0.72,0.54,0.61
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,<font color='red'>combination_177</font> (Actual: <font color='blue'>combination_254</font>),0.61,0.59,0.49
model_schedules_g_m_r_r_s_s_t_x3.yaml,<font color='red'>combination_45</font> (Actual: <font color='blue'>combination_54</font>),0.78,0.63,0.65
model_schedules_g_m_r_r_s_t_x3.yaml,<font color='red'>combination_23</font> (Actual: <font color='blue'>combination_48</font>),0.93,0.99,0.73
model_schedules_g_m_r_r_t_x3.yaml,<font color='red'>combination_12</font> (Actual: <font color='blue'>combination_1</font>),0.78,0.93,0.59
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_6</font> (Actual: <font color='blue'>combination_5</font>),0.91,0.79,0.75
model_schedules_g_m_t_x3.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_6</font>),0.92,1.0,0.72
model_schedules_g_m_x3.yaml,<font color='red'>combination_3</font> (Actual: <font color='blue'>combination_1</font>),0.98,0.83,0.81
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_7</font> (Actual: <font color='blue'>combination_8</font>),0.99,0.79,0.83
model_schedules_g_t_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_1</font>),0.96,0.0,0.96
model_schedules_g_x3.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_m_r_r_s_s_x3.yaml,<font color='red'>combination_21</font> (Actual: <font color='blue'>combination_15</font>),0.82,0.68,0.68
model_schedules_m_r_r_t_y_x3.yaml,<font color='red'>combination_18</font> (Actual: <font color='blue'>combination_14</font>),0.61,1.0,0.41
model_schedules_m_r_r_v_y_x3.yaml,<font color='red'>combination_21</font> (Actual: <font color='blue'>combination_8</font>),0.82,0.71,0.68
model_schedules_m_r_r_x3.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_7</font>),0.9,0.73,0.75
model_schedules_m_r_t_y_x3.yaml,<font color='red'>combination_9</font> (Actual: <font color='blue'>combination_4</font>),0.94,0.78,0.78
model_schedules_m_x3.yaml,<font color='purple'>combination_1</font>,1.0,1.0,0.8
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_6</font>),0.85,0.79,0.69
model_schedules_t_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_v_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.94,1.0,0.74
model_schedules_resnet_x3.yaml,<font color='purple'>combination_2</font>,0.92,0.41,0.84
model_schedules_shufflenet_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
