Top-1 Accuracy,0.3636
Top-5 Accuracy,0.3636
Top-1 Accuracy (>= 3 models),0.0
Top-5 Accuracy (>= 3 models),0.0
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.63,0.05,0.62
Average (>= 3 models),,0.7,0.6,0.57
Average,,0.37,0.24,0.32
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_4</font>),0.31,0.0,0.31
model_schedules_rbrsyb_3x.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_10</font>),0.45,0.8,0.29
model_schedules_rbrsybys_3x.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_9</font>),0.63,0.05,0.62
model_schedules_rbybys_3x.yaml,<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_5</font>),0.92,0.75,0.77
model_schedules_rs_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_5</font>),0.91,0.81,0.75
model_schedules_rsybys_3x.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_9</font>),0.78,0.78,0.62
model_schedules_yb_3x.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_3</font>),0.99,1.0,0.79
model_schedules_ybys_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.76,0.85
model_schedules_ys_3x.yaml,<font color='purple'>combination_2</font>,1.0,0.91,0.82
