Top-1 Accuracy,0.1818
Top-5 Accuracy,0.1818
Top-1 Accuracy (>= 3 models),0.0
Top-5 Accuracy (>= 3 models),0.0
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.27,1.0,0.07
Average (>= 3 models),,0.29,1.0,0.09
Average,,0.2,0.33,0.14
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_4</font>),0.31,0.0,0.31
model_schedules_rbrsyb_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_10</font>),0.31,1.0,0.11
model_schedules_rbrsybys_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_9</font>),0.27,1.0,0.07
model_schedules_rbybys_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_5</font>),0.29,1.0,0.09
model_schedules_rs_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_5</font>),0.38,1.0,0.18
model_schedules_rsybys_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_9</font>),0.28,1.0,0.08
model_schedules_yb_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_3</font>),0.53,0.94,0.34
model_schedules_ybys_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_5</font>),0.18,1.0,-0.02
model_schedules_ys_3x.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),0.33,1.0,0.13
