Top-1 Accuracy,0.9091
Top-5 Accuracy,0.9091
Top-1 Accuracy (>= 3 models),0.75
Top-5 Accuracy (>= 3 models),0.75
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,1.0,0.48,0.9
Average (>= 3 models),,1.0,0.74,0.85
Average,,1.0,0.57,0.89
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,<font color='purple'>combination_4</font>,1.0,0.0,1.0
model_schedules_rbrsyb_3x.yaml,<font color='purple'>combination_10</font>,1.0,0.9,0.82
model_schedules_rbrsybys_3x.yaml,<font color='red'>combination_21</font> (Actual: <font color='blue'>combination_9</font>),1.0,0.48,0.9
model_schedules_rbybys_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.8,0.84
model_schedules_rs_3x.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.79,0.84
model_schedules_rsybys_3x.yaml,<font color='purple'>combination_9</font>,1.0,0.77,0.85
model_schedules_yb_3x.yaml,<font color='purple'>combination_3</font>,1.0,0.91,0.82
model_schedules_ybys_3x.yaml,<font color='purple'>combination_5</font>,1.0,0.76,0.85
model_schedules_ys_3x.yaml,<font color='purple'>combination_2</font>,1.0,0.91,0.82
