Top-1 Accuracy,0.4583
Top-5 Accuracy,0.4583
Top-1 Accuracy (>= 3 models),0.3158
Top-5 Accuracy (>= 3 models),0.3158
Average (>= 8 models),,0.82,0.49,0.73
Average (>= 7 models),,0.85,0.59,0.73
Average (>= 6 models),,0.87,0.64,0.74
Average (>= 5 models),,0.87,0.65,0.74
Average (>= 4 models),,0.89,0.71,0.75
Average (>= 3 models),,0.92,0.73,0.78
Average,,0.94,0.6,0.82
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t.yaml,<font color='red'>combination_86</font> (Actual: <font color='blue'>combination_128</font>),0.84,0.87,0.67
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.yaml,<font color='red'>combination_26</font> (Actual: <font color='blue'>combination_255</font>),0.82,0.46,0.73
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x4.yaml,<font color='red'>combination_37</font> (Actual: <font color='blue'>combination_64</font>),0.83,0.7,0.69
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x2.yaml,<font color='red'>combination_488</font> (Actual: <font color='blue'>combination_256</font>),0.83,0.5,0.73
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x4.yaml,<font color='red'>combination_64</font> (Actual: <font color='blue'>combination_127</font>),0.83,0.61,0.71
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x2.yaml,<font color='red'>combination_236</font> (Actual: <font color='blue'>combination_247</font>),0.85,0.36,0.78
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x4.yaml,<font color='red'>combination_80</font> (Actual: <font color='blue'>combination_122</font>),0.97,0.75,0.82
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_11</font>),0.91,0.77,0.76
model_schedules_g_m_resnet50_resnext50_t_x4.yaml,<font color='red'>combination_32</font> (Actual: <font color='blue'>combination_16</font>),1.0,0.85,0.83
model_schedules_m_r_t_y.yaml,<font color='red'>combination_10</font> (Actual: <font color='blue'>combination_15</font>),0.84,0.83,0.67
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y.yaml,<font color='red'>combination_292</font> (Actual: <font color='blue'>combination_512</font>),0.79,0.48,0.69
model_schedules_r_t_v_y_x2.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_15</font>),0.87,0.99,0.67
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x4.yaml,<font color='red'>combination_24</font> (Actual: <font color='blue'>combination_256</font>),0.82,0.39,0.74
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.yaml,<font color='red'>combination_120</font> (Actual: <font color='blue'>combination_52</font>),0.93,0.5,0.83
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v.yaml,<font color='red'>combination_248</font> (Actual: <font color='blue'>combination_120</font>),0.93,0.82,0.77
model_schedules_tiny-llama-chat-onnx_x2.yaml,<font color='purple'>combination_2</font>,1.0,0.0,1.0
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x4.yaml,<font color='red'>combination_370</font> (Actual: <font color='blue'>combination_512</font>),0.81,0.51,0.71
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.yaml,<font color='red'>combination_84</font> (Actual: <font color='blue'>combination_127</font>),0.77,0.67,0.64
model_schedules_vgg19_x3.yaml,<font color='purple'>combination_1</font>,1.0,0.0,1.0
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.yaml,<font color='red'>combination_69</font> (Actual: <font color='blue'>combination_256</font>),0.74,0.42,0.66
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x2.yaml,<font color='red'>combination_49</font> (Actual: <font color='blue'>combination_128</font>),0.81,0.76,0.66
model_schedules_g_m_resnet50_resnext50_t_x3.yaml,"<font color='red'>combination_27</font> (Actual: <font color='blue'>combination_31</font>, <font color='blue'>combination_32</font>)",0.84,0.61,0.72
model_schedules_g_m_resnet50_resnext50_s_t_x3.yaml,<font color='red'>combination_22</font> (Actual: <font color='blue'>combination_64</font>),0.81,0.6,0.69
model_schedules_g_m_resnet50_resnext50_s_t_x2.yaml,<font color='red'>combination_55</font> (Actual: <font color='blue'>combination_32</font>),0.9,0.71,0.76
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y.yaml,<font color='red'>combination_63</font> (Actual: <font color='blue'>combination_127</font>),0.98,0.74,0.83
model_schedules_g_m_r_x2.yaml,<font color='purple'>combination_4</font>,1.0,0.82,0.84
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v.yaml,<font color='red'>combination_32</font> (Actual: <font color='blue'>combination_64</font>),0.88,0.8,0.72
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x2.yaml,"<font color='red'>combination_40</font> (Actual: <font color='blue'>combination_48</font>, <font color='blue'>combination_64</font>)",0.92,0.56,0.81
model_schedules_g_r_y_x3.yaml,<font color='purple'>combination_7</font>,1.0,0.82,0.84
model_schedules_mnasnet_x4.yaml,<font color='purple'>combination_1</font>,1.0,0.33,0.93
model_schedules_g_r_v_x4.yaml,<font color='purple'>combination_4</font>,1.0,0.75,0.85
model_schedules_g_m_resnet50_resnext50_s_t.yaml,<font color='red'>combination_46</font> (Actual: <font color='blue'>combination_32</font>),0.93,0.92,0.75
model_schedules_g_r_v.yaml,<font color='purple'>combination_8</font>,1.0,0.24,0.95
