Average (>= 8 models),,0.68,0.44,0.6
Average (>= 7 models),,0.73,0.5,0.64
Average (>= 6 models),,0.77,0.62,0.66
Average (>= 5 models),,0.83,0.7,0.69
Average (>= 4 models),,0.86,0.72,0.72
Average (>= 3 models),,0.88,0.75,0.73
Average,,0.88,0.75,0.73
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,combination_152,0.69,0.47,0.6
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,combination_116,0.67,0.42,0.59
model_schedules_g_m_r_r_s_s_t_x3.yaml,combination_85,0.84,0.61,0.72
model_schedules_g_m_r_r_s_t_x3.yaml,combination_9,0.9,0.96,0.71
model_schedules_g_m_r_r_t_x3.yaml,combination_9,0.92,0.83,0.75
model_schedules_g_m_r_t_x3.yaml,combination_6,0.91,0.79,0.75
model_schedules_g_m_t_x3.yaml,combination_2,0.94,0.87,0.77
model_schedules_g_m_x3.yaml,-,-,-,-
model_schedules_g_r_y_x3.yaml,combination_7,0.99,0.79,0.83
model_schedules_g_t_x3.yaml,-,-,-,-
model_schedules_g_x3.yaml,-,-,-,-
model_schedules_m_r_r_s_s_x3.yaml,combination_12,0.92,0.71,0.78
model_schedules_m_r_r_t_y_x3.yaml,combination_7,0.69,0.84,0.52
model_schedules_m_r_r_v_y_x3.yaml,combination_8,1.0,0.72,0.86
model_schedules_m_r_r_x3.yaml,combination_2,0.96,0.89,0.78
model_schedules_m_r_t_y_x3.yaml,combination_4,1.0,0.79,0.84
model_schedules_m_x3.yaml,-,-,-,-
model_schedules_r_t_v_y_x3.yaml,combination_8,0.93,0.79,0.77
model_schedules_t_x3.yaml,-,-,-,-
model_schedules_v_x3.yaml,-,-,-,-
model_schedules_y_x3.yaml,-,-,-,-
model_schedules_resnet_x3.yaml,-,-,-,-
model_schedules_shufflenet_x3.yaml,-,-,-,-
