Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.93,0.91,0.75
Average (>= 3 models),,0.98,0.86,0.8
Average,,0.95,0.63,0.83
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,combination_4,1.0,0.0,1.0
model_schedules_rbrsyb_3x.yaml,combination_13,0.97,0.9,0.79
model_schedules_rbrsybys_3x.yaml,combination_10,0.93,0.91,0.75
model_schedules_rbybys_3x.yaml,combination_5,1.0,0.8,0.84
model_schedules_rs_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,combination_7,0.97,0.81,0.81
model_schedules_rsybys_3x.yaml,combination_12,1.0,0.82,0.84
model_schedules_yb_3x.yaml,combination_3,1.0,0.91,0.82
model_schedules_ybys_3x.yaml,combination_3,0.62,0.87,0.45
model_schedules_ys_3x.yaml,combination_2,1.0,0.91,0.82
