Average (>= 8 models),,0.68,0.62,0.55
Average (>= 7 models),,0.73,0.66,0.6
Average (>= 6 models),,0.78,0.66,0.64
Average (>= 5 models),,0.8,0.75,0.65
Average (>= 4 models),,0.82,0.79,0.66
Average (>= 3 models),,0.84,0.83,0.68
Average,,0.9,0.67,0.77
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,combination_5,0.72,0.59,0.6
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,combination_5,0.64,0.65,0.51
model_schedules_g_m_r_r_s_s_t_x3.yaml,combination_1,0.83,0.75,0.68
model_schedules_g_m_r_r_s_t_x3.yaml,combination_1,0.92,0.65,0.79
model_schedules_g_m_r_r_t_x3.yaml,combination_4,0.84,0.71,0.7
model_schedules_g_m_r_t_x3.yaml,combination_9,0.82,0.83,0.65
model_schedules_g_m_t_x3.yaml,combination_1,0.93,0.85,0.76
model_schedules_g_m_x3.yaml,combination_1,0.99,0.9,0.81
model_schedules_g_r_y_x3.yaml,combination_4,0.95,0.99,0.75
model_schedules_g_t_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_g_x3.yaml,combination_2,1.0,0.0,1.0
model_schedules_m_r_r_s_s_x3.yaml,combination_1,1.0,1.0,0.8
model_schedules_m_r_r_t_y_x3.yaml,combination_1,0.69,0.9,0.51
model_schedules_m_r_r_v_y_x3.yaml,combination_11,0.77,0.75,0.62
model_schedules_m_r_r_x3.yaml,combination_3,0.88,1.0,0.68
model_schedules_m_r_t_y_x3.yaml,combination_2,0.96,1.0,0.76
model_schedules_m_x3.yaml,combination_1,1.0,1.0,0.8
model_schedules_r_t_v_y_x3.yaml,combination_11,0.87,0.91,0.69
model_schedules_t_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_v_x3.yaml,combination_1,1.0,0.0,1.0
model_schedules_y_x3.yaml,combination_1,0.94,1.0,0.74
model_schedules_resnet_x3.yaml,combination_1,1.0,1.0,0.8
model_schedules_shufflenet_x3.yaml,combination_1,1.0,0.0,1.0
