Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Average (>= 4 models),,0.99,0.84,0.82
Average (>= 3 models),,0.93,0.81,0.77
Average,,0.91,0.63,0.78
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rbrs_3x.yaml,combination_2,0.86,0.0,0.86
model_schedules_rbrsyb_3x.yaml,combination_5,0.9,0.77,0.75
model_schedules_rbrsybys_3x.yaml,combination_17,0.99,0.84,0.82
model_schedules_rbybys_3x.yaml,combination_10,0.92,0.75,0.77
model_schedules_rs_3x.yaml,combination_1,1.0,0.0,1.0
model_schedules_rsyb_3x.yaml,combination_2,0.76,0.95,0.57
model_schedules_rsybys_3x.yaml,combination_10,0.91,0.87,0.74
model_schedules_yb_3x.yaml,combination_2,0.99,1.0,0.79
model_schedules_ybys_3x.yaml,combination_2,0.66,0.85,0.49
model_schedules_ys_3x.yaml,combination_2,1.0,0.91,0.82
