Top-1 Accuracy,0.5882
Top-5 Accuracy,1.0
Top-1 Accuracy (>= 3 models),0.6667
Top-5 Accuracy (>= 3 models),1.0
Actual Best Average,,0.99,0.53,0.88
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Actual Best Average (>= 4 models),,0.94,0.1,0.92
Average (>= 4 models),,nan,nan,0.73
Actual Best Average (>= 3 models),,0.99,0.62,0.86
Average (>= 3 models),,nan,nan,0.77
Average,,nan,nan,0.77
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rbrsyb_2x.yaml,"<font color='purple'>combination_10</font>, <font color='red'>combination_13</font>",-,-,0.81
model_schedules_rbrs.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_4</font>)",-,-,0.98
model_schedules_rbrsybys_3x.yaml,"<font color='red'>combination_17</font>, <font color='red'>combination_21</font> (Actual: <font color='blue'>combination_9</font>)",-,-,0.82
model_schedules_rbrsybys_4x.yaml,"<font color='red'>combination_17</font>, <font color='red'>combination_21</font> (Actual: <font color='blue'>combination_9</font>)",-,-,0.84
model_schedules_ys_3x.yaml,"<font color='purple'>combination_2</font>, <font color='red'>combination_3</font>",-,-,0.82
model_schedules_rbrs_4x.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_2</font>)",-,-,0.86
model_schedules_rsybys_4x.yaml,"<font color='red'>combination_10</font>, <font color='red'>combination_12</font>, <font color='red'>combination_13</font>, <font color='purple'>combination_9</font>",-,-,0.83
model_schedules_rbybys.yaml,"<font color='red'>combination_12</font>, <font color='red'>combination_5</font>, <font color='red'>combination_7</font>, <font color='red'>combination_9</font> (Actual: <font color='blue'>combination_10</font>)",-,-,0.75
model_schedules_rbybys_3x.yaml,"<font color='red'>combination_12</font>, <font color='purple'>combination_5</font>, <font color='red'>combination_7</font>, <font color='red'>combination_9</font>",-,-,0.79
model_schedules_ybys_3x.yaml,"<font color='red'>combination_2</font>, <font color='red'>combination_3</font>, <font color='red'>combination_4</font>, <font color='red'>combination_6</font> (Actual: <font color='blue'>combination_5</font>)",-,-,0.49
model_schedules_yb_3x.yaml,"<font color='red'>combination_2</font>, <font color='purple'>combination_3</font>",-,-,0.79
model_schedules_rb_3x.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_ys_2x.yaml,"<font color='purple'>combination_2</font>, <font color='red'>combination_3</font>",-,-,0.81
model_schedules_rsybys.yaml,"<font color='red'>combination_10</font>, <font color='red'>combination_12</font>, <font color='red'>combination_13</font>, <font color='purple'>combination_9</font>",-,-,0.77
model_schedules_rbrsyb_4x.yaml,"<font color='purple'>combination_10</font>, <font color='purple'>combination_13</font>",-,-,0.81
model_schedules_rsybys_3x.yaml,"<font color='red'>combination_10</font>, <font color='red'>combination_12</font>, <font color='red'>combination_13</font>, <font color='purple'>combination_9</font>",-,-,0.74
model_schedules_rsyb_3x.yaml,"<font color='red'>combination_2</font>, <font color='red'>combination_3</font> (Actual: <font color='blue'>combination_5</font>)",-,-,0.57
model_schedules_rs_2x.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_rbybys_2x.yaml,"<font color='red'>combination_12</font>, <font color='red'>combination_5</font>, <font color='purple'>combination_7</font>, <font color='red'>combination_9</font>",-,-,0.72
model_schedules_rbrs_2x.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_2</font>)",-,-,0.44
model_schedules_rbrsyb_3x.yaml,"<font color='purple'>combination_10</font>, <font color='red'>combination_13</font>",-,-,0.82
model_schedules_rbrsyb.yaml,"<font color='purple'>combination_10</font>, <font color='red'>combination_13</font>",-,-,0.82
model_schedules_rbrsybys_2x.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_9</font>)",-,-,0.63
model_schedules_ys.yaml,"<font color='red'>combination_2</font>, <font color='purple'>combination_3</font>",-,-,0.8
model_schedules_rsyb.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_6</font>)",-,-,0.78
model_schedules_rs_4x.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_rbybys_4x.yaml,"<font color='red'>combination_12</font>, <font color='red'>combination_5</font>, <font color='purple'>combination_7</font>, <font color='red'>combination_9</font>",-,-,0.73
model_schedules_rbrsybys.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_9</font>)",-,-,0.63
model_schedules_ybys.yaml,"<font color='red'>combination_2</font>, <font color='red'>combination_3</font>, <font color='red'>combination_4</font>, <font color='red'>combination_6</font> (Actual: <font color='blue'>combination_7</font>)",-,-,0.49
model_schedules_rsyb_4x.yaml,"<font color='red'>combination_2</font>, <font color='red'>combination_3</font> (Actual: <font color='blue'>combination_5</font>)",-,-,0.56
model_schedules_yb_2x.yaml,"<font color='purple'>combination_2</font>, <font color='red'>combination_3</font>",-,-,0.82
model_schedules_yb.yaml,"<font color='purple'>combination_2</font>, <font color='red'>combination_3</font>",-,-,0.86
model_schedules_rs.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_ybys_2x.yaml,"<font color='red'>combination_2</font>, <font color='red'>combination_3</font>, <font color='red'>combination_4</font>, <font color='red'>combination_6</font> (Actual: <font color='blue'>combination_7</font>)",-,-,0.46
