Top-1 Accuracy,0.8182
Top-5 Accuracy,1.0
Top-1 Accuracy (>= 3 models),0.75
Top-5 Accuracy (>= 3 models),1.0
Actual Best Average,,1.0,0.54,0.89
Average (>= 8 models),,nan,nan,nan
Average (>= 7 models),,nan,nan,nan
Average (>= 6 models),,nan,nan,nan
Average (>= 5 models),,nan,nan,nan
Actual Best Average (>= 4 models),,0.95,0.08,0.93
Average (>= 4 models),,nan,nan,0.62
Actual Best Average (>= 3 models),,0.99,0.64,0.86
Average (>= 3 models),,nan,nan,0.74
Average,,nan,nan,0.84
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_rb_3x.yaml,"<font color='purple'>combination_1</font>, <font color='red'>combination_2</font>, <font color='red'>combination_3</font>",-,-,1.0
model_schedules_rbrs_3x.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_4</font>)",-,-,0.93
model_schedules_rbrsyb_3x.yaml,"<font color='purple'>combination_10</font>, <font color='red'>combination_13</font>",-,-,0.82
model_schedules_rbrsybys_3x.yaml,"<font color='red'>combination_5</font>, <font color='red'>combination_7</font> (Actual: <font color='blue'>combination_9</font>)",-,-,0.62
model_schedules_rbybys_3x.yaml,"<font color='red'>combination_12</font>, <font color='purple'>combination_5</font>, <font color='red'>combination_7</font>, <font color='red'>combination_9</font>",-,-,0.79
model_schedules_rs_3x.yaml,"<font color='purple'>combination_1</font>, <font color='red'>combination_2</font>, <font color='red'>combination_3</font>",-,-,1.0
model_schedules_rsyb_3x.yaml,"<font color='purple'>combination_5</font>, <font color='red'>combination_7</font>",-,-,0.84
model_schedules_rsybys_3x.yaml,"<font color='red'>combination_10</font>, <font color='red'>combination_12</font>, <font color='red'>combination_13</font>, <font color='purple'>combination_9</font>",-,-,0.74
model_schedules_yb_3x.yaml,"<font color='red'>combination_2</font>, <font color='purple'>combination_3</font>",-,-,0.79
model_schedules_ybys_3x.yaml,"<font color='purple'>combination_5</font>, <font color='red'>combination_7</font>",-,-,0.85
model_schedules_ys_3x.yaml,"<font color='purple'>combination_2</font>, <font color='red'>combination_3</font>",-,-,0.82
