Top-1 Accuracy,0.3913
Top-5 Accuracy,0.6087
Top-1 Accuracy (>= 3 models),0.0714
Top-5 Accuracy (>= 3 models),0.3571
Average (>= 8 models),,nan,nan,0.55
Average (>= 7 models),,nan,nan,0.62
Average (>= 6 models),,nan,nan,0.66
Average (>= 5 models),,nan,nan,0.7
Average (>= 4 models),,nan,nan,0.69
Average (>= 3 models),,nan,nan,0.69
Average,,nan,nan,0.78
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_r_r_s_s_t_v_x3.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_61</font>),-,-,0.6
model_schedules_g_m_r_r_s_s_t_v_y_x3.yaml,<font color='red'>combination_312</font> (Actual: <font color='blue'>combination_254</font>),-,-,0.5
model_schedules_g_m_r_r_s_s_t_x3.yaml,<font color='red'>combination_3</font> (Actual: <font color='blue'>combination_54</font>),-,-,0.77
model_schedules_g_m_r_r_s_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_48</font>),-,-,0.79
model_schedules_g_m_r_r_t_x3.yaml,<font color='purple'>combination_1</font>,-,-,0.83
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_3</font> (Actual: <font color='blue'>combination_5</font>),-,-,0.61
model_schedules_g_m_t_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_6</font>),-,-,0.76
model_schedules_g_m_x3.yaml,<font color='purple'>combination_1</font>,-,-,0.81
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_4</font> (Actual: <font color='blue'>combination_8</font>),-,-,0.75
model_schedules_g_t_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_g_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),-,-,0.98
model_schedules_m_r_r_s_s_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_15</font>),-,-,0.8
model_schedules_m_r_r_t_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_14</font>),-,-,0.51
model_schedules_m_r_r_v_y_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_8</font>),-,-,0.81
model_schedules_m_r_r_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_7</font>),-,-,0.58
model_schedules_m_r_t_y_x3.yaml,<font color='red'>combination_5</font> (Actual: <font color='blue'>combination_4</font>),-,-,0.65
model_schedules_m_x3.yaml,<font color='purple'>combination_1</font>,-,-,0.8
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_15</font> (Actual: <font color='blue'>combination_6</font>),-,-,0.74
model_schedules_t_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_v_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_y_x3.yaml,<font color='purple'>combination_2</font>,-,-,0.8
model_schedules_resnet_x3.yaml,<font color='purple'>combination_2</font>,-,-,0.84
model_schedules_shufflenet_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
