Top-1 Accuracy,0.5556
Top-5 Accuracy,0.8519
Top-1 Accuracy (>= 3 models),0.4375
Top-5 Accuracy (>= 3 models),0.75
Actual Best Average,,1.0,0.5,0.89
Actual Best Average (>= 8 models),,1.0,0.54,0.89
Average (>= 8 models),,nan,nan,0.88
Actual Best Average (>= 7 models),,1.0,0.57,0.88
Average (>= 7 models),,nan,nan,0.82
Actual Best Average (>= 6 models),,1.0,0.61,0.87
Average (>= 6 models),,nan,nan,0.82
Actual Best Average (>= 5 models),,0.99,0.62,0.87
Average (>= 5 models),,nan,nan,0.82
Actual Best Average (>= 4 models),,0.99,0.68,0.85
Average (>= 4 models),,nan,nan,0.81
Actual Best Average (>= 3 models),,0.99,0.73,0.85
Average (>= 3 models),,nan,nan,0.8
Average,,nan,nan,0.86
schedule_file,best_combination,normalized_throughput,drop_rate,score
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_x3.yaml,<font color='purple'>combination_256</font>,-,-,0.88
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_v_y_x3.yaml,<font color='red'>combination_512</font> (Actual: <font color='blue'>combination_255</font>),-,-,0.88
model_schedules_g_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_t_x3.yaml,<font color='red'>combination_128</font> (Actual: <font color='blue'>combination_52</font>),-,-,0.77
model_schedules_g_m_resnet50_resnext50_s_t_x3.yaml,<font color='purple'>combination_64</font>,-,-,0.84
model_schedules_g_m_resnet50_resnext50_t_x3.yaml,<font color='purple'>combination_32</font>,-,-,0.82
model_schedules_g_m_r_t_x3.yaml,<font color='red'>combination_16</font> (Actual: <font color='blue'>combination_15</font>),-,-,0.8
model_schedules_g_m_r_x3.yaml,<font color='purple'>combination_8</font>,-,-,0.83
model_schedules_g_m_t_x3.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_6</font>),-,-,0.8
model_schedules_g_m_x3.yaml,<font color='purple'>combination_3</font>,-,-,0.9
model_schedules_gpt2_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),-,-,0.97
model_schedules_g_r_v_x3.yaml,<font color='purple'>combination_8</font>,-,-,0.87
model_schedules_g_r_y_x3.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_7</font>),-,-,0.65
model_schedules_g_t_x3.yaml,<font color='purple'>combination_3</font>,-,-,1.0
model_schedules_g_t_y_x3.yaml,<font color='purple'>combination_8</font>,-,-,0.8
model_schedules_mnasnet_x3.yaml,<font color='purple'>combination_1</font>,-,-,0.91
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_x3.yaml,<font color='red'>combination_64</font> (Actual: <font color='blue'>combination_3</font>),-,-,0.8
model_schedules_m_resnet50_resnext50_shufflenet-v2-12_squeezenet1.0-12_v_y_x3.yaml,<font color='red'>combination_128</font> (Actual: <font color='blue'>combination_127</font>),-,-,0.76
model_schedules_m_resnet50_resnext50_x3.yaml,<font color='red'>combination_8</font> (Actual: <font color='blue'>combination_4</font>),-,-,0.72
model_schedules_m_r_t_y_x3.yaml,<font color='purple'>combination_16</font>,-,-,0.81
model_schedules_resnet50_x3.yaml,<font color='purple'>combination_2</font>,-,-,0.96
model_schedules_resnext50_x3.yaml,<font color='purple'>combination_2</font>,-,-,1.0
model_schedules_r_t_v_y_x3.yaml,<font color='red'>combination_16</font> (Actual: <font color='blue'>combination_11</font>),-,-,0.73
model_schedules_shufflenet-v2-12_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_squeezenet1.0-12_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_tiny-llama-chat-onnx_x3.yaml,<font color='red'>combination_1</font> (Actual: <font color='blue'>combination_2</font>),-,-,0.97
model_schedules_vgg19_x3.yaml,<font color='purple'>combination_1</font>,-,-,1.0
model_schedules_yolov4_x3.yaml,<font color='red'>combination_2</font> (Actual: <font color='blue'>combination_1</font>),-,-,0.79
