filename,class_name,class_index
n01440764_tench.JPEG,tench,0
n01443537_goldfish.JPEG,goldfish,1
n01484850_great_white_shark.JPEG,great white shark,2
n01491361_tiger_shark.JPEG,tiger shark,3
n01494475_hammerhead.JPEG,hammerhead,4
n01496331_electric_ray.JPEG,electric ray,5
n01498041_stingray.JPEG,stingray,6
n01514668_cock.JPEG,cock,7
n01514859_hen.JPEG,hen,8
n01518878_ostrich.JPEG,ostrich,9
n01530575_brambling.JPEG,brambling,10
n01531178_goldfinch.JPEG,goldfinch,11
n01532829_house_finch.JPEG,house finch,12
n01534433_junco.JPEG,junco,13
n01537544_indigo_bunting.JPEG,indigo bunting,14
n01558993_robin.JPEG,robin,15
n01560419_bulbul.JPEG,bulbul,16
n01580077_jay.JPEG,jay,17
n01582220_magpie.JPEG,magpie,18
n01592084_chickadee.JPEG,chickadee,19
n01601694_water_ouzel.JPEG,water ouzel,20
n01608432_kite.JPEG,kite,21
n01614925_bald_eagle.JPEG,bald eagle,22
n01616318_vulture.JPEG,vulture,23
n01622779_great_grey_owl.JPEG,great grey owl,24
n01629819_European_fire_salamander.JPEG,European fire salamander,25
n01630670_common_newt.JPEG,common newt,26
n01631663_eft.JPEG,eft,27
n01632458_spotted_salamander.JPEG,spotted salamander,28
n01632777_axolotl.JPEG,axolotl,29
n01641577_bullfrog.JPEG,bullfrog,30
n01644373_tree_frog.JPEG,tree frog,31
n01644900_tailed_frog.JPEG,tailed frog,32
n01664065_loggerhead.JPEG,loggerhead,33
n01665541_leatherback_turtle.JPEG,leatherback turtle,34
n01667114_mud_turtle.JPEG,mud turtle,35
n01667778_terrapin.JPEG,terrapin,36
n01669191_box_turtle.JPEG,box turtle,37
n01675722_banded_gecko.JPEG,banded gecko,38
n01677366_common_iguana.JPEG,common iguana,39
n01682714_American_chameleon.JPEG,American chameleon,40
n01685808_whiptail.JPEG,whiptail,41
n01687978_agama.JPEG,agama,42
n01688243_frilled_lizard.JPEG,frilled lizard,43
n01689811_alligator_lizard.JPEG,alligator lizard,44
n01692333_Gila_monster.JPEG,Gila monster,45
n01693334_green_lizard.JPEG,green lizard,46
n01694178_African_chameleon.JPEG,African chameleon,47
n01695060_Komodo_dragon.JPEG,Komodo dragon,48
n01697457_African_crocodile.JPEG,African crocodile,49
n01698640_American_alligator.JPEG,American alligator,50
n01704323_triceratops.JPEG,triceratops,51
n01728572_thunder_snake.JPEG,thunder snake,52
n01728920_ringneck_snake.JPEG,ringneck snake,53
n01729322_hognose_snake.JPEG,hognose snake,54
n01729977_green_snake.JPEG,green snake,55
n01734418_king_snake.JPEG,king snake,56
n01735189_garter_snake.JPEG,garter snake,57
n01737021_water_snake.JPEG,water snake,58
n01739381_vine_snake.JPEG,vine snake,59
n01740131_night_snake.JPEG,night snake,60
n01742172_boa_constrictor.JPEG,boa constrictor,61
n01744401_rock_python.JPEG,rock python,62
n01748264_Indian_cobra.JPEG,Indian cobra,63
n01749939_green_mamba.JPEG,green mamba,64
n01751748_sea_snake.JPEG,sea snake,65
n01753488_horned_viper.JPEG,horned viper,66
n01755581_diamondback.JPEG,diamondback,67
n01756291_sidewinder.JPEG,sidewinder,68
n01768244_trilobite.JPEG,trilobite,69
n01770081_harvestman.JPEG,harvestman,70
n01770393_scorpion.JPEG,scorpion,71
n01773157_black_and_gold_garden_spider.JPEG,black and gold garden spider,72
n01773549_barn_spider.JPEG,barn spider,73
n01773797_garden_spider.JPEG,garden spider,74
n01774384_black_widow.JPEG,black widow,75
n01774750_tarantula.JPEG,tarantula,76
n01775062_wolf_spider.JPEG,wolf spider,77
n01776313_tick.JPEG,tick,78
n01784675_centipede.JPEG,centipede,79
n01795545_black_grouse.JPEG,black grouse,80
n01796340_ptarmigan.JPEG,ptarmigan,81
n01797886_ruffed_grouse.JPEG,ruffed grouse,82
n01798484_prairie_chicken.JPEG,prairie chicken,83
n01806143_peacock.JPEG,peacock,84
n01806567_quail.JPEG,quail,85
n01807496_partridge.JPEG,partridge,86
n01817953_African_grey.JPEG,African grey,87
n01818515_macaw.JPEG,macaw,88
n01819313_sulphur-crested_cockatoo.JPEG,sulphur-crested cockatoo,89
n01820546_lorikeet.JPEG,lorikeet,90
n01824575_coucal.JPEG,coucal,91
n01828970_bee_eater.JPEG,bee eater,92
n01829413_hornbill.JPEG,hornbill,93
n01833805_hummingbird.JPEG,hummingbird,94
n01843065_jacamar.JPEG,jacamar,95
n01843383_toucan.JPEG,toucan,96
n01847000_drake.JPEG,drake,97
n01855032_red-breasted_merganser.JPEG,red-breasted merganser,98
n01855672_goose.JPEG,goose,99
n01860187_black_swan.JPEG,black swan,100
n01871265_tusker.JPEG,tusker,101
n01872401_echidna.JPEG,echidna,102
n01873310_platypus.JPEG,platypus,103
n01877812_wallaby.JPEG,wallaby,104
n01882714_koala.JPEG,koala,105
n01883070_wombat.JPEG,wombat,106
n01910747_jellyfish.JPEG,jellyfish,107
n01914609_sea_anemone.JPEG,sea anemone,108
n01917289_brain_coral.JPEG,brain coral,109
n01924916_flatworm.JPEG,flatworm,110
n01930112_nematode.JPEG,nematode,111
n01943899_conch.JPEG,conch,112
n01944390_snail.JPEG,snail,113
n01945685_slug.JPEG,slug,114
n01950731_sea_slug.JPEG,sea slug,115
n01955084_chiton.JPEG,chiton,116
n01968897_chambered_nautilus.JPEG,chambered nautilus,117
n01978287_Dungeness_crab.JPEG,Dungeness crab,118
n01978455_rock_crab.JPEG,rock crab,119
n01980166_fiddler_crab.JPEG,fiddler crab,120
n01981276_king_crab.JPEG,king crab,121
n01983481_American_lobster.JPEG,American lobster,122
n01984695_spiny_lobster.JPEG,spiny lobster,123
n01985128_crayfish.JPEG,crayfish,124
n01986214_hermit_crab.JPEG,hermit crab,125
n01990800_isopod.JPEG,isopod,126
n02002556_white_stork.JPEG,white stork,127
n02002724_black_stork.JPEG,black stork,128
n02006656_spoonbill.JPEG,spoonbill,129
n02007558_flamingo.JPEG,flamingo,130
n02009229_little_blue_heron.JPEG,little blue heron,131
n02009912_American_egret.JPEG,American egret,132
n02011460_bittern.JPEG,bittern,133
n02012849_crane.JPEG,crane,517
n02013706_limpkin.JPEG,limpkin,135
n02017213_European_gallinule.JPEG,European gallinule,136
n02018207_American_coot.JPEG,American coot,137
n02018795_bustard.JPEG,bustard,138
n02025239_ruddy_turnstone.JPEG,ruddy turnstone,139
n02027492_red-backed_sandpiper.JPEG,red-backed sandpiper,140
n02028035_redshank.JPEG,redshank,141
n02033041_dowitcher.JPEG,dowitcher,142
n02037110_oystercatcher.JPEG,oystercatcher,143
n02051845_pelican.JPEG,pelican,144
n02056570_king_penguin.JPEG,king penguin,145
n02058221_albatross.JPEG,albatross,146
n02066245_grey_whale.JPEG,grey whale,147
n02071294_killer_whale.JPEG,killer whale,148
n02074367_dugong.JPEG,dugong,149
n02077923_sea_lion.JPEG,sea lion,150
n02085620_Chihuahua.JPEG,Chihuahua,151
n02085782_Japanese_spaniel.JPEG,Japanese spaniel,152
n02085936_Maltese_dog.JPEG,Maltese dog,153
n02086079_Pekinese.JPEG,Pekinese,154
n02086240_Shih-Tzu.JPEG,Shih-Tzu,155
