run_id,k,block,block_kind,order,cell_index,placement,status,detail,t_start,t_end
m1_k1_1787895022,1,-1,warmup,GPU_FIRST,0,GGGG,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895022.432,1787895039.181
m1_k1_1787895022,1,-1,warmup,GPU_FIRST,1,NNNN,"warmup, pre-declared",excluded from analysis (pre-declared technical warm-up),1787895039.181,1787895049.88
m1_k1_1787895022,1,0,measure,NPU_FIRST,0,NNNN,OK,,1787895049.88,1787895060.045
m1_k1_1787895022,1,0,measure,NPU_FIRST,1,GGGG,OK,,1787895060.046,1787895075.902
m1_k1_1787895022,1,1,measure,NPU_FIRST,0,NNNN,OK,,1787895075.902,1787895086.939
m1_k1_1787895022,1,1,measure,NPU_FIRST,1,GGGG,OK,,1787895086.939,1787895102.08
m1_k1_1787895022,1,2,measure,GPU_FIRST,0,GGGG,OK,,1787895102.08,1787895117.558
m1_k1_1787895022,1,2,measure,GPU_FIRST,1,NNNN,OK,,1787895117.558,1787895127.78
m1_k1_1787895022,1,3,measure,NPU_FIRST,0,NNNN,OK,,1787895127.78,1787895138.016
m1_k1_1787895022,1,3,measure,NPU_FIRST,1,GGGG,OK,,1787895138.016,1787895153.227
m1_k1_1787895022,1,4,measure,GPU_FIRST,0,GGGG,OK,,1787895153.228,1787895168.958
m1_k1_1787895022,1,4,measure,GPU_FIRST,1,NNNN,OK,,1787895168.958,1787895179.286
m1_k1_1787895022,1,5,measure,GPU_FIRST,0,GGGG,OK,,1787895179.286,1787895194.724
m1_k1_1787895022,1,5,measure,GPU_FIRST,1,NNNN,OK,,1787895194.724,1787895205.079
m1_k1_1787895022,1,6,measure,NPU_FIRST,0,NNNN,OK,,1787895205.079,1787895215.547
m1_k1_1787895022,1,6,measure,NPU_FIRST,1,GGGG,OK,,1787895215.548,1787895231.099
m1_k1_1787895022,1,7,measure,GPU_FIRST,0,GGGG,OK,,1787895231.1,1787895246.701
m1_k1_1787895022,1,7,measure,GPU_FIRST,1,NNNN,OK,,1787895246.701,1787895257.003
m1_k1_1787895022,1,8,measure,GPU_FIRST,0,GGGG,OK,,1787895257.003,1787895272.905
m1_k1_1787895022,1,8,measure,GPU_FIRST,1,NNNN,OK,,1787895272.905,1787895283.291
m1_k1_1787895022,1,9,measure,NPU_FIRST,0,NNNN,OK,,1787895283.291,1787895293.511
m1_k1_1787895022,1,9,measure,NPU_FIRST,1,GGGG,OK,,1787895293.511,1787895308.973
