run_id,k,block,block_kind,order,cell_index,placement,gpu_skip_pct,npu_skip_pct,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,deadline_margin_ms_mean,per_stream_json,t_start,t_end,period_ms,fps,detector,dataset,timestamp
m1_k3_1787895620,3,-1,warmup,GPU_FIRST,0,GGGG,52.31,0.0,0.07896,0.11866,0.10154,0.08414,0.00656,0.1303,0.36837,3.139,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09624, ""sap_s"": 0.01352, ""sap_m"": 0.11459, ""sap_l"": 0.43485, ""skip"": 53.95, ""eff_mean_ms"": 35.809, ""infer_mean_ms"": 35.809}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19259, ""sap_s"": 0.0016, ""sap_m"": 0.19055, ""sap_l"": 0.59018, ""skip"": 51.23, ""eff_mean_ms"": 37.691, ""infer_mean_ms"": 37.691}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10683, ""sap_s"": 0.0021, ""sap_m"": 0.19906, ""sap_l"": 0.24152, ""skip"": 55.23, ""eff_mean_ms"": 37.133, ""infer_mean_ms"": 37.133}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07896, ""sap_s"": 0.009, ""sap_m"": 0.017, ""sap_l"": 0.20694, ""skip"": 48.83, ""eff_mean_ms"": 35.258, ""infer_mean_ms"": 35.258}]",1787895620.294,1787895637.544,33.333,30.0,yolo11s,argoverse-hd-val,1787895637
m1_k3_1787895620,3,-1,warmup,GPU_FIRST,1,NNNN,0.0,0.56,0.08336,0.12621,0.11505,0.09105,0.00349,0.13046,0.43272,-15.423,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10898, ""sap_s"": 0.01134, ""sap_m"": 0.14252, ""sap_l"": 0.56585, ""skip"": 0.23, ""eff_mean_ms"": 18.117, ""infer_mean_ms"": 18.117}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19137, ""sap_s"": 0.0009, ""sap_m"": 0.17332, ""sap_l"": 0.61384, ""skip"": 1.12, ""eff_mean_ms"": 18.212, ""infer_mean_ms"": 18.212}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12112, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33853, ""skip"": 0.22, ""eff_mean_ms"": 17.702, ""infer_mean_ms"": 17.702}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08336, ""sap_s"": 0.00125, ""sap_m"": 0.02441, ""sap_l"": 0.21268, ""skip"": 0.68, ""eff_mean_ms"": 17.612, ""infer_mean_ms"": 17.611}]",1787895637.544,1787895647.98,33.333,30.0,yolo11s,argoverse-hd-val,1787895647
m1_k3_1787895620,3,0,measure,GPU_FIRST,0,GGGG,57.71,0.0,0.07864,0.11881,0.09954,0.08357,0.00622,0.12952,0.36614,4.228,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09506, ""sap_s"": 0.01291, ""sap_m"": 0.10983, ""sap_l"": 0.4316, ""skip"": 57.91, ""eff_mean_ms"": 37.404, ""infer_mean_ms"": 37.404}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19754, ""sap_s"": 0.00111, ""sap_m"": 0.18916, ""sap_l"": 0.60209, ""skip"": 56.6, ""eff_mean_ms"": 37.722, ""infer_mean_ms"": 37.722}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10401, ""sap_s"": 0.00247, ""sap_m"": 0.20156, ""sap_l"": 0.22672, ""skip"": 57.22, ""eff_mean_ms"": 37.175, ""infer_mean_ms"": 37.174}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07864, ""sap_s"": 0.00838, ""sap_m"": 0.01755, ""sap_l"": 0.20414, ""skip"": 59.13, ""eff_mean_ms"": 37.943, ""infer_mean_ms"": 37.943}]",1787895647.98,1787895665.216,33.333,30.0,yolo11s,argoverse-hd-val,1787895665
m1_k3_1787895620,3,0,measure,GPU_FIRST,1,NNNN,0.0,0.4,0.0835,0.1263,0.11522,0.09113,0.00355,0.13035,0.43289,-16.401,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10893, ""sap_s"": 0.01132, ""sap_m"": 0.14222, ""sap_l"": 0.56575, ""skip"": 0.46, ""eff_mean_ms"": 17.107, ""infer_mean_ms"": 17.107}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19125, ""sap_s"": 0.001, ""sap_m"": 0.17336, ""sap_l"": 0.61441, ""skip"": 0.45, ""eff_mean_ms"": 17.211, ""infer_mean_ms"": 17.211}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12152, ""sap_s"": 0.00049, ""sap_m"": 0.18135, ""sap_l"": 0.33898, ""skip"": 0.22, ""eff_mean_ms"": 16.779, ""infer_mean_ms"": 16.779}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0835, ""sap_s"": 0.0014, ""sap_m"": 0.02447, ""sap_l"": 0.21242, ""skip"": 0.46, ""eff_mean_ms"": 16.633, ""infer_mean_ms"": 16.633}]",1787895665.216,1787895675.254,33.333,30.0,yolo11s,argoverse-hd-val,1787895675
m1_k3_1787895620,3,1,measure,GPU_FIRST,0,GGGG,53.48,0.0,0.07733,0.12062,0.10329,0.08271,0.00632,0.12954,0.36349,3.016,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09525, ""sap_s"": 0.01362, ""sap_m"": 0.10937, ""sap_l"": 0.4427, ""skip"": 54.74, ""eff_mean_ms"": 37.27, ""infer_mean_ms"": 37.269}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19856, ""sap_s"": 0.00135, ""sap_m"": 0.19059, ""sap_l"": 0.60842, ""skip"": 51.29, ""eff_mean_ms"": 35.581, ""infer_mean_ms"": 35.58}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.11133, ""sap_s"": 0.00192, ""sap_m"": 0.20188, ""sap_l"": 0.20107, ""skip"": 54.31, ""eff_mean_ms"": 36.156, ""infer_mean_ms"": 36.155}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07733, ""sap_s"": 0.00839, ""sap_m"": 0.01631, ""sap_l"": 0.20175, ""skip"": 53.56, ""eff_mean_ms"": 36.392, ""infer_mean_ms"": 36.391}]",1787895675.254,1787895692.424,33.333,30.0,yolo11s,argoverse-hd-val,1787895692
m1_k3_1787895620,3,1,measure,GPU_FIRST,1,NNNN,0.0,0.17,0.08361,0.12634,0.11525,0.09122,0.00356,0.13046,0.43293,-16.043,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10897, ""sap_s"": 0.01134, ""sap_m"": 0.14247, ""sap_l"": 0.56587, ""skip"": 0.23, ""eff_mean_ms"": 17.467, ""infer_mean_ms"": 17.467}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 17.442, ""infer_mean_ms"": 17.442}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12154, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33908, ""skip"": 0.22, ""eff_mean_ms"": 17.099, ""infer_mean_ms"": 17.099}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08361, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.2128, ""skip"": 0.23, ""eff_mean_ms"": 17.153, ""infer_mean_ms"": 17.153}]",1787895692.424,1787895702.52,33.333,30.0,yolo11s,argoverse-hd-val,1787895702
m1_k3_1787895620,3,2,measure,NPU_FIRST,0,NNNN,0.0,0.56,0.0836,0.126,0.11472,0.09139,0.00359,0.13048,0.43193,-15.864,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10956, ""sap_s"": 0.01145, ""sap_m"": 0.14306, ""sap_l"": 0.56411, ""skip"": 1.14, ""eff_mean_ms"": 17.673, ""infer_mean_ms"": 17.673}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19096, ""sap_s"": 0.00102, ""sap_m"": 0.17329, ""sap_l"": 0.61391, ""skip"": 0.45, ""eff_mean_ms"": 17.626, ""infer_mean_ms"": 17.625}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11989, ""sap_s"": 0.00047, ""sap_m"": 0.18111, ""sap_l"": 0.33699, ""skip"": 0.67, ""eff_mean_ms"": 17.294, ""infer_mean_ms"": 17.294}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 17.285, ""infer_mean_ms"": 17.285}]",1787895702.52,1787895712.688,33.333,30.0,yolo11s,argoverse-hd-val,1787895712
m1_k3_1787895620,3,2,measure,NPU_FIRST,1,GGGG,55.18,0.0,0.07897,0.11849,0.09877,0.08361,0.00623,0.12742,0.36292,3.369,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09443, ""sap_s"": 0.01324, ""sap_m"": 0.10926, ""sap_l"": 0.43166, ""skip"": 53.17, ""eff_mean_ms"": 36.794, ""infer_mean_ms"": 36.794}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.19747, ""sap_s"": 0.00146, ""sap_m"": 0.19118, ""sap_l"": 0.60391, ""skip"": 55.79, ""eff_mean_ms"": 36.367, ""infer_mean_ms"": 36.367}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10311, ""sap_s"": 0.00175, ""sap_m"": 0.19169, ""sap_l"": 0.2084, ""skip"": 54.64, ""eff_mean_ms"": 36.952, ""infer_mean_ms"": 36.952}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07897, ""sap_s"": 0.00846, ""sap_m"": 0.01754, ""sap_l"": 0.20771, ""skip"": 57.11, ""eff_mean_ms"": 36.695, ""infer_mean_ms"": 36.695}]",1787895712.688,1787895729.891,33.333,30.0,yolo11s,argoverse-hd-val,1787895729
m1_k3_1787895620,3,3,measure,GPU_FIRST,0,GGGG,54.23,0.0,0.07959,0.11931,0.10072,0.0841,0.00619,0.12933,0.3639,3.371,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.09461, ""sap_s"": 0.01314, ""sap_m"": 0.11029, ""sap_l"": 0.41645, ""skip"": 55.26, ""eff_mean_ms"": 36.766, ""infer_mean_ms"": 36.765}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.1962, ""sap_s"": 0.00103, ""sap_m"": 0.19039, ""sap_l"": 0.59996, ""skip"": 53.52, ""eff_mean_ms"": 36.071, ""infer_mean_ms"": 36.071}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.10683, ""sap_s"": 0.00197, ""sap_m"": 0.19856, ""sap_l"": 0.23415, ""skip"": 54.38, ""eff_mean_ms"": 36.484, ""infer_mean_ms"": 36.484}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.07959, ""sap_s"": 0.00862, ""sap_m"": 0.01809, ""sap_l"": 0.20503, ""skip"": 53.74, ""eff_mean_ms"": 37.497, ""infer_mean_ms"": 37.497}]",1787895729.891,1787895747.168,33.333,30.0,yolo11s,argoverse-hd-val,1787895747
m1_k3_1787895620,3,3,measure,GPU_FIRST,1,NNNN,0.0,0.45,0.0835,0.12623,0.11509,0.09114,0.00356,0.13038,0.43244,-15.982,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10896, ""sap_s"": 0.01135, ""sap_m"": 0.14217, ""sap_l"": 0.56483, ""skip"": 0.46, ""eff_mean_ms"": 17.457, ""infer_mean_ms"": 17.457}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19125, ""sap_s"": 0.00101, ""sap_m"": 0.17334, ""sap_l"": 0.61398, ""skip"": 0.22, ""eff_mean_ms"": 17.582, ""infer_mean_ms"": 17.581}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12122, ""sap_s"": 0.00049, ""sap_m"": 0.1816, ""sap_l"": 0.3382, ""skip"": 0.9, ""eff_mean_ms"": 17.119, ""infer_mean_ms"": 17.119}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0835, ""sap_s"": 0.0014, ""sap_m"": 0.02442, ""sap_l"": 0.21276, ""skip"": 0.23, ""eff_mean_ms"": 17.248, ""infer_mean_ms"": 17.248}]",1787895747.168,1787895757.348,33.333,30.0,yolo11s,argoverse-hd-val,1787895757
