epoch,util_gpu,util_mem,mem_used_mib,power_w
1787895618.325,9,0,2631,84.2
1787895618.525,9,0,2631,84.2
1787895618.726,3,0,2631,82.2
1787895618.926,3,0,2631,82.2
1787895619.127,3,0,2631,82.2
1787895619.327,3,0,2631,71.6
1787895619.528,3,0,2631,71.6
1787895619.728,7,0,2631,71.4
1787895619.928,7,0,2631,71.4
1787895620.129,7,0,2631,71.4
1787895620.330,7,0,3819,71.5
1787895620.530,7,0,3819,71.5
1787895620.731,83,7,4169,146.3
1787895620.931,83,7,4169,146.3
1787895621.132,83,7,4169,146.3
1787895621.332,83,7,4169,232.0
1787895621.533,83,7,4169,232.0
1787895621.733,72,6,4169,264.6
1787895621.934,72,6,4169,264.6
1787895622.134,72,6,4169,264.6
1787895622.334,72,6,4169,257.1
1787895622.535,72,6,4183,257.1
1787895622.735,73,5,4183,254.1
1787895622.936,73,5,4183,254.1
1787895623.136,73,5,4183,254.1
1787895623.337,73,5,4183,256.5
1787895623.537,73,5,4183,256.5
1787895623.737,74,6,4185,264.8
1787895623.938,74,6,4185,264.8
1787895624.138,74,6,4185,264.8
1787895624.339,74,6,4185,266.5
1787895624.539,74,6,4185,266.5
1787895624.739,74,6,4185,264.9
1787895624.940,74,6,4185,264.9
1787895625.140,74,6,4185,264.9
1787895625.341,74,6,4185,259.9
1787895625.541,74,6,4185,259.9
1787895625.742,76,6,4185,264.1
1787895625.942,76,6,4185,264.1
1787895626.143,76,6,4197,264.1
1787895626.343,76,6,4197,265.3
1787895626.543,76,6,4197,265.3
1787895626.744,73,6,4197,264.2
1787895626.944,73,6,4197,264.2
1787895627.144,73,6,4197,264.2
1787895627.345,73,6,4197,261.2
1787895627.545,73,6,4197,261.2
1787895627.746,70,6,4197,260.2
1787895627.946,70,6,4197,260.2
1787895628.147,70,6,4197,260.2
1787895628.347,70,6,4197,261.8
1787895628.547,70,6,4197,261.8
1787895628.748,71,6,4197,258.7
1787895628.948,71,6,4197,258.7
1787895629.149,71,6,4197,258.7
1787895629.349,71,6,4197,253.5
1787895629.550,71,6,4197,253.5
1787895629.750,78,7,4197,258.9
1787895629.951,78,7,4197,258.9
1787895630.151,78,7,4197,258.9
1787895630.351,78,7,4197,268.5
1787895630.552,78,7,4197,268.5
1787895630.752,73,6,4197,273.8
1787895630.952,73,6,4197,273.8
1787895631.153,73,6,4197,273.8
1787895631.353,73,6,4197,266.2
1787895631.554,73,6,4197,266.2
1787895631.754,71,6,4197,258.3
1787895631.955,71,6,4197,258.3
1787895632.155,71,6,4197,258.3
1787895632.356,71,6,4197,260.1
1787895632.556,71,6,4197,260.1
1787895632.756,65,5,4197,256.3
1787895632.957,65,5,4197,256.3
1787895633.157,65,5,4197,256.3
1787895633.358,65,5,4197,252.1
1787895633.558,65,5,4197,252.1
1787895633.759,69,5,4197,252.0
1787895633.959,69,5,4197,252.0
