condition,bg_level,block,order,cell_index,placement,gpu_dm_pct,npu_dm_pct,cpu_sys_mean,cpu_proc_mean,gpu_util_mean,worst_sap,mean_sap,wall_s,per_stream_json
baseline,L0,0,NPU_FIRST,0,NNNN,0.0,0.28,19.6,434.5,5.5,0.0836,0.1261,11.17,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap_5095"": 0.10893354402519537, ""sap_s"": 0.011359409122532547, ""sap_m"": 0.14214468627051122, ""sap_l"": 0.5658122639654952, ""map_5095"": 0.1329182265465174, ""latency_mean"": 17.32715713136017, ""frame_skip_pct"": 0.45558086560364464}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap_5095"": 0.19058434242126865, ""sap_s"": 0.0010087786803252426, ""sap_m"": 0.17332691774500347, ""sap_l"": 0.6128877310578386, ""map_5095"": 0.19963837820901023, ""latency_mean"": 17.33911278542508, ""frame_skip_pct"": 0.2247191011235955}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap_5095"": 0.12129663789918374, ""sap_s"": 0.00053005300530053, ""sap_m"": 0.18156930241495384, ""sap_l"": 0.33893982390688465, ""map_5095"": 0.28985174567034117, ""latency_mean"": 16.772759362552943, ""frame_skip_pct"": 0.2247191011235955}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap_5095"": 0.08359700817129585, ""sap_s"": 0.001399455901811379, ""sap_m"": 0.02444986045976505, ""sap_l"": 0.21271294271840924, ""map_5095"": 0.22682720698303097, ""latency_mean"": 16.927477439063555, ""frame_skip_pct"": 0.22779043280182232}]"
baseline,L0,0,NPU_FIRST,1,GGGG,0.23,0.0,12.1,272.5,50.2,0.11491,0.15073,11.21,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap_5095"": 0.12135967780733925, ""sap_s"": 0.016386494730673634, ""sap_m"": 0.17448363274647308, ""sap_l"": 0.5772999117304762, ""map_5095"": 0.14920749277542947, ""latency_mean"": 15.759343166829241, ""frame_skip_pct"": 0.22779043280182232}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap_5095"": 0.21101829848523249, ""sap_s"": 0.0014248688064603457, ""sap_m"": 0.1930602991086094, ""sap_l"": 0.6469618891949901, ""map_5095"": 0.2189395653806616, ""latency_mean"": 15.527693609173378, ""frame_skip_pct"": 0.2247191011235955}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap_5095"": 0.15563362645730544, ""sap_s"": 0.0034484461372568543, ""sap_m"": 0.25740651139050225, ""sap_l"": 0.3487531653036487, ""map_5095"": 0.3314985002786594, ""latency_mean"": 15.527644318141295, ""frame_skip_pct"": 0.2247191011235955}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap_5095"": 0.11491236570034324, ""sap_s"": 0.010004778942448798, ""sap_m"": 0.04685655959743257, ""sap_l"": 0.2618637494926579, ""map_5095"": 0.28645581099005973, ""latency_mean"": 15.500655206841055, ""frame_skip_pct"": 0.22779043280182232}]"
baseline,L0,1,GPU_FIRST,0,GGGG,0.0,0.0,12.1,268.5,50.5,0.1149,0.15075,10.94,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap_5095"": 0.12141293085465356, ""sap_s"": 0.016380283744658303, ""sap_m"": 0.17493153223965807, ""sap_l"": 0.5772988074232177, ""map_5095"": 0.14920749277542947, ""latency_mean"": 15.183876207043207, ""frame_skip_pct"": 0.0}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap_5095"": 0.21101890847731197, ""sap_s"": 0.0014264822705988662, ""sap_m"": 0.1930400161513371, ""sap_l"": 0.6469618891949901, ""map_5095"": 0.2189395653806616, ""latency_mean"": 15.025318338629905, ""frame_skip_pct"": 0.0}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap_5095"": 0.1556803402363186, ""sap_s"": 0.0034484461372568543, ""sap_m"": 0.2575023574536421, ""sap_l"": 0.34880938571349857, ""map_5095"": 0.3314985002786594, ""latency_mean"": 14.858652500624068, ""frame_skip_pct"": 0.0}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap_5095"": 0.11490245221420667, ""sap_s"": 0.010011851953548964, ""sap_m"": 0.046862862350206425, ""sap_l"": 0.2617257900610955, ""map_5095"": 0.28645581099005973, ""latency_mean"": 14.967319362527418, ""frame_skip_pct"": 0.0}]"
baseline,L0,1,GPU_FIRST,1,NNNN,0.0,0.34,18.5,431.5,4.3,0.08359,0.1263,11.14,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap_5095"": 0.10891706351134542, ""sap_s"": 0.011355397885149382, ""sap_m"": 0.142182075028372, ""sap_l"": 0.5658317976813838, ""map_5095"": 0.1329182265465174, ""latency_mean"": 17.198097189901087, ""frame_skip_pct"": 0.683371298405467}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap_5095"": 0.1912330806892656, ""sap_s"": 0.0010043573569936941, ""sap_m"": 0.17336951179257748, ""sap_l"": 0.6139537857153599, ""map_5095"": 0.19963837820901023, ""latency_mean"": 17.21815795041202, ""frame_skip_pct"": 0.449438202247191}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap_5095"": 0.121447504083946, ""sap_s"": 0.0004862505481317363, ""sap_m"": 0.18159050674873667, ""sap_l"": 0.33897735344265917, ""map_5095"": 0.28985174567034117, ""latency_mean"": 16.86715543939826, ""frame_skip_pct"": 0.0}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap_5095"": 0.08359436127974124, ""sap_s"": 0.001399455901811379, ""sap_m"": 0.02444997862410565, ""sap_l"": 0.21252230256352858, ""map_5095"": 0.22682720698303097, ""latency_mean"": 16.78661061853917, ""frame_skip_pct"": 0.22779043280182232}]"
baseline,L0,2,GPU_FIRST,0,GGGG,0.0,0.0,11.9,270.2,49.4,0.1149,0.15075,11.14,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap_5095"": 0.12141293085465356, ""sap_s"": 0.016380283744658303, ""sap_m"": 0.17493153223965807, ""sap_l"": 0.5772988074232177, ""map_5095"": 0.14920749277542947, ""latency_mean"": 15.325267657060557, ""frame_skip_pct"": 0.0}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap_5095"": 0.21101890847731197, ""sap_s"": 0.0014264822705988662, ""sap_m"": 0.1930400161513371, ""sap_l"": 0.6469618891949901, ""map_5095"": 0.2189395653806616, ""latency_mean"": 15.257859497927548, ""frame_skip_pct"": 0.0}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap_5095"": 0.1556803402363186, ""sap_s"": 0.0034484461372568543, ""sap_m"": 0.2575023574536421, ""sap_l"": 0.34880938571349857, ""map_5095"": 0.3314985002786594, ""latency_mean"": 15.296661184075173, ""frame_skip_pct"": 0.0}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap_5095"": 0.11490245221420667, ""sap_s"": 0.010011851953548964, ""sap_m"": 0.046862862350206425, ""sap_l"": 0.2617257900610955, ""map_5095"": 0.28645581099005973, ""latency_mean"": 15.206589514139301, ""frame_skip_pct"": 0.0}]"
baseline,L0,2,GPU_FIRST,1,NNNN,0.0,0.57,18.1,422.5,2.0,0.08304,0.12617,11.42,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap_5095"": 0.10883945292126966, ""sap_s"": 0.011312160226026676, ""sap_m"": 0.141621174085732, ""sap_l"": 0.5575997190416334, ""map_5095"": 0.1329182265465174, ""latency_mean"": 18.112279831141166, ""frame_skip_pct"": 0.9111617312072893}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap_5095"": 0.1913166786344511, ""sap_s"": 0.0009040765195719943, ""sap_m"": 0.17341329747014908, ""sap_l"": 0.6138727999150679, ""map_5095"": 0.19963837820901023, ""latency_mean"": 17.59545776281464, ""frame_skip_pct"": 0.6741573033707865}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap_5095"": 0.12146287599439899, ""sap_s"": 0.0004862505481317363, ""sap_m"": 0.18155843224750998, ""sap_l"": 0.3389956958609539, ""map_5095"": 0.28985174567034117, ""latency_mean"": 17.02871804826715, ""frame_skip_pct"": 0.449438202247191}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap_5095"": 0.08304244001771799, ""sap_s"": 0.0014026402640264024, ""sap_m"": 0.024282447890334742, ""sap_l"": 0.21188774773764626, ""map_5095"": 0.22682720698303097, ""latency_mean"": 16.615459207521756, ""frame_skip_pct"": 0.22779043280182232}]"
L2LM,L2_lm,0,GPU_FIRST,0,GGGG,77.42,0.0,88.7,2114.5,48.0,0.06543,0.10341,19.17,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap_5095"": 0.08063487967973579, ""sap_s"": 0.011086954392691242, ""sap_m"": 0.08321213658907214, ""sap_l"": 0.3826342394928164, ""map_5095"": 0.09095995806375012, ""latency_mean"": 54.61652635589359, ""frame_skip_pct"": 77.16535433070867}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap_5095"": 0.1816368573322374, ""sap_s"": 0.0008021171897330822, ""sap_m"": 0.18626789789676199, ""sap_l"": 0.5509279672840308, ""map_5095"": 0.12280944119758258, ""latency_mean"": 61.1360713773887, ""frame_skip_pct"": 79.73568281938326}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap_5095"": 0.08593177638688111, ""sap_s"": 0.0017415272405947478, ""sap_m"": 0.16473323184045346, ""sap_l"": 0.19488212653282558, ""map_5095"": 0.2187213855137495, ""latency_mean"": 50.53455760513527, ""frame_skip_pct"": 76.81159420289855}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap_5095"": 0.0654312368626385, ""sap_s"": 0.007569341681087798, ""sap_m"": 0.011186216911699059, ""sap_l"": 0.1760870230208207, ""map_5095"": 0.1740886961810575, ""latency_mean"": 52.95368348519633, ""frame_skip_pct"": 75.98425196850394}]"
L2LM,L2_lm,0,GPU_FIRST,1,NNNN,0.0,78.54,92.8,2215.4,43.7,0.04441,0.08502,18.65,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap_5095"": 0.07633877552330025, ""sap_s"": 0.007586910328057206, ""sap_m"": 0.07463885443584171, ""sap_l"": 0.37578033301162317, ""map_5095"": 0.08162616227507484, ""latency_mean"": 56.4772121367916, ""frame_skip_pct"": 76.61290322580645}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap_5095"": 0.1628584527565651, ""sap_s"": 0.0010220578640668036, ""sap_m"": 0.1671122336269354, ""sap_l"": 0.5043049164197729, ""map_5095"": 0.12073032331380812, ""latency_mean"": 54.17781040586274, ""frame_skip_pct"": 77.77777777777777}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap_5095"": 0.056460996559046975, ""sap_s"": 0.00040111703478040115, ""sap_m"": 0.12646558712216283, ""sap_l"": 0.1217747896186532, ""map_5095"": 0.15505754710411693, ""latency_mean"": 62.00687330344628, ""frame_skip_pct"": 82.75862068965517}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap_5095"": 0.04441273384646872, ""sap_s"": 0.0002858833053116633, ""sap_m"": 0.003159861426675274, ""sap_l"": 0.13250297575326053, ""map_5095"": 0.13056027408422996, ""latency_mean"": 58.44975633824125, ""frame_skip_pct"": 77.02127659574468}]"
L2LM,L2_lm,1,GPU_FIRST,0,GGGG,77.9,0.0,85.8,2046.7,46.8,0.06586,0.10238,19.39,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap_5095"": 0.08231111038992776, ""sap_s"": 0.010732699855129826, ""sap_m"": 0.08285536438331238, ""sap_l"": 0.377351486833264, ""map_5095"": 0.09479317383805022, ""latency_mean"": 54.48372941464186, ""frame_skip_pct"": 82.03125}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap_5095"": 0.18148236125451161, ""sap_s"": 0.0011328662787825265, ""sap_m"": 0.18567334502282767, ""sap_l"": 0.5583750922651892, ""map_5095"": 0.14080301728184227, ""latency_mean"": 51.982538788406934, ""frame_skip_pct"": 73.70370370370371}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap_5095"": 0.07986817714540072, ""sap_s"": 0.001402931578911145, ""sap_m"": 0.17389893292487235, ""sap_l"": 0.1550665057380046, ""map_5095"": 0.20047181914964035, ""latency_mean"": 55.49531628886067, ""frame_skip_pct"": 80.87649402390439}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap_5095"": 0.06586197432593253, ""sap_s"": 0.007090851604548057, ""sap_m"": 0.011140294380001185, ""sap_l"": 0.17666684256291373, ""map_5095"": 0.17589951208804522, ""latency_mean"": 52.22100561315363, ""frame_skip_pct"": 75.0}]"
L2LM,L2_lm,1,GPU_FIRST,1,NNNN,0.0,77.27,93.4,2231.1,51.4,0.043,0.08567,18.68,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap_5095"": 0.07395446090667779, ""sap_s"": 0.007923178344737093, ""sap_m"": 0.06841837586688607, ""sap_l"": 0.3608387608158754, ""map_5095"": 0.08154094446422484, ""latency_mean"": 54.79621794437156, ""frame_skip_pct"": 76.65369649805447}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap_5095"": 0.16560289585722812, ""sap_s"": 0.0011082175398974543, ""sap_m"": 0.1696783251439097, ""sap_l"": 0.4981319961779695, ""map_5095"": 0.11693059209435797, ""latency_mean"": 57.67101433969313, ""frame_skip_pct"": 83.46774193548387}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap_5095"": 0.0601088340725982, ""sap_s"": 0.00019520585598932564, ""sap_m"": 0.11979773316818013, ""sap_l"": 0.14085738148229884, ""map_5095"": 0.15815076825322058, ""latency_mean"": 57.66733064026129, ""frame_skip_pct"": 77.8688524590164}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap_5095"": 0.04300299161589338, ""sap_s"": 0.00031298534265191227, ""sap_m"": 0.003374470939456027, ""sap_l"": 0.13349149790244078, ""map_5095"": 0.14471780296709932, ""latency_mean"": 53.67915621275231, ""frame_skip_pct"": 71.10266159695817}]"
