condition,metric,unit,submitted,new_3block_mean,abs_diff,rel_diff_pct
L2LM,GPU deadline miss,%,83.0,77.95,-5.05,-6.1
L2LM,NPU deadline miss,%,76.0,77.86,1.86,2.4
L2LM,All-GPU worst sAP,raw sAP,0.062,0.06303,0.00103,1.7
L2LM,All-NPU worst sAP,raw sAP,0.042,0.04239,0.00039,0.9
L2LM,CPU util (All-NPU),%,93.0,92.9,-0.1,-0.1
L3VLM,GPU deadline miss,%,100.0,98.72,-1.28,-1.3
L3VLM,NPU deadline miss,%,1.0,0.94,-0.06,-6.0
L3VLM,All-GPU worst sAP,raw sAP,0.016,0.01594,-6e-05,-0.4
L3VLM,All-NPU worst sAP,raw sAP,0.083,0.083,0.0,0.0
baseline,CPU util (All-NPU),%,17.0,18.73,1.73,10.2
